Unix	jday	Precipitation_rate
730944000	60	0
730947600	60	0
730951200	60	0
730954800	60	0
730958400	60	0
730962000	60	0
730965600	60	0
730969200	60	0
730972800	60	0
730976400	60	0
730980000	60	0
730983600	60	0
730987200	60	0
730990800	60	0
730994400	60	0
730998000	60	0
731001600	60	0
731005200	60	0
731008800	60	0
731012400	60	0
731016000	60	0
731019600	60	0
731023200	60	0
731026800	60	0
731030400	61	5.78278964584189e-06
731034000	61	3.20380910384243e-06
731037600	61	4.83061038422538e-06
731041200	61	1.03684864531572e-05
731044800	61	9.3053698117718e-06
731048400	61	8.62824262783069e-06
731052000	61	1.9729008631625e-09
731055600	61	7.90941351936885e-08
731059200	61	2.84833356258499e-06
731062800	61	1.13071149541165e-05
731066400	61	1.57678699884214e-05
731070000	61	2.11515022835456e-05
731073600	61	4.34688326043823e-05
731077200	61	5.84204804248978e-05
731080800	61	3.74254128382673e-05
731084400	61	4.41509779348731e-05
731088000	61	6.89269571094325e-05
731091600	61	0.000100765900166952
731095200	61	0.000275272063243269
731098800	61	0.00035085138470209
731102400	61	0.000302819701414561
731106000	61	0.000240782618558473
731109600	61	0.000188954114229009
731113200	61	0.000151786244338106
731116800	62	4.84490259635862e-07
731120400	62	1.02594817889798e-05
731124000	62	1.36221557228512e-05
731127600	62	9.47887258362425e-06
731131200	62	7.34307173414097e-06
731134800	62	5.3375286174478e-06
731138400	62	0
731142000	62	0
731145600	62	0
731149200	62	5.11636225269646e-08
731152800	62	1.16104604918992e-07
731156400	62	1.68254672397347e-07
731160000	62	9.86450431581248e-10
731163600	62	0
731167200	62	0
731170800	62	0
731174400	62	0
731178000	62	0
731181600	62	0
731185200	62	0
731188800	62	0
731192400	62	0
731196000	62	0
731199600	62	0
731203200	63	0
731206800	63	0
731210400	63	0
731214000	63	0
731217600	63	0
731221200	63	0
731224800	63	0
731228400	63	0
731232000	63	0
731235600	63	0
731239200	63	0
731242800	63	0
731246400	63	0
731250000	63	0
731253600	63	0
731257200	63	0
731260800	63	0
731264400	63	0
731268000	63	0
731271600	63	0
731275200	63	0
731278800	63	0
731282400	63	0
731286000	63	0
731289600	64	0
731293200	64	0
731296800	64	0
731300400	64	0
731304000	64	0
731307600	64	0
731311200	64	0
731314800	64	0
731318400	64	0
731322000	64	0
731325600	64	0
731329200	64	0
731332800	64	0
731336400	64	0
731340000	64	0
731343600	64	0
731347200	64	0
731350800	64	1.97540463411858e-06
731354400	64	6.41809106667319e-05
