Unix	jday	V-component_of_wind
820454400	1	-3.21329247583811
820458000	1	-3.53134203701187
820461600	1	-3.86099811065235
820465200	1	-4.02304119543107
820468800	1	-4.09499125701257
820472400	1	-4.20413078323427
820476000	1	-4.84163168668905
820479600	1	-3.61571578132401
820483200	1	-3.09634589642256
820486800	1	-2.9390156559829
820490400	1	-2.7767436636046
820494000	1	-2.59951946609713
820497600	1	-1.11631376097312
820501200	1	-1.57292005700186
820504800	1	-0.876916106193596
820508400	1	-0.151542405333411
820512000	1	0.313624106005263
820515600	1	0.76321042950207
820519200	1	0.703475297474831
820522800	1	1.06102793778467
820526400	1	1.99976194516221
820530000	1	2.57181037934023
820533600	1	2.36896174965282
820537200	1	2.15095045916995
820540800	2	1.57080710446544
820544400	2	0.957266475553266
820548000	2	0.466029165986921
820551600	2	-0.230093352819444
820555200	2	-1.18237884727793
820558800	2	-1.98183111673104
820562400	2	-0.320339248202573
820566000	2	-1.23608172718792
820569600	2	-2.1644877627141
820573200	2	-3.19813633723204
820576800	2	-3.30289529772277
820580400	2	-3.11783910059173
820584000	2	-4.11718237474446
820587600	2	-2.97810337456941
820591200	2	-2.73220803633904
820594800	2	-2.52598152421154
820598400	2	-2.28897671567607
820602000	2	-2.16715645048307
820605600	2	-1.542898457542
820609200	2	-2.22851600444479
820612800	2	-1.83170562846053
820616400	2	-1.75460471069228
820620000	2	-1.16054440411658
820623600	2	-1.02600918472955
820627200	3	-0.446419464276922
820630800	3	-1.85154093300718
820634400	3	-2.85862502163839
820638000	3	-3.34157817474652
820641600	3	-3.06691533229153
820645200	3	-2.82822762562236
820648800	3	0.407194037915568
820652400	3	-0.27213962802851
820656000	3	-0.0264460127340606
820659600	3	0.726585863983297
820663200	3	1.3326361023075
820666800	3	1.63965826567381
820670400	3	1.05708120259154
820674000	3	0.916862969461047
820677600	3	0.587610789392905
820681200	3	0.76747394755072
820684800	3	0.709186137978341
820688400	3	0.820553816425485
820692000	3	0.684110750394568
820695600	3	0.58232609922113
820699200	3	-0.200487906479333
820702800	3	0.488194058011782
820706400	3	2.13502560416694
820710000	3	3.2389699179187
820713600	4	6.46337605376242
820717200	4	4.93806806714262
820720800	4	3.74047938873547
820724400	4	2.98851049018217
820728000	4	2.85672169102604
820731600	4	2.64059891062681
820735200	4	3.08731287762534
820738800	4	2.11430475041877
820742400	4	1.28347628035395
820746000	4	0.788080650930557
820749600	4	0.86105369971628
820753200	4	0.763220697992785
820756800	4	-0.683727366373463
820760400	4	-1.15219115038639
820764000	4	-1.8936124772004
820767600	4	-2.71258385132906
820771200	4	-3.04511125405184
820774800	4	-3.35331725848817
820778400	4	-3.09911103646823
820782000	4	-4.07925149544173
820785600	4	-4.24028186504578
820789200	4	-4.37515780008372
820792800	4	-4.23384770554299
820796400	4	-3.91211437029562
820800000	5	-4.28793020080778
