Unix	jday	Downward_Short-Wave_Rad_Flux
891388800	91	536.276366106242
891392400	91	536.276366106242
891396000	91	572.10884030157
891399600	91	569.426353800208
891403200	91	541.801311460723
891406800	91	491.426858200156
891410400	91	5.75762475641736
891414000	91	5.75762475641736
891417600	91	2.86960400199098
891421200	91	1.91359578190216
891424800	91	1.44334164598594
891428400	91	1.15872496926804
891432000	91	0
891435600	91	0
891439200	91	0
891442800	91	0
891446400	91	0
891450000	91	0
891453600	91	0.000261957741381829
891457200	91	0.000261957741381829
891460800	91	28.9066777527938
891464400	91	100.14639952273
891468000	91	178.429352244414
891471600	91	251.81085028336
891475200	92	333.108323723174
891478800	92	333.108323723174
891482400	92	385.187595658172
891486000	92	409.887465681993
891489600	92	408.462013949382
891493200	92	374.020498692224
891496800	92	4.46282811235315
891500400	92	4.46282811235315
891504000	92	2.24009490005222
891507600	92	1.48752889816998
891511200	92	1.11991647091717
891514800	92	0.896961388743287
891518400	92	0
891522000	92	0
891525600	92	0
891529200	92	0
891532800	92	0
891536400	92	0
891540000	92	0
891543600	92	0
891547200	92	25.5346265939053
891550800	92	63.4670710319662
891554400	92	113.898938242213
891558000	92	158.73786069963
891561600	93	196.939419706007
891565200	93	196.939419706007
891568800	93	208.963390226141
891572400	93	205.220550803389
891576000	93	188.409579953847
891579600	93	166.642365050834
891583200	93	1.36930151200081
891586800	93	1.36930151200081
891590400	93	0.675331493873374
891594000	93	0.4497818271668
891597600	93	0.346326294370347
891601200	93	0.266489452826333
891604800	93	0
891608400	93	0
891612000	93	0
891615600	93	0
891619200	93	0
891622800	93	0
891626400	93	0
891630000	93	0
891633600	93	12.5850774620615
891637200	93	56.0917364006472
891640800	93	121.969595490675
891644400	93	202.407888026053
891648000	94	659.389431630001
891651600	94	659.389431630001
891655200	94	617.671411337734
891658800	94	573.277802327777
891662400	94	487.204465077647
891666000	94	411.20923204113
891669600	94	1.83695338827191
891673200	94	1.83695338827191
891676800	94	0.918476694135954
891680400	94	0.61232456938191
891684000	94	0.450567700295646
891687600	94	0.367350419298052
891691200	94	0
891694800	94	0
891698400	94	0
891702000	94	0
891705600	94	0
891709200	94	0
891712800	94	0
891716400	94	0
891720000	94	22.7377523219538
891723600	94	92.2177875688593
891727200	94	171.298572335785
891730800	94	246.565488557104
891734400	95	659.326418716983
891738000	95	659.326418716983
891741600	95	654.601888667024
891745200	95	625.342217674872
891748800	95	576.568618716986
891752400	95	512.8520249368
891756000	95	2.05535615249492
891759600	95	2.05535615249492
891763200	95	1.03610694019091
891766800	95	0.691851321677474
891770400	95	0.50961450261245
891774000	95	0.407234675377303
891777600	95	0
891781200	95	0
891784800	95	0
891788400	95	0
891792000	95	0
891795600	95	0
891799200	95	0
891802800	95	0
891806400	95	7.81919774742416
891810000	95	65.9826431403633
891813600	95	142.866942549695
891817200	95	218.51747474542
891820800	96	674.783361279565
891824400	96	674.783361279565
891828000	96	664.232044501277
891831600	96	634.285505987883
891835200	96	586.703294071452
891838800	96	524.655677213028
891842400	96	1.74894965229129
891846000	96	1.74894965229129
891849600	96	0.873564225450333
891853200	96	0.589209561869981
891856800	96	0.446111530397622
891860400	96	0.345794682110995
891864000	96	0
891867600	96	0
891871200	96	0
891874800	96	0
891878400	96	0
891882000	96	0
891885600	96	0
891889200	96	0
891892800	96	26.169495140219
891896400	96	92.6184366720899
891900000	96	168.384921138867
891903600	96	241.251672469744
891907200	97	662.094921082071
891910800	97	662.094921082071
891914400	97	650.638147806196
891918000	97	620.324055075215
891921600	97	573.192267967549
891925200	97	511.99887081927
891928800	97	1.28001311107237
891932400	97	1.28001311107237
891936000	97	0.648546196076846
891939600	97	0.427190764397558
891943200	97	0.325052719624794
891946800	97	0.263874684004569
891950400	97	0
891954000	97	0
891957600	97	0
891961200	97	0
891964800	97	0
891968400	97	0
891972000	97	0
891975600	97	0
891979200	97	21.5056548973451
891982800	97	84.1959112825402
891986400	97	159.420163772944
891990000	97	232.645175519636
891993600	98	658.380294855759
891997200	98	658.380294855759
892000800	98	647.388430938061
892004400	98	617.225603871686
892008000	98	569.963034239686
892011600	98	508.523017366494
892015200	98	0.870916751207791
892018800	98	0.870916751207791
892022400	98	0.426908604400947
892026000	98	0.284092733101099
892029600	98	0.222672929890253
892033200	98	0.181954686066692
892036800	98	0
892040400	98	0
892044000	98	0
892047600	98	0
892051200	98	0
892054800	98	0
892058400	98	0
892062000	98	0
892065600	98	14.0105589122762
892069200	98	38.7389978669569
892072800	98	67.4879673631053
892076400	98	94.3707609146393
892080000	99	310.668606053516
892083600	99	310.668606053516
892087200	99	351.295533456191
892090800	99	364.855684305439
892094400	99	349.357855092718
892098000	99	316.083477574317
892101600	99	0.523038939686513
892105200	99	0.523038939686513
892108800	99	0.261529571091771
892112400	99	0.180133488556058
892116000	99	0.140752931864426
892119600	99	0.100296639089515
892123200	99	0
892126800	99	0
892130400	99	0
892134000	99	0
892137600	99	0
892141200	99	0
892144800	99	0
892148400	99	0
892152000	99	14.192092114274
892155600	99	53.0433257559678
892159200	99	117.800039315799
892162800	99	191.37071030667
892166400	100	639.767389105937
892170000	100	639.767389105937
892173600	100	630.228493531275
892177200	100	600.333271889319
892180800	100	553.165985729396
892184400	100	491.800706823529
892188000	100	0.198248165185632
892191600	100	0.198248165185632
892195200	100	0.0982336857746299
892198800	100	0.0593366401242513
892202400	100	0.0406778387195021
892206000	100	0.0391185983830015
892209600	100	0
892213200	100	0
892216800	100	0
892220400	100	0
892224000	100	0
892227600	100	0
892231200	100	0
892234800	100	0
892238400	100	22.3006635300615
892242000	100	85.8800641160927
892245600	100	160.783885555408
892249200	100	233.607607377421
892252800	101	651.310066509097
892256400	101	651.310066509097
892260000	101	638.488028350543
892263600	101	606.367557836914
892267200	101	557.366955748064
892270800	101	494.673480420417
892274400	101	0.0388768431459991
892278000	101	0.0388768431459991
892281600	101	0.0186588014047492
892285200	101	0.0186588014047492
892288800	101	0
892292400	101	0
892296000	101	0
892299600	101	0
892303200	101	0
892306800	101	0
892310400	101	0
892314000	101	0
892317600	101	0
892321200	101	0
892324800	101	17.7870562771636
892328400	101	71.9584294459944
892332000	101	139.48356616975
892335600	101	205.653071459872
892339200	102	585.457544412548
892342800	102	585.457544412548
892346400	102	562.05309590544
892350000	102	522.347373067274
892353600	102	477.532342174208
892357200	102	423.072937536702
892360800	102	0
892364400	102	0
892368000	102	0
892371600	102	0
892375200	102	0
892378800	102	0
892382400	102	0
892386000	102	0
892389600	102	0
892393200	102	0
892396800	102	0
892400400	102	0
892404000	102	0
892407600	102	0
892411200	102	18.1957872943207
892414800	102	76.3519092400627
892418400	102	146.226670087295
892422000	102	214.720837129076
892425600	103	614.209655191568
892429200	103	614.209655191568
892432800	103	602.90342623058
892436400	103	572.544644053432
892440000	103	525.328751731649
892443600	103	464.252927677568
892447200	103	0
892450800	103	0
892454400	103	0
892458000	103	0
892461600	103	0
892465200	103	0
892468800	103	0
892472400	103	0
892476000	103	0
892479600	103	0
892483200	103	0
892486800	103	0
892490400	103	0
892494000	103	0
892497600	103	3.72278665701679
892501200	103	17.4144900266587
892504800	103	39.279887803334
892508400	103	65.7087914643229
892512000	104	238.773468560271
892515600	104	238.773468560271
892519200	104	284.223812424076
892522800	104	316.798800888892
892526400	104	284.634868337154
892530000	104	244.528185905559
892533600	104	0
892537200	104	0
892540800	104	0
892544400	104	0
892548000	104	0
892551600	104	0
892555200	104	0
892558800	104	0
892562400	104	0
892566000	104	0
892569600	104	0
892573200	104	0
892576800	104	0
892580400	104	0
892584000	104	16.9930794398799
892587600	104	76.4495839321071
892591200	104	148.718447707864
892594800	104	219.762874886206
892598400	105	629.38210050859
892602000	105	629.38210050859
892605600	105	616.642949819919
892609200	105	584.481954052414
892612800	105	535.372017787688
892616400	105	472.794410258662
892620000	105	0
892623600	105	0
892627200	105	0
892630800	105	0
892634400	105	0
892638000	105	0
892641600	105	0
892645200	105	0
892648800	105	0
892652400	105	0
892656000	105	0
892659600	105	0
892663200	105	0
892666800	105	0
