Unix	jday	Downward_Long-Wave_Rad_Flux
949363200	32	294.619595626635
949366800	32	294.672196781196
949370400	32	294.675546974777
949374000	32	305.937368597827
949377600	32	304.289619054382
949381200	32	302.873308838053
949384800	32	302.785459446125
949388400	32	302.311371410361
949392000	32	298.883655036758
949395600	32	297.128131240168
949399200	32	297.248138415719
949402800	32	298.626471582392
949406400	32	335.648887558845
949410000	32	335.564997968808
949413600	32	341.515936739069
949417200	32	346.313708959672
949420800	32	349.032753620351
949424400	32	350.375923221073
949428000	32	351.59995716881
949431600	32	350.499897874376
949435200	32	349.25118727594
949438800	32	348.211187532677
949442400	32	347.407253071668
949446000	32	346.103958204577
949449600	33	343.891160627989
949453200	33	344.957349607338
949456800	33	345.708843493226
949460400	33	345.11382113086
949464000	33	344.316203190779
949467600	33	341.420977569517
949471200	33	342.539173321726
949474800	33	341.470729355034
949478400	33	342.071774898823
949482000	33	341.920042845979
949485600	33	342.75217641822
949489200	33	343.454387292185
949492800	33	341.158350970198
949496400	33	340.853339723199
949500000	33	334.483868434653
949503600	33	328.318305534924
949507200	33	321.984615697082
949510800	33	316.530712456968
949514400	33	301.946821285552
949518000	33	301.914058071906
949521600	33	302.631735851711
949525200	33	298.123591684887
949528800	33	297.623161767
949532400	33	299.792525733
949536000	34	298.508130059315
949539600	34	299.628292116643
949543200	34	299.413167974026
949546800	34	300.089190661334
949550400	34	302.183394677029
949554000	34	306.413969810021
949557600	34	297.407762357799
949561200	34	296.985363669066
949564800	34	296.424363930335
949568400	34	296.250196977349
949572000	34	296.533876387346
949575600	34	296.820294182882
949579200	34	293.282232148352
949582800	34	293.551694573532
949586400	34	292.723042345812
949590000	34	291.61085037936
949593600	34	290.473262334477
949597200	34	289.491796158228
949600800	34	294.653784578833
949604400	34	296.223784327607
949608000	34	301.165106088534
949611600	34	306.343460147125
949615200	34	321.575155429921
949618800	34	333.377071122175
949622400	35	351.290419148946
949626000	35	357.112631484226
949629600	35	363.300726873861
949633200	35	364.17870589321
949636800	35	362.946402810886
949640400	35	360.981615621515
949644000	35	341.768139199815
949647600	35	335.926195543001
949651200	35	332.685636469966
949654800	35	329.225516971513
949658400	35	333.304361153407
949662000	35	339.438015409354
949665600	35	375.152163578875
949669200	35	373.200481135421
949672800	35	373.439564320004
949676400	35	371.907060773016
949680000	35	368.202555521837
949683600	35	365.721027644838
949687200	35	363.563367278326
949690800	35	364.77216478411
949694400	35	369.686022335291
949698000	35	370.183590281472
949701600	35	365.818029929261
949705200	35	358.940999245041
949708800	36	320.110162764072
949712400	36	321.453765413651
949716000	36	321.594958484976
949719600	36	322.325246260859
949723200	36	322.942506097456
949726800	36	323.434495208232
949730400	36	329.743199430014
949734000	36	331.018452121238
949737600	36	327.536499545851
949741200	36	325.055108064543
949744800	36	323.186297658278
949748400	36	321.842059703765
949752000	36	314.25815491042
949755600	36	313.628889681538
949759200	36	314.045308189197
949762800	36	315.835146506248
949766400	36	319.663040322907
949770000	36	324.154053600989
949773600	36	359.923784574012
949777200	36	360.752578428309
949780800	36	362.743772171451
949784400	36	365.655353737748
949788000	36	368.152560985026
949791600	36	370.588187518894
949795200	37	384.452661155813
949798800	37	386.891454353299
949802400	37	385.335086634013
949806000	37	383.987907144557
949809600	37	383.088948872145
949813200	37	384.403012096351
949816800	37	371.48492488167
949820400	37	365.756545684089
949824000	37	349.141366073741
949827600	37	336.541922329982
949831200	37	328.478131245869
949834800	37	323.215914298056
949838400	37	279.617321045077
949842000	37	279.260120100112
949845600	37	303.288585183488
949849200	37	316.637492540712
949852800	37	320.636489251241
949856400	37	321.225870551585
949860000	37	289.564667369673
949863600	37	289.893725202021
949867200	37	283.284556462489
949870800	37	282.617741251203
949874400	37	283.907165457693
949878000	37	286.181033672457
949881600	38	304.829543694656
949885200	38	307.432059239746
949888800	38	308.617808001288
949892400	38	311.907059926288
949896000	38	314.947562985472
949899600	38	317.62254263358
949903200	38	320.007232217659
949906800	38	318.070351311096
949910400	38	312.311991911026
949914000	38	306.494305337187
949917600	38	305.258070129526
949921200	38	305.688139616452
949924800	38	322.157929668401
949928400	38	321.501361596224
949932000	38	322.233431030559
949935600	38	316.923858545316
949939200	38	313.882766015337
949942800	38	312.216033949625
949946400	38	301.966590485793
949950000	38	302.981453235325
949953600	38	303.609600704834
949957200	38	305.673455057415
949960800	38	308.28810396348
949964400	38	310.839730205579
949968000	39	313.239654957467
949971600	39	313.10738509977
949975200	39	311.302892557891
949978800	39	311.013274262681
949982400	39	311.023398161907
949986000	39	311.22813471299
949989600	39	315.220902731979
949993200	39	315.646083702605
949996800	39	313.194908439641
950000400	39	309.962072410516
950004000	39	306.693445991362
950007600	39	303.640640305807
950011200	39	281.83542669342
950014800	39	281.088521804563
950018400	39	279.478051493833
950022000	39	278.444485662338
950025600	39	277.757308346488
950029200	39	277.212569356902
950032800	39	275.185867637017
950036400	39	276.540867362533
950040000	39	281.027458088713
950043600	39	287.478752087168
950047200	39	295.056872494336
950050800	39	303.537818511447
950054400	40	362.27247924754
950058000	40	364.911903854832
950061600	40	368.337990307746
950065200	40	370.019365347942
950068800	40	369.738205967381
950072400	40	368.344255977572
950076000	40	341.313626578874
950079600	40	337.881959138727
950083200	40	335.714391313123
950086800	40	335.947673325994
950090400	40	334.874225282172
950094000	40	334.312674769506
950097600	40	325.943052519188
950101200	40	325.739030195191
950104800	40	326.169408287532
950108400	40	326.352092449782
950112000	40	329.109322422017
950115600	40	332.441506968971
950119200	40	364.61113775364
950122800	40	365.361779124579
950126400	40	368.811695791023
