Unix	jday	U-component_of_wind
1099267200	306	-5.72303290074886
1099270800	306	-6.17364207875368
1099274400	306	-6.27338497592591
1099278000	306	-6.29457104132643
1099281600	306	-6.40893780247979
1099285200	306	-6.5296934338685
1099288800	306	-8.16346325555733
1099292400	306	-6.82021023841764
1099296000	306	-5.62468515331209
1099299600	306	-4.60131140680004
1099303200	306	-3.6094296633177
1099306800	306	-2.62637150651301
1099310400	306	0.779519548746039
1099314000	306	1.22535893753408
1099317600	306	1.76710609836474
1099321200	306	2.18985720254623
1099324800	306	2.47146415264407
1099328400	306	2.68083092345606
1099332000	306	1.21020561857092
1099335600	306	1.67999821159243
1099339200	306	1.27826841588703
1099342800	306	0.465356866291973
1099346400	306	-0.0529285921936577
1099350000	306	-0.449505966331963
1099353600	307	-0.459487628503148
1099357200	307	-0.171780540825485
1099360800	307	0.880202252538939
1099364400	307	2.16859480628051
1099368000	307	3.3851922472406
1099371600	307	4.26111135001307
1099375200	307	2.75638430794782
1099378800	307	3.52810043180695
1099382400	307	4.01185298763185
1099386000	307	4.19821800374698
1099389600	307	3.88588290896143
1099393200	307	3.68433778263961
1099396800	307	2.58703681972526
1099400400	307	2.01438801305638
1099404000	307	1.79997623439933
1099407600	307	1.90050429168037
1099411200	307	2.14899106891931
1099414800	307	2.27480712223487
1099418400	307	1.71569896719852
1099422000	307	2.10378377156537
1099425600	307	2.19518930753626
1099429200	307	1.91120265124358
1099432800	307	1.37603637029863
1099436400	307	0.804273646807642
1099440000	308	-0.79933757296441
1099443600	308	-0.584922521941711
1099447200	308	-0.00610347405065961
1099450800	308	0.727279453461854
1099454400	308	1.04735293968086
1099458000	308	1.36937045087909
1099461600	308	0.688596626619351
1099465200	308	1.63124278040168
1099468800	308	2.46657563022207
1099472400	308	3.10048437234642
1099476000	308	3.01391136443332
1099479600	308	2.95010086362105
1099483200	308	2.95214365733838
1099486800	308	2.07889305091637
1099490400	308	1.61190075800737
1099494000	308	1.43511580577148
1099497600	308	1.58740702108996
1099501200	308	1.66398125081532
1099504800	308	1.82830202165931
1099508400	308	1.8368296396771
1099512000	308	1.48395510098424
1099515600	308	1.24470697295129
1099519200	308	1.123995349179
1099522800	308	0.992050808884944
1099526400	309	1.42755660982055
1099530000	309	2.11989721112405
1099533600	309	3.37533035370936
1099537200	309	4.18750592362695
1099540800	309	3.86786227048687
1099544400	309	3.03279702653853
1099548000	309	0.419038122360999
1099551600	309	-0.599256907417075
1099555200	309	-1.18389305832813
1099558800	309	-2.35566470785742
1099562400	309	-2.9898107524046
1099566000	309	-3.55233804436709
1099569600	309	-2.90860915755322
1099573200	309	-2.90694268934997
1099576800	309	-2.40551175075688
1099580400	309	-0.704539917569853
1099584000	309	0.703204399802363
1099587600	309	1.5669977261764
1099591200	309	1.23679720085723
1099594800	309	1.96838798119515
1099598400	309	2.37968833770567
1099602000	309	1.59836584018819
1099605600	309	0.432592110571567
1099609200	309	-0.758557686070766
1099612800	310	-1.64212673572465
1099616400	310	-2.92199629982698
1099620000	310	-3.55566772877852
1099623600	310	-3.98265799968007
1099627200	310	-3.73147050834206
1099630800	310	-3.4803626257792
1099634400	310	-1.61394903857946
1099638000	310	-2.40040172949441
1099641600	310	-2.95749829154951
1099645200	310	-3.55127086188511
1099648800	310	-3.83187330019994
1099652400	310	-4.17180667170554
1099656000	310	-4.00250080968141
1099659600	310	-4.49454746129007
1099663200	310	-4.73862951216782
1099666800	310	-4.91534016608297
1099670400	310	-4.71307727790522
1099674000	310	-4.48810617104709
1099677600	310	-4.67911758579205
1099681200	310	-4.76172440408217
1099684800	310	-4.78087709029816
1099688400	310	-4.85555840501565
1099692000	310	-4.89166795196864
1099695600	310	-5.12557811636733
1099699200	311	-5.94703103916284
1099702800	311	-6.31150238629117
1099706400	311	-5.94676796161905
1099710000	311	-5.27328582885726
1099713600	311	-4.35791351913575
1099717200	311	-3.51489600676013
1099720800	311	-1.69380009273592
1099724400	311	-1.12322057398959
1099728000	311	-0.394520928180135
1099731600	311	0.336958095673058
1099735200	311	0.929913225208689
1099738800	311	1.41272165906632
1099742400	311	1.51916953459239
1099746000	311	1.81177762087187
1099749600	311	1.91430794747545
1099753200	311	2.09439435193352
1099756800	311	2.06552243494816
1099760400	311	2.03130022837627
1099764000	311	0.474167020847794
1099767600	311	1.1325447388585
1099771200	311	1.56230639657501
1099774800	311	1.70870639983018
1099778400	311	1.34101385126775
1099782000	311	0.861428180454512
1099785600	312	-1.81017475322467
1099789200	312	-1.34169324024605
1099792800	312	-1.08853252979822
1099796400	312	-1.05505011575046
1099800000	312	-0.993052377031372
1099803600	312	-0.910324652894005
1099807200	312	-2.41634166688114
1099810800	312	-1.2302242326707
1099814400	312	-0.316336516218843
1099818000	312	0.337111405891146
1099821600	312	0.925145349133723
1099825200	312	1.42197493554548
1099828800	312	0.494569221939152
1099832400	312	1.22420703201999
1099836000	312	1.26069904501164
1099839600	312	1.36042183262673
1099843200	312	1.70365589006177
1099846800	312	1.9946978823108
1099850400	312	2.39221343642505
1099854000	312	2.37368339469928
1099857600	312	1.74566584288046
1099861200	312	0.658407178150472
1099864800	312	-0.368794771136531
1099868400	312	-1.40271404830212
1099872000	313	-2.89928441349835
1099875600	313	-3.15787265198776
1099879200	313	-2.94317861367248
1099882800	313	-2.28371513428573
1099886400	313	-1.7328778787852
1099890000	313	-1.00292934967943
1099893600	313	-0.801790269851425
1099897200	313	0.191708460729305
1099900800	313	1.30607756027008
1099904400	313	2.16112488271838
1099908000	313	2.39350886642005
1099911600	313	2.53411160250952
1099915200	313	2.29352248661842
1099918800	313	2.90165882010925
1099922400	313	2.92838679268904
1099926000	313	2.71171076839933
1099929600	313	2.54953464865685
