Unix	jday	Pressure
1201824000	32	100489.690604051
1201827600	32	100500.461816395
1201831200	32	100503.937682502
1201834800	32	100527.379610099
1201838400	32	100674.067956928
1201842000	32	100885.196247493
1201845600	32	101260.730543284
1201849200	32	101465.712252489
1201852800	32	101593.122322163
1201856400	32	101741.660682403
1201860000	32	101820.613176766
1201863600	32	101888.875243713
1201867200	32	102039.484886201
1201870800	32	102038.241872199
1201874400	32	102008.932299615
1201878000	32	101998.932299615
1201881600	32	102017.965578906
1201885200	32	102027.965578906
1201888800	32	102076.918073269
1201892400	32	102107.41299232
1201896000	32	102137.332207392
1201899600	32	102166.641779976
1201903200	32	102157.332207392
1201906800	32	102137.332207392
1201910400	33	102136.365486683
1201914000	33	102127.055914099
1201917600	33	102106.08919339
1201921200	33	102086.975129171
1201924800	33	102055.317981046
1201928400	33	102025.237196118
1201932000	33	101946.008408462
1201935600	33	101935.927623534
1201939200	33	101926.008408462
1201942800	33	101946.975129171
1201946400	33	101896.975129171
1201950000	33	101855.927623534
1201953600	33	101776.975129171
1201957200	33	101705.927623534
1201960800	33	101646.975129171
1201964400	33	101578.632277297
1201968000	33	101527.941849881
1201971600	33	101477.941849881
1201975200	33	101469.184863883
1201978800	33	101458.218143174
1201982400	33	101449.184863883
1201986000	33	101418.137358246
1201989600	33	101367.089852609
1201993200	33	101297.780280025
1201996800	34	101258.827785662
1202000400	34	101179.518213079
1202004000	34	101098.551492369
1202007600	34	101039.241919786
1202011200	34	101000.208640495
1202014800	34	100961.946573548
1202018400	34	100890.289425423
1202022000	34	100930.208640495
1202025600	34	100981.256146132
1202029200	34	101030.565718716
1202032800	34	101020.842012009
1202036400	34	101020.23236952
1202040000	34	101002.327380794
1202043600	34	101014.146098775
1202047200	34	101044.146098775
1202050800	34	101064.503176996
1202054400	34	101095.193604413
1202058000	34	101134.583961924
1202061600	34	101156.402679905
1202065200	34	101238.221397886
1202068800	34	101308.99261023
1202072400	34	101377.173892249
1202076000	34	101437.093107322
1202079600	34	101494.583961924
1202083200	35	101613.617241215
1202086800	35	101654.307668631
1202090400	35	101664.307668631
1202094000	35	101683.536456287
1202097600	35	101733.536456287
1202101200	35	101782.48895065
1202104800	35	101879.979805252
1202108400	35	101890.393939376
1202112000	35	101890.474724303
1202115600	35	101971.441445013
1202119200	35	101970.393939376
1202122800	35	101990.393939376
1202126400	35	102050.393939376
1202130000	35	102061.16515172
1202133600	35	102081.16515172
1202137200	35	102109.508003594
1202140800	35	102109.508003594
1202144400	35	102110.198431011
1202148000	35	102109.427218666
1202151600	35	102120.198431011
1202155200	35	102100.198431011
1202158800	35	102100.198431011
1202162400	35	102089.150925373
1202166000	35	102068.103419736
1202169600	36	102056.860405734
1202173200	36	101996.584112441
1202176800	36	101945.812900097
1202180400	36	101885.732115169
1202184000	36	101855.732115169
1202187600	36	101825.732115169
1202191200	36	101794.189690481
1202194800	36	101735.927623534
1202198400	36	101745.927623534
1202202000	36	101766.203916827
1202205600	36	101755.15641119
1202209200	36	101735.15641119
1202212800	36	101804.880117897
1202216400	36	101794.108905553
1202220000	36	101704.108905553
1202223600	36	101653.142184844
1202227200	36	101603.061399916
1202230800	36	101554.108905553
1202234400	36	101555.075626262
1202238000	36	101593.256908281
1202241600	36	101573.061399916
1202245200	36	101553.751827332
1202248800	36	101504.718548042
1202252400	36	101453.751827332
1202256000	37	101344.442254749
1202259600	37	101345.408975458
1202263200	37	101354.442254749
1202266800	37	101324.442254749
1202270400	37	101296.180187802
1202274000	37	101275.489760386
1202277600	37	101265.766053679
1202281200	37	101295.685268751
1202284800	37	101326.732774388
1202288400	37	101366.042346972
1202292000	37	101346.732774388
1202295600	37	101336.813559316
1202299200	37	101299.322704713
1202302800	37	101279.322704713
1202306400	37	101268.551492369
1202310000	37	101256.813559316
1202313600	37	101246.813559316
1202317200	37	101227.503986732
1202320800	37	101206.732774388
1202324400	37	101206.042346972
1202328000	37	101196.732774388
1202331600	37	101176.375696167
1202335200	37	101104.637763114
1202338800	37	101034.280684893
1202342400	38	101014.556978186
1202346000	38	100945.051897237
1202349600	38	100875.661539726
1202353200	38	100804.0043916
1202356800	38	100763.233179256
1202360400	38	100733.233179256
1202364000	38	100726.29491124
1202367600	38	100725.604483823
1202371200	38	100755.685268751
1202374800	38	100767.146908512
1202378400	38	100717.146908512
1202382000	38	100676.456481095
1202385600	38	100637.342416877
1202389200	38	100597.699495097
1202392800	38	100557.699495097
1202396400	38	100535.961562044
1202400000	38	100516.928282753
1202403600	38	100497.009067681
1202407200	38	100446.928282753
1202410800	38	100447.97578839
1202414400	38	100425.961562044
1202418000	38	100396.65198946
1202421600	38	100356.571204533
1202425200	38	100297.261631949
1202428800	39	100269.575268981
1202432400	39	100266.29491124
1202436000	39	100216.018617947
1202439600	39	100126.789830291
1202443200	39	100057.756551
1202446800	39	100016.985338656
1202450400	39	99948.5854308789
1202454000	39	99978.5854308789
1202457600	39	100009.356643223
1202461200	39	100078.585430879
1202464800	39	100088.861724172
1202468400	39	100098.861724172
1202472000	39	100051.037520374
1202475600	39	100041.72794779
1202479200	39	100028.9425091
1202482800	39	100009.990014737
1202486400	39	100000.070799665
1202490000	39	100010.070799664
1202493600	39	100080.842012009
1202497200	39	100128.413651539
1202500800	39	100149.104078955
1202504400	39	100159.875291299
1202508000	39	100159.875291299
1202511600	39	100151.613224353
1202515200	40	100171.694009281
1202518800	40	100140.646503643
1202522400	40	100101.33693106
1202526000	40	100090.565718716
1202529600	40	100079.598998006
1202533200	40	100088.827785662
