Unix	jday	Downward_Long.Wave_Rad_Flux
1104537600	1	357.587609131176
1104541200	1	360.36488914409
1104544800	1	353.599560888115
1104548400	1	353.178952263107
1104552000	1	353.300104931297
1104555600	1	355.92184201871
1104559200	1	360.023502130607
1104562800	1	358.805527486183
1104566400	1	352.47007663384
1104570000	1	347.870961675297
1104573600	1	344.364362711189
1104577200	1	344.303580030782
1104580800	1	340.31848138791
1104584400	1	339.325312589903
1104588000	1	349.424074446424
1104591600	1	354.199416587724
1104595200	1	356.13221993745
1104598800	1	357.259804127745
1104602400	1	363.164289739145
1104606000	1	363.58348768865
1104609600	1	363.425629253177
1104613200	1	362.832996292688
1104616800	1	363.183565473679
1104620400	1	364.076005518311
1104624000	2	369.643310487191
1104627600	2	369.883589829711
1104631200	2	370.245943847489
1104634800	2	368.795811110007
1104638400	2	366.382679365325
1104642000	2	359.710749761161
1104645600	2	317.073791788136
1104649200	2	315.674703938784
1104652800	2	309.537939425919
1104656400	2	305.782100175513
1104660000	2	302.730909152649
1104663600	2	300.623362036134
1104667200	2	292.408884417573
1104670800	2	291.828361266116
1104674400	2	294.172202562644
1104678000	2	294.767634358345
1104681600	2	295.965157890488
1104685200	2	297.572471461384
1104688800	2	324.885426273984
1104692400	2	325.868952621829
1104696000	2	320.297592738479
1104699600	2	323.329640404132
1104703200	2	323.942120699769
1104706800	2	324.11311853419
1104710400	3	335.550546407633
1104714000	3	338.346496295379
1104717600	3	347.798701351432
1104721200	3	355.188498004053
1104724800	3	358.402839689723
1104728400	3	360.062063598318
1104732000	3	359.345486294865
1104735600	3	358.074789437411
1104739200	3	353.418162600618
1104742800	3	346.76681521643
1104746400	3	340.285388528506
1104750000	3	336.000500792238
1104753600	3	351.270345999812
1104757200	3	350.792882576343
1104760800	3	351.287727483634
1104764400	3	350.950369823054
1104768000	3	350.670711324888
1104771600	3	350.593252910919
1104775200	3	342.16091207984
1104778800	3	343.139485877186
1104782400	3	334.845654729018
1104786000	3	335.590103771909
1104789600	3	339.23362659118
1104793200	3	342.979547366126
1104796800	4	356.513847359748
1104800400	4	359.995888557376
1104804000	4	351.331763680297
1104807600	4	349.278186253838
1104811200	4	347.373802503228
1104814800	4	345.684725923424
1104818400	4	327.614113991591
1104822000	4	326.283238453321
1104825600	4	321.001301339121
1104829200	4	316.229820450366
1104832800	4	311.509527824787
1104836400	4	307.368754298493
1104840000	4	284.495605162532
1104843600	4	283.747456233287
1104847200	4	282.705647237255
1104850800	4	284.104073944133
1104854400	4	284.843856113807
1104858000	4	285.607757634784
1104861600	4	292.075730075694
1104865200	4	294.998921879636
1104868800	4	299.355678479488
1104872400	4	301.831339809492
1104876000	4	304.343717657842
1104879600	4	306.826954313943
1104883200	5	335.802998149582
1104886800	5	335.909969047839
1104890400	5	335.527732675362
1104894000	5	335.64706603791
1104897600	5	339.451666556269
1104901200	5	345.17259050085
1104904800	5	365.895040629246
1104908400	5	364.336418191025
1104912000	5	363.430652523733
1104915600	5	362.046172397535
1104919200	5	361.384850183589
1104922800	5	360.967674010302
1104926400	5	359.104889682175
1104930000	5	358.335961814262
1104933600	5	357.152885376884
1104937200	5	356.059550975312
1104940800	5	355.780850476248
1104944400	5	355.614663030048
1104948000	5	354.339588791585
1104951600	5	354.617253854659
1104955200	5	352.735086196715
1104958800	5	353.380014862167
1104962400	5	354.473697938093
1104966000	5	356.832767320112
1104969600	6	363.599489387439
1104973200	6	364.579629910359
1104976800	6	364.746440853774
1104980400	6	364.571837446814
1104984000	6	363.867334733482
1104987600	6	363.403251305607
1104991200	6	354.124219411383
1104994800	6	354.119186446625
1104998400	6	358.351712034613
1105002000	6	362.126029178114
1105005600	6	365.079275384979
1105009200	6	366.857503892419
1105012800	6	372.328653654395
1105016400	6	372.827967445334
1105020000	6	372.399204129705
1105023600	6	371.68907170503
1105027200	6	370.161722334496
1105030800	6	367.908710578556
1105034400	6	334.243332853885
1105038000	6	335.754742834509
1105041600	6	338.028965632855
1105045200	6	337.297828558955
1105048800	6	336.23245936152
1105052400	6	336.475814136989
1105056000	7	351.460873524838
1105059600	7	354.545950271852
1105063200	7	351.272895583053
1105066800	7	353.940889529164
1105070400	7	363.241124916319
1105074000	7	366.27923282764
1105077600	7	355.702210722138
1105081200	7	353.823889076128
1105084800	7	339.19278708597
1105088400	7	330.248296333624
1105092000	7	324.755060107104
1105095600	7	321.690705904495
1105099200	7	331.060122903521
1105102800	7	330.316596366962
1105106400	7	329.016940624683
1105110000	7	328.323764615578
1105113600	7	328.503934112765
1105117200	7	328.955594524875
1105120800	7	357.822047025411
1105124400	7	358.258188755179
1105128000	7	349.732229911596
1105131600	7	347.800083190926
1105135200	7	347.900970872208
1105138800	7	348.8872284048
1105142400	8	360.977484879737
1105146000	8	360.589011062316
1105149600	8	361.289373028692
1105153200	8	362.10624253706
1105156800	8	361.628690586114
1105160400	8	360.58866387637
1105164000	8	358.182039064158
1105167600	8	357.404677876454
1105171200	8	359.373754564526
1105174800	8	360.546669248457
1105178400	8	362.419961995829
1105182000	8	363.979961835825
1105185600	8	372.407648294386
1105189200	8	371.842446493041
1105192800	8	371.807474203676
1105196400	8	371.263951132006
1105200000	8	370.609770525472
1105203600	8	369.860496334649
1105207200	8	365.599700855257
1105210800	8	365.420975903323
1105214400	8	364.299602418198
1105218000	8	363.326123996984
1105221600	8	362.119039903195
1105225200	8	361.74725211243
1105228800	9	363.741781928338
1105232400	9	364.427138875967
1105236000	9	365.174889981131
1105239600	9	365.225901529019
1105243200	9	364.596941468411
1105246800	9	364.06463873426
1105250400	9	358.857624976906
1105254000	9	358.41067198068
1105257600	9	358.798714208236
1105261200	9	358.347799038491
1105264800	9	357.967122579253
1105268400	9	357.739333007693
1105272000	9	358.477712382894
1105275600	9	358.090671727041
1105279200	9	358.217065432782
1105282800	9	358.188359887596
1105286400	9	358.164387178776
1105290000	9	358.140616026239
1105293600	9	358.323844785204
1105297200	9	358.682140412491
1105300800	9	359.328110423336
1105304400	9	359.991195253018
1105308000	9	360.580564933366
1105311600	9	360.892637973677
1105315200	10	356.712030887531
1105318800	10	358.097366035055
1105322400	10	357.768875556121
1105326000	10	354.609936323548
1105329600	10	349.580621664494
1105333200	10	344.471955954957
1105336800	10	300.411809792874
1105340400	10	298.82557797749
1105344000	10	295.083469429882
1105347600	10	292.112931477449
1105351200	10	292.386308310108
1105354800	10	293.453318213616
1105358400	10	328.96285487331
1105362000	10	328.64152849995
1105365600	10	334.072573766268
1105369200	10	336.987304351631
1105372800	10	336.014698655558
1105376400	10	333.771758419978
1105380000	10	301.78009740825
1105383600	10	303.26026083803
1105387200	10	306.951847610703
1105390800	10	309.395273001365
1105394400	10	318.691271515475
1105398000	10	328.168793315083
1105401600	11	361.139963234126
1105405200	11	362.811885880795
