Unix	jday	Precipitation_rate
1230768000	1	0
1230771600	1	0
1230775200	1	0
1230778800	1	0
1230782400	1	0
1230786000	1	0
1230789600	1	0
1230793200	1	0
1230796800	1	0
1230800400	1	0
1230804000	1	0
1230807600	1	0
1230811200	1	0
1230814800	1	0
1230818400	1	0
1230822000	1	0
1230825600	1	0
1230829200	1	0
1230832800	1	0
1230836400	1	0
1230840000	1	0
1230843600	1	0
1230847200	1	0
1230850800	1	0
1230854400	2	0
1230858000	2	0
1230861600	2	0
1230865200	2	0
1230868800	2	0
1230872400	2	0
1230876000	2	0
1230879600	2	0
1230883200	2	0
1230886800	2	0.000133528558518719
1230890400	2	0.000100454218493274
1230894000	2	8.09342606979566e-05
1230897600	2	0
1230901200	2	1.8982833999002e-06
1230904800	2	6.13849240217403e-06
1230908400	2	5.46667309781273e-06
1230912000	2	4.38856553870277e-06
1230915600	2	3.31045794407354e-06
1230919200	2	0
1230922800	2	0
1230926400	2	1.9729008631625e-09
1230930000	2	1.9729008631625e-09
1230933600	2	2.95935140689017e-09
1230937200	2	7.89160345264998e-09
1230940800	3	4.30900295138626e-05
1230944400	3	3.59235309013233e-05
1230948000	3	2.71347969187667e-05
1230951600	3	1.87383641408274e-05
1230955200	3	1.40728067912798e-05
1230958800	3	1.12657985068579e-05
1230962400	3	2.6578970408784e-06
1230966000	3	1.72846838727306e-06
1230969600	3	8.73605472344039e-07
1230973200	3	8.39145604400156e-07
1230976800	3	1.28316341980582e-06
1230980400	3	1.11415716095534e-06
1230984000	3	2.66341617648401e-08
1230987600	3	2.03277268467539e-06
1230991200	3	1.72922003491831e-06
1230994800	3	2.10101589187328e-06
1230998400	3	1.9418411169904e-06
1231002000	3	1.55820785799656e-06
1231005600	3	0
1231009200	3	0
1231012800	3	0
1231016400	3	0
1231020000	3	0
1231023600	3	0
1231027200	4	0
1231030800	4	0
1231034400	4	0
1231038000	4	0
1231041600	4	0
1231045200	4	0
1231048800	4	0
1231052400	4	0
1231056000	4	0
1231059600	4	0
1231063200	4	0
1231066800	4	0
1231070400	4	0
1231074000	4	0
1231077600	4	0
1231081200	4	0
1231084800	4	0
1231088400	4	0
1231092000	4	0
1231095600	4	0
1231099200	4	0
1231102800	4	0
1231106400	4	0
1231110000	4	0
1231113600	5	0
1231117200	5	0
1231120800	5	0
1231124400	5	0
1231128000	5	0
1231131600	5	0
1231135200	5	0
1231138800	5	0
1231142400	5	0
1231146000	5	0
1231149600	5	0
1231153200	5	0
1231156800	5	0
1231160400	5	0
1231164000	5	3.07498486554083e-07
1231167600	5	2.31363711422808e-07
1231171200	5	1.54242468436759e-07
1231174800	5	1.54242468436759e-07
1231178400	5	0
1231182000	5	0
1231185600	5	0
1231189200	5	0
1231192800	5	0
1231196400	5	0
1231200000	6	0
1231203600	6	0
1231207200	6	0
1231210800	6	1.97540463411858e-06
1231214400	6	1.97540463411858e-06
1231218000	6	9.87209091843502e-07
1231221600	6	0
1231225200	6	0
1231228800	6	0
1231232400	6	0
1231236000	6	0
1231239600	6	0
1231243200	6	0
1231246800	6	0
1231250400	6	0
1231254000	6	0
1231257600	6	0
1231261200	6	0
1231264800	6	0
1231268400	6	0
1231272000	6	0
1231275600	6	0
1231279200	6	0
1231282800	6	0
1231286400	7	0
1231290000	7	0
1231293600	7	0
1231297200	7	0
1231300800	7	0
1231304400	7	0
1231308000	7	0
1231311600	7	0
1231315200	7	0
1231318800	7	0
1231322400	7	0
1231326000	7	0
1231329600	7	0
1231333200	7	0
1231336800	7	0
1231340400	7	0
1231344000	7	0
1231347600	7	0
1231351200	7	0
1231354800	7	0
1231358400	7	0
1231362000	7	0
1231365600	7	0
1231369200	7	0
1231372800	8	0
1231376400	8	0
1231380000	8	0
1231383600	8	0
1231387200	8	0
1231390800	8	0
1231394400	8	0
1231398000	8	0
1231401600	8	0
1231405200	8	0
1231408800	8	0
1231412400	8	0
1231416000	8	0
1231419600	8	0
1231423200	8	0
1231426800	8	0
1231430400	8	0
1231434000	8	0
1231437600	8	0
1231441200	8	0
1231444800	8	0
1231448400	8	0
1231452000	8	0
1231455600	8	0
1231459200	9	0
1231462800	9	0
1231466400	9	0
1231470000	9	0
1231473600	9	0
1231477200	9	0
1231480800	9	0
1231484400	9	0
1231488000	9	5.36889296889436e-07
1231491600	9	5.36889296889436e-07
1231495200	9	4.59768071438726e-07
1231498800	9	3.83633261685359e-07
1231502400	9	0
1231506000	9	1.53256018005178e-07
1231509600	9	4.59768071438726e-07
1231513200	9	8.47347134401824e-07
1231516800	9	1.23591264903011e-06
1231520400	9	1.79249803784869e-06
1231524000	9	6.31879271220467e-06
1231527600	9	5.23317692860532e-06
1231531200	9	5.41178743896363e-06
1231534800	9	5.02690757003344e-06
1231538400	9	4.25409802738886e-06
1231542000	9	2.90526748952957e-06
1231545600	10	0
1231549200	10	0
1231552800	10	0
1231556400	10	0
1231560000	10	0
1231563600	10	0
1231567200	10	0
1231570800	10	0
1231574400	10	0
1231578000	10	0
1231581600	10	0
1231585200	10	0
1231588800	10	0
1231592400	10	0
1231596000	10	0
1231599600	10	0
1231603200	10	0
1231606800	10	0
1231610400	10	0
1231614000	10	1.27909056317412e-08
1231617600	10	1.37773560633224e-08
1231621200	10	1.37773560633224e-08
1231624800	10	1.37773560633224e-08
1231628400	10	2.55818112634823e-08
1231632000	11	0
1231635600	11	0
1231639200	11	0
1231642800	11	0
1231646400	11	0
1231650000	11	0
1231653600	11	0
1231657200	11	0
1231660800	11	0
1231664400	11	0
1231668000	11	0
1231671600	11	0
1231675200	11	0
1231678800	11	0
1231682400	11	0
1231686000	11	0
1231689600	11	0
1231693200	11	0
1231696800	11	0
1231700400	11	0
1231704000	11	0
1231707600	11	0
1231711200	11	0
1231714800	11	0
1231718400	12	0
1231722000	12	0
1231725600	12	0
1231729200	12	0
1231732800	12	0
1231736400	12	0
1231740000	12	0
1231743600	12	0
1231747200	12	0
1231750800	12	0
1231754400	12	0
1231758000	12	0
1231761600	12	0
1231765200	12	0
1231768800	12	0
1231772400	12	0
1231776000	12	0
1231779600	12	0
1231783200	12	1.09724453764719e-05
1231786800	12	2.17808166742108e-05
1231790400	12	3.03322419832814e-05
1231794000	12	3.38213114875205e-05
1231797600	12	3.35555208014152e-05
1231801200	12	3.14803719038467e-05
1231804800	13	9.21048656759984e-06
1231808400	13	7.3249942818277e-06
1231812000	13	5.49005496589485e-06
1231815600	13	4.57898034710668e-06
1231819200	13	3.66790614262713e-06
1231822800	13	3.65610168742697e-06
1231826400	13	0
1231830000	13	0
1231833600	13	0
1231837200	13	0
1231840800	13	0
1231844400	13	0
1231848000	13	0
1231851600	13	0
1231855200	13	0
1231858800	13	0
1231862400	13	0
1231866000	13	0
1231869600	13	0
1231873200	13	0
1231876800	13	0
1231880400	13	0
1231884000	13	0
1231887600	13	0
1231891200	14	0
1231894800	14	0
1231898400	14	0
1231902000	14	0
1231905600	14	0
1231909200	14	0
1231912800	14	0
1231916400	14	0
1231920000	14	0
1231923600	14	0
1231927200	14	0
1231930800	14	0
1231934400	14	0
1231938000	14	0
1231941600	14	0
1231945200	14	0
1231948800	14	0
1231952400	14	0
1231956000	14	0
1231959600	14	0
1231963200	14	0
1231966800	14	0
1231970400	14	0
1231974000	14	0
1231977600	15	0
1231981200	15	0
1231984800	15	0
1231988400	15	0
1231992000	15	0
1231995600	15	0
1231999200	15	0
1232002800	15	0
1232006400	15	0
1232010000	15	0
1232013600	15	0
1232017200	15	0
1232020800	15	0
1232024400	15	0
1232028000	15	0
1232031600	15	0
1232035200	15	0
1232038800	15	0
1232042400	15	0
1232046000	15	0
1232049600	15	0
1232053200	15	0
1232056800	15	0
