Unix	jday	Pressure
915148800	1	100479.403489641
915152400	1	100479.322704713
915156000	1	100508.079690711
915159600	1	100507.998905783
915163200	1	100508.355984004
915166800	1	100529.403489641
915170400	1	100558.632277297
915174000	1	100587.861064953
915177600	1	100610.370210351
915181200	1	100698.713062225
915184800	1	100759.679782934
915188400	1	100818.989355518
915192000	1	100880.922796936
915195600	1	100889.104078955
915199200	1	100890.151584592
915202800	1	100890.23236952
915206400	1	100910.23236952
915210000	1	100950.23236952
915213600	1	100949.104078955
915217200	1	100977.089852609
915220800	1	101018.827785662
915224400	1	101038.056573318
915228000	1	101007.089852609
915231600	1	100977.780280025
915235200	2	101037.58477166
915238800	2	101007.503986732
915242400	2	101027.503986732
915246000	2	101006.732774388
915249600	2	100977.423201804
915253200	2	100968.389922514
915256800	2	100975.109564772
915260400	2	101005.109564772
915264000	2	101015.961562044
915267600	2	101045.961562044
915271200	2	101057.699495097
915274800	2	101077.97578839
915278400	2	101159.794506372
915282000	2	101209.794506372
915285600	2	101199.794506372
915289200	2	101179.794506372
915292800	2	101168.137358246
915296400	2	101159.794506372
915300000	2	101229.875291299
915303600	2	101268.056573318
915307200	2	101287.009067681
915310800	2	101277.780280025
915314400	2	101236.732774388
915318000	2	101187.503986732
915321600	3	101207.837335928
915325200	3	101186.099402874
915328800	3	101185.32819053
915332400	3	101126.099402874
915336000	3	101087.066123584
915339600	3	101066.29491124
915343200	3	100994.833271479
915346800	3	101016.571204533
915350400	3	101057.261631949
915354000	3	101126.571204533
915357600	3	101136.571204533
915361200	3	101137.61871017
915364800	3	101077.699495097
915368400	3	101047.699495097
915372000	3	101018.666215807
915375600	3	100998.666215807
915379200	3	100988.747000734
915382800	3	100989.713721444
915386400	3	100990.565718716
915390000	3	101039.794506372
915393600	3	101068.747000734
915397200	3	101069.518213079
915400800	3	101029.437428151
915404400	3	100978.389922514
915408000	4	101000.622774618
915411600	4	100958.032844293
915415200	4	100937.066123584
915418800	4	100897.066123584
915422400	4	100828.032844293
915426000	4	100778.999565002
915429600	4	100716.766712898
915433200	4	100718.504645951
915436800	4	100759.552151588
915440400	4	100798.861724172
915444000	4	100799.909229809
915447600	4	100809.218802393
915451200	4	100809.909229809
915454800	4	100779.138017465
915458400	4	100759.414310758
915462000	4	100781.233028739
915465600	4	100801.233028739
915469200	4	100840.347092957
915472800	4	100900.62338625
915476400	4	100980.704171178
915480000	4	101029.737450469
915483600	4	101050.427877885
915487200	4	101041.889517646
915490800	4	101032.66072999
915494400	5	101060.646503643
915498000	5	101021.417715988
915501600	5	100991.33693106
915505200	5	100960.370210351
915508800	5	100939.518213079
915512400	5	100929.518213079
915516000	5	100918.470707442
915519600	5	100979.598998006
915523200	5	101033.59351219
915526800	5	101116.183442515
915530400	5	101176.37895088
915534000	5	101223.098593138
915537600	5	101170.784956106
915541200	5	101160.865741034
915544800	5	101119.541942104
915548400	5	101039.541942104
915552000	5	101020.313154448
915555600	5	101031.970302573
915559200	5	100989.184863883
915562800	5	101061.003581864
915566400	5	101103.59351219
915570000	5	101196.678361566
915573600	5	101233.317218897
915577200	5	101219.956076227
915580800	6	101250.808073499
915584400	6	101219.070140446
915588000	6	101148.632277297
915591600	6	101027.503986732
915595200	6	100856.65198946
915598800	6	100734.142844063
915602400	6	100711.82920703
915606000	6	100654.2575675
915609600	6	100598.090511828
915613200	6	100629.218802393
915616800	6	100609.218802393
915620400	6	100580.26630803
915624000	6	100479.575880613
915627600	6	100451.313813667
