Unix	jday	rh
1041379200	1	44
1041382800	1	45
1041386400	1	44
1041390000	1	42
1041393600	1	43
1041397200	1	44
1041400800	1	55
1041404400	1	60
1041408000	1	68
1041411600	1	81
1041415200	1	84
1041418800	1	86
1041422400	1	86
1041426000	1	86
1041429600	1	85
1041433200	1	85
1041436800	1	86
1041440400	1	86
1041444000	1	79
1041447600	1	75
1041451200	1	69
1041454800	1	65
1041458400	1	60
1041462000	1	57
1041465600	2	62
1041469200	2	56
1041472800	2	54
1041476400	2	55
1041480000	2	58
1041483600	2	61
1041487200	2	68
1041490800	2	71
1041494400	2	79
1041498000	2	85
1041501600	2	87
1041505200	2	90
1041508800	2	89
1041512400	2	90
1041516000	2	90
1041519600	2	89
1041523200	2	86
1041526800	2	83
1041530400	2	71
1041534000	2	62
1041537600	2	56
1041541200	2	47
1041544800	2	39
1041548400	2	33
1041552000	3	32
1041555600	3	30
1041559200	3	30
1041562800	3	32
1041566400	3	37
1041570000	3	43
1041573600	3	57
1041577200	3	60
1041580800	3	69
1041584400	3	77
1041588000	3	83
1041591600	3	84
1041595200	3	81
1041598800	3	84
1041602400	3	86
1041606000	3	86
1041609600	3	85
1041613200	3	84
1041616800	3	73
1041620400	3	65
1041624000	3	57
1041627600	3	50
1041631200	3	48
1041634800	3	45
1041638400	4	45
1041642000	4	45
1041645600	4	46
1041649200	4	47
1041652800	4	49
1041656400	4	51
1041660000	4	57
1041663600	4	61
1041667200	4	69
1041670800	4	73
1041674400	4	75
1041678000	4	79
1041681600	4	83
1041685200	4	84
1041688800	4	85
1041692400	4	86
1041696000	4	85
1041699600	4	86
1041703200	4	85
1041706800	4	83
1041710400	4	79
1041714000	4	74
1041717600	4	75
1041721200	4	78
1041724800	5	78
1041728400	5	66
1041732000	5	56
1041735600	5	55
1041739200	5	62
1041742800	5	66
1041746400	5	71
1041750000	5	73
1041753600	5	76
1041757200	5	79
1041760800	5	81
1041764400	5	82
1041768000	5	83
1041771600	5	86
1041775200	5	86
1041778800	5	86
1041782400	5	86
1041786000	5	86
1041789600	5	81
1041793200	5	74
1041796800	5	64
1041800400	5	54
1041804000	5	48
1041807600	5	46
1041811200	6	46
1041814800	6	43
1041818400	6	42
1041822000	6	43
1041825600	6	45
1041829200	6	48
1041832800	6	55
1041836400	6	59
1041840000	6	65
1041843600	6	72
1041847200	6	79
1041850800	6	84
1041854400	6	86
1041858000	6	88
1041861600	6	91
1041865200	6	93
1041868800	6	93
1041872400	6	94
1041876000	6	88
1041879600	6	82
1041883200	6	76
1041886800	6	72
1041890400	6	67
1041894000	6	62
1041897600	7	59
1041901200	7	56
1041904800	7	56
1041908400	7	56
1041912000	7	59
1041915600	7	61
1041919200	7	66
1041922800	7	69
1041926400	7	76
1041930000	7	83
1041933600	7	87
1041937200	7	89
1041940800	7	89
1041944400	7	90
1041948000	7	90
1041951600	7	90
1041955200	7	89
1041958800	7	88
1041962400	7	80
1041966000	7	74
1041969600	7	67
1041973200	7	61
1041976800	7	56
1041980400	7	53
1041984000	8	56
1041987600	8	58
1041991200	8	58
1041994800	8	59
1041998400	8	62
1042002000	8	66
1042005600	8	71
1042009200	8	74
1042012800	8	78
1042016400	8	80
1042020000	8	80
1042023600	8	80
1042027200	8	79
1042030800	8	78
1042034400	8	78
1042038000	8	79
1042041600	8	78
1042045200	8	78
1042048800	8	76
1042052400	8	71
1042056000	8	65
1042059600	8	61
1042063200	8	58
1042066800	8	57
1042070400	9	65
1042074000	9	63
1042077600	9	62
1042081200	9	62
1042084800	9	62
1042088400	9	63
1042092000	9	67
1042095600	9	69
1042099200	9	73
1042102800	9	76
1042106400	9	78
1042110000	9	80
1042113600	9	80
1042117200	9	81
1042120800	9	81
1042124400	9	81
1042128000	9	82
1042131600	9	84
1042135200	9	82
1042138800	9	78
1042142400	9	74
1042146000	9	69
1042149600	9	64
1042153200	9	60
1042156800	10	61
1042160400	10	57
1042164000	10	57
1042167600	10	60
1042171200	10	63
1042174800	10	67
1042178400	10	71
1042182000	10	77
1042185600	10	82
1042189200	10	86
1042192800	10	88
1042196400	10	90
1042200000	10	89
1042203600	10	89
1042207200	10	89
1042210800	10	88
1042214400	10	88
1042218000	10	87
1042221600	10	86
1042225200	10	84
1042228800	10	82
1042232400	10	80
1042236000	10	78
1042239600	10	76
1042243200	11	71
1042246800	11	70
1042250400	11	70
1042254000	11	70
1042257600	11	69
1042261200	11	70
1042264800	11	75
1042268400	11	78
1042272000	11	85
1042275600	11	89
1042279200	11	91
1042282800	11	92
1042286400	11	92
1042290000	11	93
1042293600	11	93
1042297200	11	93
1042300800	11	92
1042304400	11	92
1042308000	11	91
1042311600	11	90
1042315200	11	89
1042318800	11	88
1042322400	11	87
1042326000	11	86
1042329600	12	85
1042333200	12	86
1042336800	12	86
1042340400	12	84
1042344000	12	81
1042347600	12	80
1042351200	12	81
1042354800	12	82
1042358400	12	84
1042362000	12	84
1042365600	12	83
1042369200	12	82
1042372800	12	81
1042376400	12	80
1042380000	12	79
1042383600	12	79
1042387200	12	80
1042390800	12	80
1042394400	12	80
1042398000	12	77
1042401600	12	73
1042405200	12	71
1042408800	12	69
1042412400	12	68
1042416000	13	69
1042419600	13	67
1042423200	13	64
1042426800	13	62
1042430400	13	63
1042434000	13	63
1042437600	13	65
1042441200	13	72
1042444800	13	77
1042448400	13	83
1042452000	13	84
1042455600	13	83
1042459200	13	83
1042462800	13	82
1042466400	13	82
1042470000	13	82
1042473600	13	82
1042477200	13	83
1042480800	13	83
1042484400	13	83
1042488000	13	82
1042491600	13	81
1042495200	13	80
1042498800	13	79
1042502400	14	73
1042506000	14	67
1042509600	14	61
1042513200	14	60
1042516800	14	60
1042520400	14	61
1042524000	14	63
1042527600	14	66
1042531200	14	71
1042534800	14	74
1042538400	14	75
1042542000	14	76
1042545600	14	77
1042549200	14	77
1042552800	14	80
1042556400	14	80
1042560000	14	80
1042563600	14	80
1042567200	14	77
1042570800	14	72
1042574400	14	65
1042578000	14	60
1042581600	14	55
1042585200	14	52
1042588800	15	51
1042592400	15	47
1042596000	15	46
1042599600	15	46
1042603200	15	46
1042606800	15	47
1042610400	15	51
1042614000	15	54
1042617600	15	64
1042621200	15	70
1042624800	15	77
1042628400	15	79
1042632000	15	80
1042635600	15	81
