Unix	jday	U.component_of_wind
757382400	1	0.173870272292713
757386000	1	-0.675646991732928
757389600	1	-0.719916679042317
757393200	1	0.430007106706468
757396800	1	2.65810102892369
757400400	1	4.23688688678488
757404000	1	3.17716230462894
757407600	1	5.00329992658223
757411200	1	5.54088053749629
757414800	1	5.47817689457479
757418400	1	5.16570217900107
757422000	1	5.03580534318469
757425600	1	6.17499475013712
757429200	1	5.46584030760283
757432800	1	5.51690798449178
757436400	1	5.60557639625118
757440000	1	5.30747215351355
757443600	1	5.12212461142267
757447200	1	6.0284660241261
757450800	1	4.52737921919955
757454400	1	2.67647670445631
757458000	1	1.14267348093092
757461600	1	1.23156594791688
757465200	1	1.70502532072984
757468800	2	3.85519554740484
757472400	2	3.81085602273086
757476000	2	4.79616628275182
757479600	2	5.53397257786469
757483200	2	5.96457184578481
757486800	2	6.18971610145322
757490400	2	8.79977398437865
757494000	2	7.24363791390002
757497600	2	6.70316864988915
757501200	2	6.10524702889763
757504800	2	5.39206167563833
757508400	2	4.79766757460313
757512000	2	5.03932222445705
757515600	2	4.47478181024711
757519200	2	3.46078206071734
757522800	2	2.49088360574973
757526400	2	2.21968159990855
757530000	2	2.19380465687496
757533600	2	3.88269341404155
757537200	2	3.93670328748794
757540800	2	3.97327164553343
757544400	2	3.49584707798355
757548000	2	2.9815221090739
757551600	2	2.61153727331015
757555200	3	4.11396740504715
757558800	3	2.32130199791115
757562400	3	2.410521620492
757566000	3	4.01150467489923
757569600	3	4.69396099558571
757573200	3	4.73290971248945
757576800	3	4.62276557008107
757580400	3	3.0892990443924
757584000	3	1.16765569872515
757587600	3	0.0866353480870503
757591200	3	-0.93895272614962
757594800	3	-1.74520655318148
757598400	3	-1.84012387911039
757602000	3	-3.00219855136584
757605600	3	-4.37240670341872
757609200	3	-4.13784598918387
757612800	3	-3.95449910860865
757616400	3	-3.91123744903997
757620000	3	-4.49672961521308
757623600	3	-4.0627199785561
757627200	3	-1.69640991739167
757630800	3	0.0960671717854621
757634400	3	1.8747815686146
757638000	3	2.4653203163725
757641600	4	1.18792391511266
757645200	4	1.62188308929506
757648800	4	2.23396727784621
757652400	4	2.65172265674963
757656000	4	3.88301891168079
757659600	4	4.22540971169583
757663200	4	-0.340524147541932
757666800	4	-2.68912459807864
757670400	4	-4.50036633243124
757674000	4	-4.64299272391255
757677600	4	-5.51611464082808
757681200	4	-6.13009649152443
757684800	4	-8.24752480305571
757688400	4	-7.77426175661191
757692000	4	-9.49038678433737
757695600	4	-7.60161451540939
757699200	4	-3.5779412469769
757702800	4	0.175180505920813
757706400	4	1.71300196390017
757710000	4	5.85644755202908
757713600	4	12.4689845929989
757717200	4	12.9491538807962
757720800	4	11.5032817856826
757724400	4	9.27925916012645
757728000	5	6.64643686701218
757731600	5	4.85001153347985
757735200	5	3.1861707053779
757738800	5	1.96225861490466
757742400	5	0.743085977380966
757746000	5	-0.753218422532902
757749600	5	-1.49410854002228
757753200	5	-2.90634872077506
757756800	5	-3.73423310892745
757760400	5	-3.99639162136321
757764000	5	-3.39168102524304
757767600	5	-2.91799947049508
757771200	5	-3.45551892106499
757774800	5	-2.47609131737599
757778400	5	-1.80289598850828
757782000	5	-1.03565298766361
757785600	5	-0.525426491076098
757789200	5	-0.0214619635689871
757792800	5	0.271897515401815
757796400	5	0.759039635209021
757800000	5	0.902527645318065
757803600	5	0.37049601931236
757807200	5	-0.52956025080838
757810800	5	-1.37375966214669
757814400	6	-1.69511015936583
757818000	6	-2.46745886199456
757821600	6	-3.20456952841218
757825200	6	-3.64752813500557
757828800	6	-3.12315384684001
757832400	6	-2.37613144067158
757836000	6	-0.478601612635202
757839600	6	0.334670687682124
757843200	6	2.1913505863322
757846800	6	4.01464794512803
757850400	6	4.32558140563771
