Unix	jday	V.component_of_wind
852076800	1	-3.97200160513555
852080400	1	-3.99156605276366
852084000	1	-4.12307380163008
852087600	1	-4.17107620127834
852091200	1	-4.22933921191094
852094800	1	-4.3957702116614
852098400	1	-4.76416687160043
852102000	1	-4.89882244432151
852105600	1	-4.88333152602426
852109200	1	-4.74661367465469
852112800	1	-4.23199287172413
852116400	1	-3.61111355411282
852120000	1	-5.18645488828157
852123600	1	-3.60164982933295
852127200	1	-2.31623204570516
852130800	1	-1.36686494457358
852134400	1	-1.05567565085662
852138000	1	-0.838011215860949
852141600	1	-0.979661389344025
852145200	1	-1.01831987220657
852148800	1	-0.291502852605089
852152400	1	1.27391291718067
852156000	1	2.96662265772559
852159600	1	4.44473386621818
852163200	2	4.18119101149682
852166800	2	5.84909398645141
852170400	2	6.58895730118305
852174000	2	6.62948335636832
852177600	2	5.78377647723323
852181200	2	4.92114708997763
852184800	2	4.89793081976975
852188400	2	4.20952060152461
852192000	2	3.76106313290196
852195600	2	3.85857722680466
852199200	2	3.69260575897202
852202800	2	3.36294367984841
852206400	2	3.96308804512371
852210000	2	3.91744093118188
852213600	2	3.87165274383316
852217200	2	4.01940562753957
852220800	2	3.5244980046499
852224400	2	3.14881255452667
852228000	2	3.07179828691794
852231600	2	2.63000097245492
852235200	2	1.95966024621064
852238800	2	1.24363738300751
852242400	2	0.480510863279841
852246000	2	-0.183938062025757
852249600	3	-0.0711407194529326
852253200	3	-0.545848091022176
852256800	3	-0.927145188408744
852260400	3	-1.78587697937225
852264000	3	-2.54511925760022
852267600	3	-3.19127971791571
852271200	3	-4.31764146563248
852274800	3	-3.49280428375386
852278400	3	-2.95469415763123
852282000	3	-3.03014271881276
852285600	3	-3.39733503541077
852289200	3	-3.50772754608851
852292800	3	-4.25845824946407
852296400	3	-4.71862012911055
852300000	3	-4.35467056527693
852303600	3	-3.45539442684591
852307200	3	-1.72029259774346
852310800	3	0.102469464676923
852314400	3	3.02612795774447
852318000	3	4.68118411131804
852321600	3	6.50099185258918
852325200	3	7.9187802662582
852328800	3	8.26044344570456
852332400	3	8.1128776132894
852336000	4	5.2827774077426
852339600	4	4.22451061531992
852343200	4	4.75741958280879
852346800	4	6.30595636011846
852350400	4	6.53594188516471
852354000	4	6.26091755297005
852357600	4	5.66969502140013
852361200	4	5.9219090830139
852364800	4	5.97564375030102
852368400	4	6.02793107538661
852372000	4	5.7399893658197
852375600	4	5.55922135904688
852379200	4	3.6405281177097
852382800	4	5.07613402811705
852386400	4	5.51154189556072
852390000	4	6.34101615369157
852393600	4	7.52786187540362
852397200	4	8.29922921390961
852400800	4	6.88118522306633
852404400	4	7.24230675250738
852408000	4	8.1761745815066
852411600	4	8.61395317739074
852415200	4	8.73460920563894
852418800	4	8.85008674706546
852422400	5	9.13397373792914
852426000	5	8.81970452594302
852429600	5	9.09526158548172
852433200	5	9.01776865904948
852436800	5	8.44663116538142
852440400	5	7.67160201232913
852444000	5	5.73205159063441
852447600	5	5.03192140272397
852451200	5	4.0362968857983
852454800	5	2.834400311449
852458400	5	0.964785568489019
