Unix	jday	Temp
978307200	1	15.91
978393600	2	15.89
978480000	3	15.86
978566400	4	15.82
978652800	5	15.78
978739200	6	16.19
978825600	7	16.42
978912000	8	16.37
978998400	9	16.32
979084800	10	16.29
979171200	11	16.21
979257600	12	16.28
979344000	13	16.35
979430400	14	16.33
979516800	15	16.29
979603200	16	16.23
979689600	17	16.36
979776000	18	16.5
979862400	19	16.56
979948800	20	16.46
980035200	21	16.34
980121600	22	16.29
980208000	23	16.3
980294400	24	16.42
980380800	25	16.47
980467200	26	16.4
980553600	27	16.29
980640000	28	16.2
980726400	29	16.14
980812800	30	16.09
980899200	31	16.03
980985600	32	16.06
981072000	33	16.12
981158400	34	16.2
981244800	35	16.34
981331200	36	16.49
981417600	37	16.52
981504000	38	16.49
981590400	39	16.48
981676800	40	16.5
981763200	41	16.52
981849600	42	16.51
981936000	43	16.48
982022400	44	16.45
982108800	45	16.41
982195200	46	16.36
982281600	47	16.31
982368000	48	16.26
982454400	49	16.2
982540800	50	16.6
982627200	51	16.82
982713600	52	16.9
982800000	53	17.01
982886400	54	17.02
982972800	55	17.01
983059200	56	16.97
983145600	57	16.91
983232000	58	16.84
983318400	59	16.76
983404800	60	16.68
983491200	61	16.61
983577600	62	16.61
983664000	63	16.63
983750400	64	16.99
983836800	65	17.14
983923200	66	17.04
984009600	67	16.97
984096000	68	16.92
984182400	69	16.81
984268800	70	16.74
984355200	71	16.74
984441600	72	16.71
984528000	73	16.73
984614400	74	16.77
984700800	75	16.65
984787200	76	16.53
984873600	77	16.58
984960000	78	16.72
985046400	79	16.88
985132800	80	16.87
985219200	81	16.88
985305600	82	16.88
985392000	83	16.84
985478400	84	16.8
985564800	85	16.79
985651200	86	16.74
985737600	87	16.71
985824000	88	16.67
985910400	89	16.53
985996800	90	16.3
986083200	91	16.16
986169600	92	16.09
986256000	93	15.94
986342400	94	15.86
986428800	95	15.7
986515200	96	15.56
986601600	97	15.44
986688000	98	15.22
986774400	99	15.05
986860800	100	15.01
986947200	101	15.01
987033600	102	15.03
987120000	103	15.04
987206400	104	15.05
987292800	105	15
987379200	106	14.96
987465600	107	14.95
987552000	108	14.9
987638400	109	14.82
987724800	110	14.76
987811200	111	14.72
987897600	112	14.56
987984000	113	14.43
988070400	114	14.34
988156800	115	14.27
988243200	116	14.16
988329600	117	14.06
988416000	118	14.04
988502400	119	14.06
988588800	120	14.09
988675200	121	14.1
988761600	122	14.09
988848000	123	14.08
988934400	124	14.06
989020800	125	14.03
989107200	126	14
989193600	127	13.91
989280000	128	13.76
989366400	129	13.64
989452800	130	13.55
989539200	131	13.6
989625600	132	13.82
989712000	133	14.13
989798400	134	14.24
989884800	135	14.21
989971200	136	14.14
990057600	137	14.05
990144000	138	13.91
990230400	139	13.87
990316800	140	13.87
990403200	141	13.76
990489600	142	13.4
990576000	143	13.13
990662400	144	13.04
990748800	145	12.95
990835200	146	12.67
990921600	147	12.4
991008000	148	12.23
991094400	149	12.21
991180800	150	12.21
991267200	151	11.81
991353600	152	11.64
991440000	153	11.59
991526400	154	11.33
991612800	155	11.21
991699200	156	11.31
991785600	157	11.35
991872000	158	11.4
991958400	159	11.44
992044800	160	11.47
992131200	161	11.5
992217600	162	11.27
992304000	163	11.09
992390400	164	11.04
992476800	165	11.05
992563200	166	11.08
992649600	167	11.1
992736000	168	11.06
992822400	169	11.01
992908800	170	10.98
992995200	171	10.82
993081600	172	10.75
993168000	173	10.74
993254400	174	10.76
993340800	175	10.78
993427200	176	10.69
993513600	177	10.62
993600000	178	10.61
993686400	179	10.63
993772800	180	10.64
993859200	181	10.34
993945600	182	10.18
994032000	183	9.98
994118400	184	9.86
994204800	185	9.82
994291200	186	9.82
994377600	187	9.84
994464000	188	9.82
994550400	189	9.68
994636800	190	9.54
994723200	191	9.42
994809600	192	9.31
994896000	193	9.25
994982400	194	9.28
995068800	195	9.33
995155200	196	9.39
995241600	197	9.46
995328000	198	9.54
995414400	199	9.37
995500800	200	9.28
995587200	201	9.3
995673600	202	9.37
995760000	203	9.31
995846400	204	9.15
995932800	205	9.02
996019200	206	8.95
996105600	207	8.92
