Unix	jday	dp	hs	tp
1167609600	1	142.28	1.21	6.9
1167620400	1	118.15	1.28	9.43
1167631200	1	121.03	1.32	9.15
1167642000	1	121.12	1.3	8.84
1167652800	1	122.83	1.34	8.76
1167663600	1	128.49	1.39	8.67
1167674400	1	129.29	1.39	8.45
1167685200	1	127.19	1.37	8.24
1167696000	2	132.34	1.35	7.86
1167706800	2	130.51	1.34	7.65
1167717600	2	130.69	1.3	7.5
1167728400	2	129.58	1.24	7.36
1167739200	2	129.9	1.19	7.23
1167750000	2	136.13	1.14	6.93
1167760800	2	135.71	1.06	6.79
1167771600	2	134.86	0.99	6.7
1167782400	3	134.49	0.93	6.6
1167793200	3	142.6	0.88	6.47
1167804000	3	102.11	0.83	9.04
1167814800	3	103.24	0.77	9
1167825600	3	104.67	0.75	8.99
1167836400	3	107.21	0.72	8.98
1167847200	3	110.43	0.64	8.97
1167858000	3	114.01	0.57	8.95
1167868800	4	118.75	0.53	8.93
1167879600	4	122.98	0.49	8.89
1167890400	4	128.34	0.46	8.83
1167901200	4	132.25	0.44	8.69
1167912000	4	146.26	0.44	8.39
1167922800	4	151.87	0.47	8.59
1167933600	4	57.94	0.87	2.95
1167944400	4	161.27	0.63	9.25
1167955200	5	163.22	0.54	9.57
1167966000	5	160.6	0.51	9.67
1167976800	5	166.52	0.54	9.74
1167987600	5	65.57	0.57	5.34
1167998400	5	61.34	0.6	5.83
1168009200	5	64.21	0.56	6.07
1168020000	5	68.97	0.48	6.54
1168030800	5	168.47	0.4	11.72
1168041600	6	173.74	0.35	12
1168052400	6	168.91	0.31	12.54
1168063200	6	176.38	0.4	13.06
1168074000	6	172.19	0.66	13.05
1168084800	6	197.8	0.7	3.55
1168095600	6	188.02	0.75	3.62
1168106400	6	187.86	0.74	3.74
1168117200	6	185.1	0.71	6.71
1168128000	7	180.63	0.62	6.83
1168138800	7	178.81	0.58	6.82
1168149600	7	174.6	0.71	6.74
1168160400	7	76.58	0.91	3.46
1168171200	7	65.94	1.11	3.91
1168182000	7	62.43	1.07	4.32
1168192800	7	68.02	0.93	4.68
1168203600	7	66.05	0.82	4.78
1168214400	8	66.99	0.76	5.17
1168225200	8	64.04	0.72	5.31
1168236000	8	64.6	0.67	5.63
1168246800	8	61.43	0.61	5.83
1168257600	8	62.43	0.6	6.2
1168268400	8	299.62	0.8	3.29
1168279200	8	58.87	0.54	6.33
1168290000	8	65.9	0.4	6.52
1168300800	9	65.45	0.46	6.57
1168311600	9	218.14	0.43	2.92
1168322400	9	60.7	0.37	6.49
1168333200	9	68.74	0.39	6.64
1168344000	9	67.84	0.43	6.74
1168354800	9	69.83	0.42	6.82
1168365600	9	74.23	0.41	7.2
1168376400	9	76.19	0.4	7.34
1168387200	10	74.69	0.38	7.33
1168398000	10	78.37	0.38	7.18
1168408800	10	73.31	0.44	7.14
1168419600	10	77.61	0.5	7.24
1168430400	10	74.63	0.57	7.32
1168441200	10	76.4	0.66	7.64
1168452000	10	74.39	0.75	7.95
1168462800	10	78.44	0.8	7.72
1168473600	11	77.75	0.83	7.59
1168484400	11	80.41	0.81	7.55
1168495200	11	79.67	0.81	7.5
1168506000	11	84.92	0.76	7.43
1168516800	11	91.48	0.72	7.38
1168527600	11	105.64	0.7	7.35
1168538400	11	117.79	0.72	7.48
1168549200	11	123.87	0.74	7.74
1168560000	12	127.67	0.75	7.74
1168570800	12	128.18	0.73	7.77
1168581600	12	128.85	0.7	7.74
1168592400	12	125.43	0.68	7.71
1168603200	12	122.2	0.66	7.61
1168614000	12	117.79	0.64	7.49
1168624800	12	115	0.64	7.35
1168635600	12	109.52	0.62	7.12
1168646400	13	108.55	0.62	6.88
1168657200	13	109.37	0.71	6.73
1168668000	13	109.93	0.79	6.6
1168678800	13	97.99	0.84	6.4
1168689600	13	65.72	0.86	4.74
1168700400	13	64.59	0.84	4.87
1168711200	13	76.98	0.83	5.47
1168722000	13	78	0.87	5.97
1168732800	14	73.75	0.9	6.4
1168743600	14	75.56	0.89	6.97
1168754400	14	78	0.89	7.29
1168765200	14	78.53	0.87	7.44
1168776000	14	76.28	0.85	7.73
1168786800	14	78.42	0.78	8.1
1168797600	14	76.52	0.71	8.45
1168808400	14	78.68	0.64	9.31
1168819200	15	76.41	0.59	9.14
1168830000	15	78.55	0.57	9.06
1168840800	15	76.63	0.64	9
1168851600	15	78.76	0.65	9.01
1168862400	15	76.76	0.63	9.03
1168873200	15	79.88	0.62	9.11
1168884000	15	80.35	0.7	9.24
1168894800	15	81.9	0.73	9.54
1168905600	16	79.34	0.72	9.67
1168916400	16	79.78	0.69	9.73
1168927200	16	77.45	0.7	9.73
1168938000	16	78.87	0.64	9.68
1168948800	16	77.19	0.6	9.48
1168959600	16	79.24	0.57	9.35
1168970400	16	78.5	0.61	9.26
1168981200	16	82.19	0.71	9.25
1168992000	17	81.08	0.79	9.28
1169002800	17	85.43	0.87	9.27
1169013600	17	87.78	0.83	9.22
1169024400	17	94.34	0.77	9.19
1169035200	17	96.71	0.72	9.38
1169046000	17	80.13	0.69	10.63
1169056800	17	78.52	0.67	10.66
1169067600	17	81.45	0.65	10.64
1169078400	18	80.24	0.64	10.61
1169089200	18	85.43	0.71	10.57
1169100000	18	89.44	0.73	10.58
1169110800	18	101.95	0.69	10.64
1169121600	18	112.95	0.65	10.78
1169132400	18	122.29	0.62	11.04
1169143200	18	145.18	0.61	11.61
1169154000	18	147.89	0.6	11.74
1169164800	19	152.55	0.6	11.82
1169175600	19	151.96	0.61	11.67
1169186400	19	147.65	0.64	11.36
1169197200	19	146.79	0.75	11.16
1169208000	19	148.5	0.73	11.12
1169218800	19	145.58	0.69	11.08
1169229600	19	145.74	0.72	11.14
1169240400	19	141.51	0.72	11.07
1169251200	20	140.11	0.68	11.05
1169262000	20	135.38	0.61	10.92
1169272800	20	132.56	0.55	10.86
1169283600	20	126.88	0.49	10.76
1169294400	20	121.96	0.45	10.71
1169305200	20	116.2	0.42	10.65
1169316000	20	110.8	0.38	10.64
1169326800	20	109.21	0.34	10.64
1169337600	21	107.6	0.31	10.63
1169348400	21	110.36	0.34	10.57
1169359200	21	111.23	0.5	10.43
1169370000	21	112.95	0.59	10.27
1169380800	21	79.88	0.68	3.3
1169391600	21	72.41	0.68	3.62
1169402400	21	67.43	0.62	3.9
1169413200	21	114.24	0.56	11.12
1169424000	22	92.27	0.54	11.73
1169434800	22	275.53	0.89	2.55
1169445600	22	100.16	0.75	11.4
1169456400	22	101.16	0.69	10.97
1169467200	22	101	0.66	10.87
1169478000	22	103.58	0.6	10.81
1169488800	22	104.45	0.47	10.77
1169499600	22	108.35	0.45	10.68
1169510400	23	109.03	0.73	10.62
1169521200	23	109.2	0.77	10.5
1169532000	23	115.97	0.69	10.27
1169542800	23	112.85	0.62	10.11
1169553600	23	107.85	0.56	10.04
1169564400	23	106.64	0.6	10.02
1169575200	23	92.13	0.9	3.36
1169586000	23	84.5	0.97	3.96
1169596800	24	80.23	1.1	4.26
1169607600	24	79.46	1.23	4.69
1169618400	24	76.82	1.24	4.8
1169629200	24	76.42	1.1	5.18
1169640000	24	74.06	0.98	5.38
1169650800	24	71.79	0.86	5.71
1169661600	24	70.16	0.72	5.74
1169672400	24	69.9	0.78	5.75
1169683200	25	71.6	0.56	5.86
1169694000	25	94.02	0.48	11.19
1169704800	25	91.79	0.51	11.15
1169715600	25	92.35	0.56	11.11
1169726400	25	92.58	0.62	11.11
1169737200	25	95.16	0.65	11.09
1169748000	25	100.01	0.69	11.12
1169758800	25	103.56	0.68	11.1
1169769600	26	108.67	0.69	4.26
1169780400	26	105.78	0.69	4.43
1169791200	26	109.84	0.7	4.52
1169802000	26	110.09	0.71	4.6
1169812800	26	112.25	0.72	4.67
1169823600	26	114.43	0.74	4.76
1169834400	26	117.41	0.77	5.02
1169845200	26	117.3	0.78	5.19
1169856000	27	116.98	0.8	5.29
1169866800	27	113.87	0.89	5.47
1169877600	27	111.37	1.03	5.48
1169888400	27	110.02	1.06	5.41
1169899200	27	109.11	1.04	5.41
1169910000	27	100.77	0.99	5.08
1169920800	27	95.27	0.96	5.25
1169931600	27	96.74	0.95	5.52
1169942400	28	88.54	1.07	5.78
1169953200	28	82.23	1.24	5.98
1169964000	28	67.93	1.52	6.3
1169974800	28	72.86	1.56	6.69
1169985600	28	72.17	1.33	6.79
1169996400	28	72.51	1.07	6.85
1170007200	28	73.51	0.89	6.98
1170018000	28	84.62	0.77	7.36
1170028800	29	86.08	0.71	7.52
1170039600	29	91.84	0.69	7.64
1170050400	29	94.67	0.75	8.74
1170061200	29	95.67	0.78	8.79
1170072000	29	95.52	0.74	8.89
1170082800	29	97.54	0.68	8.98
1170093600	29	98.35	0.62	9.05
1170104400	29	100.62	0.9	9.09
1170115200	30	101.97	0.68	9.09
1170126000	30	103.65	0.61	8.98
1170136800	30	104.48	0.72	8.78
1170147600	30	107.52	0.79	8.66
1170158400	30	108.08	0.79	8.64
1170169200	30	104.18	0.73	8.71
1170180000	30	104.43	0.72	8.81
1170190800	30	105.44	0.69	8.87
1170201600	31	106.07	0.68	8.89
1170212400	31	106.57	0.67	8.89
1170223200	31	106.4	0.74	8.86
1170234000	31	105.98	0.69	8.81
1170244800	31	104.94	0.73	8.72
1170255600	31	104.28	0.69	8.68
1170266400	31	103.77	0.61	8.8
1170277200	31	91.72	0.57	8.58
1170288000	32	78.39	0.53	8.24
1170298800	32	93.33	0.48	10.63
1170309600	32	89.42	0.47	10.61
1170320400	32	94.52	0.42	10.49
1170331200	32	88.61	0.36	10.29
1170342000	32	85.36	0.39	10.17
1170352800	32	261.08	0.62	3.2
1170363600	32	81.97	0.43	10.05
1170374400	33	83.43	0.36	9.94
1170385200	33	91.28	0.43	9.65
1170396000	33	103.49	0.54	9.47
1170406800	33	107.01	0.49	9.49
1170417600	33	115.98	0.48	9.72
1170428400	33	125.46	0.52	9.65
1170439200	33	132.43	0.54	9.66
1170450000	33	127.98	0.55	9.7
1170460800	34	130.86	0.53	9.91
1170471600	34	130.11	0.5	9.94
1170482400	34	62.17	0.83	2.45
1170493200	34	60.2	0.82	3.36
1170504000	34	53.9	0.88	3.63
1170514800	34	55.05	0.82	3.9
1170525600	34	62.4	0.75	4.14
1170536400	34	64.99	0.68	4.27
1170547200	35	66.37	0.65	4.36
1170558000	35	71	0.64	4.47
1170568800	35	71.32	0.59	4.46
1170579600	35	69.65	0.52	4.37
1170590400	35	70.6	0.46	4.36
1170601200	35	84.69	0.51	5.43
1170612000	35	76.37	0.64	5.89
1170622800	35	77.95	0.73	6.05
1170633600	36	76.32	0.72	6.12
1170644400	36	75.29	0.67	6.02
1170655200	36	73.77	0.62	5.97
1170666000	36	70.02	0.59	5.91
1170676800	36	68.98	0.57	5.86
1170687600	36	68.23	0.62	5.79
1170698400	36	67.79	0.65	5.63
1170709200	36	67.6	0.76	5.21
1170720000	37	64.81	0.95	4.83
1170730800	37	65.17	1.23	4.96
1170741600	37	65.22	1.47	5.18
1170752400	37	65.84	1.51	5.5
1170763200	37	64.88	1.59	5.62
1170774000	37	67.56	1.41	5.69
1170784800	37	69.38	1.2	5.72
1170795600	37	70.87	1.06	5.73
1170806400	38	72.51	0.98	5.8
1170817200	38	76.75	0.94	6.1
1170828000	38	79.46	0.92	6.59
1170838800	38	81.83	0.93	7.37
1170849600	38	81.4	0.96	7.56
1170860400	38	83.66	0.96	7.61
1170871200	38	82.84	1	7.62
1170882000	38	84.12	1.04	7.59
1170892800	39	82.97	1.08	7.6
1170903600	39	84.2	1.11	7.64
1170914400	39	82.9	1.23	7.74
1170925200	39	83.94	1.31	7.35
1170936000	39	66.45	1.32	11.8
1170946800	39	68.79	1.29	11.66
1170957600	39	66.66	1.27	11.72
1170968400	39	69.36	1.24	11.89
1170979200	40	67.37	1.24	12.54
1170990000	40	70.68	1.24	12.27
1171000800	40	68.54	1.3	12.31
1171011600	40	71.86	1.43	12.17
1171022400	40	70.14	1.5	12.21
1171033200	40	73.23	1.46	12.14
1171044000	40	71.3	1.41	12.19
1171054800	40	74.19	1.35	12.09
1171065600	41	72.26	1.32	12.07
1171076400	41	75.27	1.28	11.96
1171087200	41	73.74	1.27	11.9
1171098000	41	76.58	1.22	11.78
1171108800	41	74.68	1.21	11.67
