Unix	jday	dp	hs	tp
978307200	1	192.06	1.72	6.86
978318000	1	190.09	1.62	6.89
978328800	1	187.48	1.46	6.87
978339600	1	184.08	1.31	6.8
978350400	1	182.97	1.16	6.71
978361200	1	179.72	1.07	6.55
978372000	1	181.33	1.16	6.22
978382800	1	202.25	1.5	5.09
978393600	2	194.54	1.73	5.58
978404400	2	190.65	1.78	5.76
978415200	2	187.15	1.67	5.94
978426000	2	179.19	1.48	6.01
978436800	2	183.01	1.31	5.98
978447600	2	181.62	1.17	5.89
978458400	2	180.8	1.05	5.85
978469200	2	179.74	0.94	5.83
978480000	3	178.84	0.86	5.87
978490800	3	175.27	0.81	6.67
978501600	3	174.68	0.83	6.87
978512400	3	117.24	0.97	3.26
978523200	3	174.24	0.88	7.07
978534000	3	174.66	0.81	7.1
978544800	3	175.97	0.75	7.12
978555600	3	154.07	0.71	8.76
978566400	4	152.23	0.69	8.58
978577200	4	150.94	0.75	8.51
978588000	4	73.64	0.85	3.29
978598800	4	69.92	0.81	3.63
978609600	4	70.18	0.75	3.85
978620400	4	69.5	0.69	3.94
978631200	4	138.08	0.65	8.76
978642000	4	264.59	1.1	3.14
978652800	5	276.11	0.83	4.16
978663600	5	285.04	0.71	4.18
978674400	5	119.32	0.67	9.18
978685200	5	123.02	0.66	9.11
978696000	5	123.74	0.63	9.03
978706800	5	126.51	0.59	8.94
978717600	5	127	0.57	8.86
978728400	5	123.14	0.54	8.77
978739200	6	122.28	0.52	8.72
978750000	6	123.7	0.5	8.72
978760800	6	122.82	0.48	8.76
978771600	6	135.86	0.46	8.83
978782400	6	137.01	0.44	8.9
978793200	6	139.06	0.42	8.93
978804000	6	139.45	0.41	8.93
978814800	6	140.75	0.4	8.91
978825600	7	140.79	0.4	8.88
978836400	7	141.35	0.41	8.82
978847200	7	136.13	0.47	8.75
978858000	7	70.01	0.95	3.18
978868800	7	69.59	0.76	3.61
978879600	7	71.8	0.61	4.15
978890400	7	140.67	0.52	8.53
978901200	7	141.99	0.48	8.48
978912000	8	142.16	0.48	8.44
978922800	8	142.81	0.5	8.38
978933600	8	142.48	0.54	8.32
978944400	8	50.36	0.57	5.29
978955200	8	61.21	0.61	5.47
978966000	8	61.85	0.67	5.79
978976800	8	263.23	1.06	3.29
978987600	8	269.26	1	3.88
978998400	9	264.76	0.85	4
979009200	9	257.1	0.72	4.14
979020000	9	249.56	0.63	4.21
979030800	9	237.36	0.59	4.07
979041600	9	206.33	0.63	4.15
979052400	9	185.95	0.76	4.89
979063200	9	177.74	0.95	5.3
979074000	9	175.22	1.18	5.57
979084800	10	172.81	1.35	5.59
979095600	10	169.95	1.43	5.6
979106400	10	167.41	1.39	5.73
979117200	10	165.02	1.33	5.78
979128000	10	162.62	1.26	5.77
979138800	10	160.16	1.2	5.75
979149600	10	157.91	1.15	5.73
979160400	10	155.73	1.09	5.71
979171200	11	153.5	1.03	5.68
979182000	11	151.58	1	5.67
979192800	11	149.63	0.99	5.65
979203600	11	147.93	0.95	5.63
979214400	11	146.18	0.9	5.59
979225200	11	144.56	0.86	5.54
979236000	11	142.36	0.82	5.47
979246800	11	132.17	0.81	5.37
979257600	12	109.03	0.81	9.38
979268400	12	108.57	0.83	9.24
979279200	12	104.54	0.83	9.12
979290000	12	105.33	0.82	9.02
979300800	12	101.11	0.8	8.87
979311600	12	219	0.91	3.14
979322400	12	199.75	1.01	4.22
979333200	12	196.24	1.06	4.72
979344000	13	190.99	1.11	5.03
979354800	13	118.92	1.15	8.26
979365600	13	119.4	1.16	8.23
979376400	13	123.19	1.12	8.14
979387200	13	122.07	1.05	8.08
979398000	13	127.29	1.17	8.06
979408800	13	207.89	1.62	5.22
979419600	13	194.05	1.95	6.07
979430400	14	190.73	2.04	6.78
979441200	14	185.7	2.01	6.84
979452000	14	183.31	1.86	6.85
979462800	14	180.53	1.67	6.81
979473600	14	179.49	1.48	6.75
979484400	14	177.72	1.33	6.72
979495200	14	176.63	1.18	6.71
979506000	14	174.06	1.1	6.74
979516800	15	51.13	1.27	3.54
979527600	15	55.44	1.14	4.05
979538400	15	61.57	1.05	4.24
979549200	15	71.9	0.98	4.57
979560000	15	67.52	0.91	4.79
979570800	15	65.77	0.9	4.95
979581600	15	40	0.99	3.87
979592400	15	40.97	1.04	4.35
979603200	16	326.12	0.96	3.2
979614000	16	261.25	1.5	4.14
979624800	16	236.12	1.5	5.02
979635600	16	212.24	1.47	6.27
979646400	16	204.13	1.3	6.86
979657200	16	195.58	1.18	6.94
979668000	16	272.39	1.24	3.52
979678800	16	260.14	1.4	4.26
979689600	17	208.81	1.24	6.72
979700400	17	199.87	1.21	6.9
979711200	17	194.02	1.17	6.91
979722000	17	190.16	1.13	6.76
979732800	17	199.23	1.1	10.83
979743600	17	195.18	1.1	10.82
979754400	17	186.76	1.09	6.44
979765200	17	186.48	1.07	7.52
979776000	18	187.03	1.04	7.5
979786800	18	186.09	1.02	7.47
979797600	18	186.46	0.99	7.39
979808400	18	184.76	0.95	7.31
979819200	18	182.99	0.93	7.19
