Unix	jday	dp	hs	tp
1199145600	1	73.25	0.73	8.94
1199156400	1	76.84	1	3.89
1199167200	1	71.13	1.15	4.32
1199178000	1	68.35	1.08	4.72
1199188800	1	65.26	0.96	4.79
1199199600	1	65.17	0.86	5.05
1199210400	1	63.95	0.78	5.17
1199221200	1	64.15	0.72	5.22
1199232000	2	64.38	0.69	5.25
1199242800	2	74.05	0.68	6
1199253600	2	72.92	0.69	6.02
1199264400	2	71.8	0.67	5.97
1199275200	2	70.25	0.69	5.99
1199286000	2	70.52	0.67	6.01
1199296800	2	70.41	0.62	6.07
1199307600	2	70.1	0.57	6.15
1199318400	3	67.82	0.79	6.21
1199329200	3	283.18	0.74	3.1
1199340000	3	62.25	0.6	6.23
1199350800	3	61.69	0.5	6.23
1199361600	3	72.38	0.43	8.36
1199372400	3	178.66	0.63	7.09
1199383200	3	173.47	0.92	7.89
1199394000	3	170.73	0.94	8.14
1199404800	4	167.54	0.84	7.99
1199415600	4	166.38	0.77	7.48
1199426400	4	170.6	0.73	11.63
1199437200	4	165.99	0.73	11.99
1199448000	4	170.53	0.75	12.02
1199458800	4	163.62	0.72	11.83
1199469600	4	168.52	0.68	11.71
1199480400	4	155.3	0.6	10.82
1199491200	5	68.81	0.71	3.32
1199502000	5	72.13	0.93	3.85
1199512800	5	74.38	1.01	4.2
1199523600	5	72.45	0.85	4.32
1199534400	5	69.84	0.7	4.34
1199545200	5	65.36	0.56	4.34
1199556000	5	61.63	0.49	4.4
1199566800	5	153.33	0.44	12.14
1199577600	6	151.97	0.4	11.99
1199588400	6	131.08	0.36	11.88
1199599200	6	119.09	0.37	11.83
1199610000	6	98.22	0.38	11.86
1199620800	6	99.12	0.35	12.04
1199631600	6	101.2	0.32	12.48
1199642400	6	142.39	0.34	12.94
1199653200	6	146.43	0.39	12.95
1199664000	7	153.32	0.52	12.83
1199674800	7	107.94	0.58	12.34
1199685600	7	103.18	0.6	12.16
1199696400	7	92.44	0.59	12.02
1199707200	7	210.34	0.88	3.51
1199718000	7	205.8	0.79	3.91
1199728800	7	182.83	0.59	4.65
1199739600	7	181.07	0.48	5.03
1199750400	8	65.18	0.43	11.54
1199761200	8	67.66	0.39	11.4
1199772000	8	64.45	0.36	11.34
1199782800	8	66.78	0.33	11.31
1199793600	8	64.13	0.31	11.32
1199804400	8	66.93	0.29	11.33
1199815200	8	65.11	0.29	11.4
1199826000	8	73.52	0.33	11.52
1199836800	9	88.05	0.59	2.87
1199847600	9	93.79	0.8	3.53
1199858400	9	91.98	0.79	3.8
1199869200	9	88.44	0.63	3.85
1199880000	9	70.44	0.48	11.19
1199890800	9	71.85	0.48	11.08
1199901600	9	175.39	0.58	3.01
1199912400	9	181.2	0.8	3.72
1199923200	10	184.32	1.11	4.13
1199934000	10	180.93	1.29	4.59
1199944800	10	175.36	1.35	14.23
1199955600	10	170.4	1.33	14.77
1199966400	10	172.95	1.26	15.11
1199977200	10	170.48	1.12	13.02
1199988000	10	173.36	1.05	11.66
1199998800	10	163.94	0.99	11.03
1200009600	11	167.4	1.04	10.94
1200020400	11	162	1.1	10.76
1200031200	11	74.63	1.29	4.02
1200042000	11	83.87	1.19	4.51
1200052800	11	63.66	1.07	4.44
1200063600	11	64.87	0.99	4.76
1200074400	11	72.45	0.95	5.47
1200085200	11	67.75	0.89	5.7
1200096000	12	63.3	0.82	5.71
1200106800	12	59.71	0.88	5.77
1200117600	12	136.19	0.83	11.97
1200128400	12	133.75	0.74	11.98
1200139200	12	134.47	0.6	12
1200150000	12	131.78	0.47	12.01
1200160800	12	133.39	0.4	12.06
1200171600	12	131.13	0.36	12.07
1200182400	13	132.7	0.39	12.08
1200193200	13	70.51	0.76	3.17
1200204000	13	62.61	0.78	3.69
1200214800	13	61.03	0.65	3.9
1200225600	13	149.91	0.55	11.83
1200236400	13	149.19	0.49	11.64
1200247200	13	153.62	0.47	11.37
1200258000	13	156.63	0.44	11.09
1200268800	14	97.17	0.42	14.47
1200279600	14	334.32	0.76	3.35
1200290400	14	321.9	0.85	3.44
1200301200	14	326.8	0.82	3.55
1200312000	14	87.17	0.57	14.56
1200322800	14	89.07	0.48	14.54
1200333600	14	89.3	0.56	14.41
1200344400	14	181.77	0.55	5.29
1200355200	15	174.91	0.63	5.27
1200366000	15	82.79	0.83	3.31
1200376800	15	78.37	1.01	3.88
1200387600	15	69.63	0.99	4.25
1200398400	15	65.95	0.85	4.32
1200409200	15	65.24	0.68	4.33
1200420000	15	91.1	0.56	13.23
1200430800	15	94.57	0.5	13.12
1200441600	16	102.55	0.53	12.91
1200452400	16	68.96	0.8	3.79
1200463200	16	67.25	1.07	4.14
1200474000	16	62.26	1.15	4.65
1200484800	16	61.82	1.19	5.22
1200495600	16	64.24	1.18	5.77
1200506400	16	70.56	1.11	6.15
1200517200	16	71.22	1.01	6.23
1200528000	17	71.33	1.21	6.29
1200538800	17	77.98	0.99	6.71
1200549600	17	210.81	1.19	3.52
1200560400	17	191.87	1.27	4.36
1200571200	17	179.71	1.13	4.83
1200582000	17	72.6	0.98	10.65
1200592800	17	70.58	0.92	10.61
1200603600	17	70.34	0.89	10.44
1200614400	18	68.5	0.86	10.29
1200625200	18	71.48	0.85	10.26
1200636000	18	70.17	0.85	10.4
1200646800	18	76.25	0.89	10.6
1200657600	18	74.78	0.96	10.75
1200668400	18	76.65	1.04	10.92
1200679200	18	73.74	1.09	10.91
1200690000	18	75.27	1.07	10.77
1200700800	19	72.48	1.03	10.55
1200711600	19	75.16	1.11	10.2
1200722400	19	72.51	1.11	10.08
1200733200	19	74.59	1.09	10.02
1200744000	19	72.63	1.19	9.96
1200754800	19	75.07	1.26	9.88
1200765600	19	73.3	1.33	9.74
1200776400	19	71.74	1.35	4.87
1200787200	20	73.21	1.65	5.17
1200798000	20	75.58	1.93	5.66
1200808800	20	74.37	1.99	5.83
1200819600	20	76.33	1.86	6.08
1200830400	20	75.44	1.97	6.16
1200841200	20	77.49	1.88	6.45
1200852000	20	81.98	1.67	6.93
1200862800	20	85.78	1.55	7.41
1200873600	21	81	1.48	8.29
1200884400	21	78.41	1.5	8.74
1200895200	21	76.9	1.61	9.43
1200906000	21	76.88	1.64	9.69
1200916800	21	75.15	1.6	9.74
1200927600	21	77.34	1.5	9.67
1200938400	21	77.54	1.44	9.41
1200949200	21	79.5	1.49	9.33
1200960000	22	77.9	1.59	9.27
1200970800	22	79.84	1.63	9.23
1200981600	22	197.85	2.52	4.69
1200992400	22	198.3	2.37	6.06
1201003200	22	179.16	1.57	6.29
1201014000	22	91.49	1.23	9.85
1201024800	22	88.23	1.07	9.87
1201035600	22	86.15	0.98	9.86
1201046400	23	80.62	0.93	9.87
1201057200	23	80.76	0.96	9.93
1201068000	23	76.49	0.92	9.95
1201078800	23	77.43	0.78	9.91
1201089600	23	75.42	0.66	9.89
1201100400	23	78.65	0.58	9.88
1201111200	23	79.79	0.54	9.84
1201122000	23	85.14	0.56	9.75
1201132800	24	86.17	0.84	9.62
1201143600	24	74.5	1.13	3.88
1201154400	24	70.14	1.27	4.28
1201165200	24	63.83	1.25	4.62
1201176000	24	60.45	1.18	4.71
1201186800	24	60.18	1.09	5.04
1201197600	24	61.41	1	5.17
1201208400	24	63.3	0.92	5.2
1201219200	25	90.81	0.85	9.65
1201230000	25	88.42	0.8	9.6
1201240800	25	83.84	0.76	9.53
1201251600	25	83.72	0.72	9.45
1201262400	25	80.45	0.69	9.35
1201273200	25	81.13	0.66	9.29
1201284000	25	78.25	0.64	9.23
1201294800	25	67.79	0.67	17.59
1201305600	26	68.1	0.76	17.26
1201316400	26	67.07	0.86	16.77
1201327200	26	66.18	1.02	16.21
1201338000	26	67.49	1.11	15.69
1201348800	26	64.18	1.17	15.06
1201359600	26	66.21	1.12	14.44
1201370400	26	62.87	1.07	13.64
1201381200	26	65.4	1.04	13.25
1201392000	27	63.28	1.05	13.05
1201402800	27	65.94	1.07	12.73
1201413600	27	62.86	1.14	12.12
1201424400	27	65.53	1.15	11.89
1201435200	27	63.04	1.15	11.73
1201446000	27	68.6	1.16	10.9
1201456800	27	68.42	1.21	10.73
1201467600	27	73.58	1.24	10.66
1201478400	28	73.85	1.32	10.84
1201489200	28	78.77	1.47	11.1
1201500000	28	80.27	1.59	11.07
1201510800	28	86.04	1.5	10.92
1201521600	28	89.44	1.35	10.85
1201532400	28	94.66	1.25	10.79
1201543200	28	96.87	1.31	10.69
1201554000	28	102.25	1.24	10.47
1201564800	29	103	1.21	10.19
1201575600	29	104.15	1.22	10.03
1201586400	29	104.93	1.19	9.92
1201597200	29	106.1	1.15	9.82
1201608000	29	106.96	1.11	9.68
1201618800	29	109.98	1.06	9.48
1201629600	29	110.75	1.02	9.31
1201640400	29	110.83	0.99	9.22
1201651200	30	111.01	0.97	9.15
1201662000	30	110.82	0.95	9.1
1201672800	30	111.03	0.98	9.04
1201683600	30	110.89	1	8.98
1201694400	30	111.05	1.05	8.92
1201705200	30	110.93	1.09	8.85
1201716000	30	111.21	1.16	8.81
1201726800	30	111.19	1.14	8.77
1201737600	31	111.42	1.16	8.74
1201748400	31	111.3	1.3	8.72
1201759200	31	69.74	1.53	5.37
1201770000	31	69.89	1.6	5.85
1201780800	31	70.93	1.57	6.33
1201791600	31	77.88	1.48	6.78
1201802400	31	76.14	1.38	6.96
1201813200	31	76.81	1.24	6.82
1201824000	32	75.28	1.12	6.65
1201834800	32	108.97	1	9.54
1201845600	32	108.98	1.16	9.52
1201856400	32	193.6	1.46	4.41
1201867200	32	181.07	1.25	5.15
1201878000	32	167.27	1.07	6.04
1201888800	32	105.98	0.98	9.61
1201899600	32	105.34	0.91	9.6
1201910400	33	106.64	0.86	9.49
1201921200	33	106.31	0.84	9.29
1201932000	33	105.98	0.86	9.14
1201942800	33	105.61	0.89	9.02
1201953600	33	105.41	0.91	8.92
1201964400	33	105.2	0.92	8.8
1201975200	33	107.57	0.91	8.58
1201986000	33	107.44	0.9	8.37
1201996800	34	93.77	0.93	12.16
1202007600	34	95.21	1.12	11.94
1202018400	34	96	1.42	11.58
1202029200	34	97.21	1.43	11.11
1202040000	34	97.39	1.3	10.96
