Unix	jday	dp
1214870400	183	120.53
1214881200	183	119.34
1214892000	183	119.31
1214902800	183	118.35
1214913600	183	118.96
1214924400	183	118.33
1214935200	183	118.87
1214946000	183	117.97
1214956800	184	118.54
1214967600	184	118.11
1214978400	184	119.14
1214989200	184	118.72
1.215e+09	184	119.82
1215010800	184	120.09
1215021600	184	121.46
1215032400	184	120.86
1215043200	185	121.94
1215054000	185	120.91
1215064800	185	121.22
1215075600	185	117.67
1215086400	185	113.93
1215097200	185	114.63
1215108000	185	115.92
1215118800	185	115.69
1215129600	186	116.48
1215140400	186	116.48
1215151200	186	117.32
1215162000	186	117.16
1215172800	186	219.29
1215183600	186	212.32
1215194400	186	125.34
1215205200	186	253.68
1215216000	187	238.24
1215226800	187	211.55
1215237600	187	209.87
1215248400	187	190.21
1215259200	187	206.85
1215270000	187	165.87
1215280800	187	158.36
1215291600	187	149.96
1215302400	188	145.88
1215313200	188	140.38
1215324000	188	137.85
1215334800	188	134.12
1215345600	188	139.93
1215356400	188	151.96
1215367200	188	168.85
1215378000	188	169.4
1215388800	189	168.68
1215399600	189	164.52
1215410400	189	161.89
1215421200	189	135.14
1215432000	189	124.78
1215442800	189	121.3
1215453600	189	121.9
1215464400	189	121.08
1215475200	190	123.67
1215486000	190	122.49
1215496800	190	123.82
1215507600	190	122.73
1215518400	190	123.27
1215529200	190	121.24
1215540000	190	121.59
1215550800	190	120.75
1215561600	191	124.71
1215572400	191	124.01
1215583200	191	126.06
1215594000	191	126.13
1215604800	191	133.98
1215615600	191	132.5
1215626400	191	132.25
1215637200	191	127.25
1215648000	192	128.34
1215658800	192	124.64
1215669600	192	69.61
1215680400	192	69.06
1215691200	192	71.19
1215702000	192	64.77
1215712800	192	63.03
1215723600	192	60.25
1215734400	193	63.42
1215745200	193	64.1
1215756000	193	61.76
1215766800	193	60.54
1215777600	193	58.32
1215788400	193	70.16
1215799200	193	68.48
1215810000	193	314.12
1215820800	194	318.92
1215831600	194	321.92
1215842400	194	326.44
1215853200	194	72.42
1215864000	194	68.99
1215874800	194	70.9
1215885600	194	67.47
1215896400	194	69.05
1215907200	195	66.37
1215918000	195	68.1
1215928800	195	65.16
1215939600	195	61.9
1215950400	195	62.99
1215961200	195	173.44
1215972000	195	179.26
1215982800	195	173.76
1215993600	196	176.39
1216004400	196	169.98
1216015200	196	171.68
1216026000	196	164.88
1216036800	196	171.34
1216047600	196	168.5
1216058400	196	171.33
1216069200	196	166.44
1216080000	197	151.23
1216090800	197	121.31
1216101600	197	123.82
1216112400	197	119.46
1216123200	197	122.33
1216134000	197	108.21
1216144800	197	107.95
1216155600	197	106.59
1216166400	198	106.84
1216177200	198	103.54
1216188000	198	103.08
1216198800	198	101.97
1216209600	198	100.3
1216220400	198	101.02
1216231200	198	100.93
1216242000	198	103.41
1216252800	199	108.72
1216263600	199	112.22
1216274400	199	117.92
1216285200	199	115.63
1216296000	199	115.54
1216306800	199	111.27
1216317600	199	110.76
1216328400	199	103.29
1216339200	200	83.15
1216350000	200	85.48
1216360800	200	81.98
1216371600	200	80.25
1216382400	200	105.01
1216393200	200	107.53
1216404000	200	111.85
1216414800	200	114.59
1216425600	201	107.33
1216436400	201	68.99
1216447200	201	68.59
1216458000	201	70.59
1216468800	201	70.39
1216479600	201	70.07
1216490400	201	79.8
1216501200	201	79.52
1216512000	202	76.57
1216522800	202	79.38
1216533600	202	77.16
1216544400	202	77.73
1216555200	202	74.52
1216566000	202	73.79
1216576800	202	71.62
1216587600	202	73.96
1216598400	203	74.04
1216609200	203	76.98
1216620000	203	84
1216630800	203	102
1216641600	203	47.01
1216652400	203	49.09
1216663200	203	59.21
1216674000	203	63.43
1216684800	204	61.87
1216695600	204	65.92
1216706400	204	68.17
1216717200	204	68.1
1216728000	204	61.81
1216738800	204	61.2
1216749600	204	93.83
1216760400	204	95.55
1216771200	205	216.41
1216782000	205	216.62
1216792800	205	210.38
1216803600	205	193.24
1216814400	205	180.02
1216825200	205	157.57
1216836000	205	153.7
1216846800	205	150.18
1216857600	206	151.53
1216868400	206	146.48
1216879200	206	145.66
1216890000	206	141.28
1216900800	206	141.38
1216911600	206	138.11
1216922400	206	136.34
1216933200	206	122.76
1216944000	207	129.79
1216954800	207	127.61
1216965600	207	128.2
1216976400	207	127.99
1216987200	207	128.39
1216998000	207	126.36
1217008800	207	127.6
1217019600	207	125.84
1217030400	208	126.74
1217041200	208	124.36
1217052000	208	123.03
1217062800	208	116.91
1217073600	208	110.28
1217084400	208	116.62
1217095200	208	112.58
1217106000	208	92
1217116800	209	88.83
1217127600	209	89.44
1217138400	209	88.83
1217149200	209	90.03
1217160000	209	88.22
1217170800	209	88.73
1217181600	209	87.33
1217192400	209	89.24
1217203200	210	89.29
1217214000	210	91.83
1217224800	210	94.91
1217235600	210	95.73
1217246400	210	95.27
1217257200	210	95.82
1217268000	210	93.63
1217278800	210	93.82
1217289600	211	93.37
1217300400	211	93.89
1217311200	211	93.76
1217322000	211	95.97
1217332800	211	96
1217343600	211	96.99
1217354400	211	97.24
1217365200	211	109.91
1217376000	212	108.26
1217386800	212	106.72
1217397600	212	103.78
1217408400	212	102.91
1217419200	212	101.59
1217430000	212	97.67
1217440800	212	94.56
1217451600	212	92.47
1217462400	213	92.22
1217473200	213	94.5
1217484000	213	95.66
1217494800	213	97.85
1217505600	213	98.38
1217516400	213	99.91
1217527200	213	100.08
1217538000	213	104.58
1217548800	214	105.43
