Unix	jday	hs
1246406400	182	1.78
1246417200	182	1.88
1246428000	182	1.97
1246438800	182	2
1246449600	182	2.04
1246460400	182	2.06
1246471200	182	2.07
1246482000	182	2.04
1246492800	183	2.01
1246503600	183	2.01
1246514400	183	2.1
1246525200	183	2.17
1246536000	183	2.14
1246546800	183	2.05
1246557600	183	1.94
1246568400	183	1.83
1246579200	184	1.73
1246590000	184	1.77
1246600800	184	1.67
1246611600	184	1.64
1246622400	184	1.63
1246633200	184	1.56
1246644000	184	1.51
1246654800	184	1.48
1246665600	185	1.52
1246676400	185	1.53
1246687200	185	1.52
1246698000	185	1.53
1246708800	185	1.57
1246719600	185	1.67
1246730400	185	1.83
1246741200	185	2.12
1246752000	186	2.39
1246762800	186	2.29
1246773600	186	2.13
1246784400	186	1.99
1246795200	186	1.89
1246806000	186	1.81
1246816800	186	1.71
1246827600	186	1.6
1246838400	187	1.5
1246849200	187	1.4
1246860000	187	1.32
1246870800	187	1.25
1246881600	187	1.22
1246892400	187	1.16
1246903200	187	1.14
1246914000	187	1.14
1246924800	188	1.15
1246935600	188	1.13
1246946400	188	1.07
1246957200	188	0.99
1246968000	188	0.9
1246978800	188	0.81
1246989600	188	0.87
1247000400	188	0.85
1247011200	189	0.75
1247022000	189	0.69
1247032800	189	0.71
1247043600	189	0.78
1247054400	189	0.83
1247065200	189	0.87
1247076000	189	0.9
1247086800	189	0.95
1247097600	190	0.99
1247108400	190	1.04
1247119200	190	1.08
1247130000	190	1.06
1247140800	190	1.04
1247151600	190	0.96
1247162400	190	0.9
1247173200	190	0.83
1247184000	191	0.79
1247194800	191	0.75
1247205600	191	0.72
1247216400	191	0.67
1247227200	191	0.65
1247238000	191	0.64
1247248800	191	0.63
1247259600	191	0.6
1247270400	192	0.57
1247281200	192	0.52
1247292000	192	0.48
1247302800	192	0.45
1247313600	192	0.45
1247324400	192	0.63
1247335200	192	0.79
1247346000	192	0.94
1247356800	193	1.03
1247367600	193	1.04
1247378400	193	1.04
1247389200	193	1.02
1247400000	193	0.99
1247410800	193	0.99
1247421600	193	1.05
1247432400	193	1.12
1247443200	194	1.18
1247454000	194	1.2
1247464800	194	1.21
1247475600	194	1.18
1247486400	194	1.13
1247497200	194	1.07
1247508000	194	1.03
1247518800	194	1.01
1247529600	195	0.99
1247540400	195	0.98
1247551200	195	0.99
1247562000	195	0.99
1247572800	195	0.98
1247583600	195	0.95
1247594400	195	0.92
1247605200	195	1.06
1247616000	196	1.07
1247626800	196	1.05
1247637600	196	1.08
1247648400	196	1.12
1247659200	196	1.11
1247670000	196	1.06
1247680800	196	1
1247691600	196	0.93
1247702400	197	0.87
1247713200	197	0.81
1247724000	197	0.77
1247734800	197	0.8
1247745600	197	0.9
1247756400	197	1.1
1247767200	197	1.06
1247778000	197	0.97
1247788800	198	0.92
1247799600	198	0.86
1247810400	198	0.81
1247821200	198	0.73
1247832000	198	0.68
1247842800	198	0.62
1247853600	198	0.58
1247864400	198	0.53
1247875200	199	0.49
1247886000	199	0.49
1247896800	199	0.54
1247907600	199	0.73
1247918400	199	0.81
1247929200	199	0.9
1247940000	199	1.45
1247950800	199	1.61
1247961600	200	1.51
1247972400	200	1.27
1247983200	200	1.15
1247994000	200	1
1248004800	200	0.95
1248015600	200	0.87
1248026400	200	1.06
1248037200	200	1.09
1248048000	201	1.09
1248058800	201	0.99
1248069600	201	0.96
1248080400	201	0.92
1248091200	201	0.91
1248102000	201	0.86
1248112800	201	0.8
1248123600	201	0.72
1248134400	202	0.64
1248145200	202	0.57
1248156000	202	0.55
1248166800	202	1
1248177600	202	0.7
1248188400	202	0.52
1248199200	202	0.4
1248210000	202	0.31
1248220800	203	0.81
1248231600	203	0.84
1248242400	203	0.66
1248253200	203	0.57
1248264000	203	0.47
1248274800	203	0.46
1248285600	203	0.58
1248296400	203	0.64
1248307200	204	0.66
1248318000	204	0.71
1248328800	204	0.73
1248339600	204	0.67
1248350400	204	0.88
1248361200	204	1.25
1248372000	204	1.35
1248382800	204	1.29
1248393600	205	1.25
1248404400	205	1.33
1248415200	205	1.15
1248426000	205	1.03
1248436800	205	1.01
1248447600	205	0.96
1248458400	205	0.91
1248469200	205	0.86
1248480000	206	0.82
1248490800	206	0.79
1248501600	206	0.75
1248512400	206	0.71
1248523200	206	0.65
1248534000	206	0.59
1248544800	206	0.55
1248555600	206	0.51
1248566400	207	0.49
1248577200	207	0.46
1248588000	207	0.43
1248598800	207	0.4
1248609600	207	0.38
1248620400	207	0.35
1248631200	207	0.32
1248642000	207	0.29
1248652800	208	0.28
1248663600	208	0.26
1248674400	208	0.44
1248685200	208	0.53
1248696000	208	0.56
1248706800	208	0.58
1248717600	208	0.61
1248728400	208	0.66
1248739200	209	0.75
1248750000	209	0.81
1248760800	209	0.89
1248771600	209	0.95
1248782400	209	0.95
1248793200	209	0.92
1248804000	209	0.88
1248814800	209	0.86
1248825600	210	0.89
1248836400	210	0.95
1248847200	210	1
1248858000	210	1.01
1248868800	210	1
1248879600	210	1.17
1248890400	210	1.02
1248901200	210	0.96
1248912000	211	0.91
1248922800	211	0.85
1248933600	211	0.82
1248944400	211	0.83
1248955200	211	0.92
1248966000	211	0.91
1248976800	211	0.88
1248987600	211	0.94
1248998400	212	1.06
1249009200	212	1.04
1249020000	212	0.94
1249030800	212	0.81
1249041600	212	0.7
1249052400	212	0.61
1249063200	212	0.53
1249074000	212	0.45
1249084800	213	0.4
