Unix	jday	tp
1233446400	32	4.76
1233457200	32	2.96
1233468000	32	3.65
1233478800	32	8.99
1233489600	32	9.61
1233500400	32	10.14
1233511200	32	11.88
1233522000	32	12.31
1233532800	33	12.47
1233543600	33	12.14
1233554400	33	11.6
1233565200	33	11.37
1233576000	33	11.16
1233586800	33	10.97
1233597600	33	11.01
1233608400	33	10.99
1233619200	34	11.6
1233630000	34	10.99
1233640800	34	10.84
1233651600	34	10.73
1233662400	34	11.01
1233673200	34	11.33
1233684000	34	11.66
1233694800	34	11.57
1233705600	35	3.41
1233716400	35	3.41
1233727200	35	13.36
1233738000	35	13.12
1233748800	35	12.79
1233759600	35	12.28
1233770400	35	12.01
1233781200	35	11.78
1233792000	36	11.58
1233802800	36	3.66
1233813600	36	4.24
1233824400	36	4.39
1233835200	36	4.66
1233846000	36	4.93
1233856800	36	5.13
1233867600	36	5.13
1233878400	37	5.14
1233889200	37	5.17
1233900000	37	6.08
1233910800	37	6.16
1233921600	37	3.39
1233932400	37	6.7
1233943200	37	6.92
1233954000	37	7.26
1233964800	38	7.61
1233975600	38	8.09
1233986400	38	3.25
1233997200	38	3.51
1234008000	38	3.73
1234018800	38	3.86
1234029600	38	3.89
1234040400	38	3.92
1234051200	39	3.91
1234062000	39	4.17
1234072800	39	4.77
1234083600	39	5.16
1234094400	39	5.42
1234105200	39	5.55
1234116000	39	6.12
1234126800	39	6.72
1234137600	40	6.92
1234148400	40	6.95
1234159200	40	7.12
1234170000	40	10.88
1234180800	40	7.3
1234191600	40	7.08
1234202400	40	7.03
1234213200	40	3.43
1234224000	41	3.45
1234234800	41	3.43
1234245600	41	3.58
1234256400	41	3.86
1234267200	41	3.87
1234278000	41	4.1
1234288800	41	4.37
1234299600	41	4.66
1234310400	42	4.67
1234321200	42	4.49
1234332000	42	4.21
1234342800	42	4.28
1234353600	42	4.37
1234364400	42	4.47
1234375200	42	4.63
1234386000	42	4.75
1234396800	43	5.14
1234407600	43	5.72
1234418400	43	6.29
1234429200	43	6.74
1234440000	43	6.82
1234450800	43	6.8
1234461600	43	6.72
1234472400	43	6.39
1234483200	44	6.37
1234494000	44	7.27
1234504800	44	11.83
1234515600	44	12.58
1234526400	44	13.61
1234537200	44	14.21
1234548000	44	11.36
1234558800	44	10.93
1234569600	45	10.73
1234580400	45	10.37
1234591200	45	10.02
1234602000	45	9.82
1234612800	45	9.64
1234623600	45	9.15
1234634400	45	8.99
1234645200	45	8.87
1234656000	46	8.7
1234666800	46	8.38
1234677600	46	8.3
1234688400	46	4.85
1234699200	46	5.34
1234710000	46	5.5
1234720800	46	3.36
1234731600	46	3.58
1234742400	47	4.63
1234753200	47	5.56
1234764000	47	12.24
1234774800	47	12.22
1234785600	47	12.33
1234796400	47	12.12
1234807200	47	12.03
1234818000	47	11.9
1234828800	48	11.83
1234839600	48	11.63
1234850400	48	11.34
1234861200	48	11.1
1234872000	48	10.97
1234882800	48	10.9
1234893600	48	10.85
1234904400	48	10.67
1234915200	49	10.23
1234926000	49	9.9
1234936800	49	9.81
1234947600	49	9.67
1234958400	49	11.83
1234969200	49	11.88
1234980000	49	11.97
1234990800	49	12.03
1235001600	50	12.1
1235012400	50	3.91
1235023200	50	4.28
1235034000	50	4.63
1235044800	50	4.76
1235055600	50	12.41
1235066400	50	12.86
1235077200	50	12.81
1235088000	51	12.36
1235098800	51	4.36
1235109600	51	5.03
1235120400	51	5.4
1235131200	51	5.9
1235142000	51	6.33
1235152800	51	6.64
1235163600	51	6.84
1235174400	52	7.26
1235185200	52	7.39
1235196000	52	7.37
1235206800	52	7.33
1235217600	52	7.24
1235228400	52	7.08
1235239200	52	7.03
1235250000	52	7.08
1235260800	53	7.21
1235271600	53	7.26
1235282400	53	7.33
1235293200	53	7.41
1235304000	53	7.47
1235314800	53	7.61
1235325600	53	8.81
1235336400	53	8.78
1235347200	54	8.72
1235358000	54	8.68
1235368800	54	8.56
1235379600	54	8.62
1235390400	54	8.76
1235401200	54	8.91
1235412000	54	9.01
1235422800	54	9.08
1235433600	55	9.11
1235444400	55	9.09
1235455200	55	9.06
1235466000	55	9.08
1235476800	55	9.11
1235487600	55	9.19
1235498400	55	9.24
1235509200	55	9.31
1235520000	56	9.25
1235530800	56	9.19
1235541600	56	8.98
1235552400	56	8.71
1235563200	56	8.52
1235574000	56	8.38
1235584800	56	8.24
1235595600	56	8.08
1235606400	57	7.93
1235617200	57	11.87
1235628000	57	11.82
1235638800	57	7.75
1235649600	57	7.74
1235660400	57	7.67
1235671200	57	7.56
1235682000	57	7.43
1235692800	58	10.94
1235703600	58	10.86
1235714400	58	10.79
1235725200	58	10.67
1235736000	58	10.52
1235746800	58	10.19
1235757600	58	10.01
1235768400	58	9.9
1235779200	59	4.28
1235790000	59	4.81
1235800800	59	5.31
1235811600	59	5.92
1235822400	59	6.56
1235833200	59	7.09
1235844000	59	7.52
1235854800	59	7.65
1235865600	60	7.9
