Unix	jday	dp	hs	tp
883612800	1	155.42	0.51	6.88
883623600	1	154.64	0.49	6.93
883634400	1	NA	0.8	NA
883645200	1	55.14	0.89	3.6
883656000	1	59.32	0.71	4.14
883666800	1	60.91	0.65	4.14
883677600	1	283.58	0.95	3.31
883688400	1	278.74	0.77	3.62
883699200	2	284.12	0.61	4.15
883710000	2	289.65	0.51	4.17
883720800	2	306.56	0.5	4.22
883731600	2	354	0.95	3.18
883742400	2	311.09	0.93	3.65
883753200	2	291.26	1.14	4.04
883764000	2	287.36	1.05	4.34
883774800	2	287.89	0.93	4.3
883785600	3	286.96	0.74	4.28
883796400	3	284.28	0.57	4.26
883807200	3	281.59	0.49	4.25
883818000	3	290.34	0.94	3.47
883828800	3	283.74	1.42	4.31
883839600	3	277.92	1.46	4.75
883850400	3	278.04	1.21	4.75
883861200	3	276.05	0.97	4.69
883872000	4	272.45	0.71	4.65
883882800	4	268.6	0.55	4.64
883893600	4	266.13	0.44	4.64
883904400	4	264.82	0.38	4.64
883915200	4	96.73	0.35	8.52
883926000	4	100.29	0.38	8.46
883936800	4	166.99	0.42	3.25
883947600	4	178.83	0.43	4.11
883958400	5	173.08	0.43	4.14
883969200	5	169.96	0.42	4.17
883980000	5	165.87	0.43	4.2
883990800	5	156.47	0.44	4.13
884001600	5	135.01	0.45	3.7
884012400	5	136.78	0.45	3.71
884023200	5	141.63	0.45	3.79
884034000	5	143.06	0.42	3.93
884044800	6	145.02	0.42	3.99
884055600	6	146.4	0.44	4.06
884066400	6	151.37	0.45	4.12
884077200	6	NA	0.51	NA
884088000	6	43.08	0.5	3.22
884098800	6	275.44	0.84	3.13
884109600	6	264.69	0.74	3.55
884120400	6	264.13	0.59	3.65
884131200	7	251.75	0.52	4.13
884142000	7	199.92	0.55	11.04
884152800	7	105.66	1.03	3.13
884163600	7	88.32	1.03	3.61
884174400	7	63.3	0.96	3.68
884185200	7	48.41	0.87	3.95
884196000	7	319.92	0.89	3.06
884206800	7	303.31	0.89	3.3
884217600	8	308.51	0.78	3.59
884228400	8	306.35	0.69	3.57
884239200	8	178.98	0.54	6.32
884250000	8	176.06	0.97	3.31
884260800	8	196.7	1.19	4.29
884271600	8	207.63	1.49	10.23
884282400	8	204.96	1.75	6.71
884293200	8	200.83	2.12	6.99
884304000	9	200.17	2.49	7.5
884314800	9	192.44	2.81	7.83
884325600	9	191.93	2.82	8.11
884336400	9	189.64	2.82	8.21
884347200	9	190.48	2.89	8.33
884358000	9	188.35	2.82	8.42
884368800	9	187.51	2.69	8.46
884379600	9	183.09	2.48	8.36
884390400	10	180.46	2.25	8.29
884401200	10	177.23	2.03	8.18
884412000	10	177.69	1.86	8.87
884422800	10	176.24	1.74	9.1
884433600	10	176.95	1.64	9.08
884444400	10	175.83	1.52	9.08
884455200	10	176.41	1.67	9.06
884466000	10	174.75	1.43	9.03
884476800	11	174.78	1.28	8.98
884487600	11	173.11	1.2	8.88
884498400	11	172.19	1.17	8.62
884509200	11	171.19	1.27	8.48
884520000	11	172.64	1.14	8.41
884530800	11	173.67	1.16	8.36
884541600	11	173.48	1.07	8.33
884552400	11	173.41	0.96	8.3
884563200	12	188.22	1.07	8.12
884574000	12	198.36	1.32	8.16
884584800	12	202.04	1.66	8.33
884595600	12	199.97	1.87	9
884606400	12	200.46	1.92	9.89
884617200	12	196.2	1.86	10.03
884628000	12	198.22	1.9	10.08
884638800	12	195.89	2.13	10.08
884649600	13	195.88	2.23	10.13
884660400	13	191.15	2.15	10.01
884671200	13	191.05	1.97	9.99
884682000	13	181.09	1.79	7.71
884692800	13	180.15	1.61	7.43
884703600	13	14.15	1.66	3.14
884714400	13	178.36	1.45	7.45
884725200	13	176.86	1.32	7.34
884736000	14	176.44	1.19	7.27
884746800	14	172.31	1.04	7.23
884757600	14	0.24	1.16	3.13
884768400	14	350.67	1.11	3.64
884779200	14	337.92	1.01	3.87
884790000	14	318	1.04	3.88
884800800	14	306.64	1.09	3.95
884811600	14	299.62	1.28	4.25
884822400	15	291.27	1.46	4.55
884833200	15	294.6	1.5	4.71
884844000	15	300.68	1.4	4.7
884854800	15	307.7	1.75	4.65
884865600	15	299.75	1.9	5.05
884876400	15	306.63	2.05	5.11
884887200	15	304.27	1.7	5.14
884898000	15	291.76	1.18	5.17
884908800	16	209.73	1.05	4.63
884919600	16	200.71	1.62	5.48
884930400	16	191.74	1.73	6.23
884941200	16	189.21	1.67	6.61
884952000	16	185.84	1.52	6.87
884962800	16	184	1.38	7.06
884973600	16	183.68	1.27	7.08
884984400	16	181.83	1.25	7.02
884995200	17	305.23	1.27	3.3
885006000	17	195.78	1.15	10.96
885016800	17	199.64	1.14	10.88
885027600	17	114.83	1.48	3.15
885038400	17	198.74	1.35	10.79
885049200	17	195.55	1.22	10.74
885060000	17	196.6	1.12	10.42
885070800	17	194.09	1.03	10.21
885081600	18	195.45	0.95	10.07
885092400	18	3.35	1.05	3.06
885103200	18	17.73	1.13	3.58
885114000	18	347.65	1.29	4
885124800	18	329.51	1.36	4.33
885135600	18	306	1.65	4.67
885146400	18	278.97	1.68	5.02
885157200	18	274.05	1.48	5.14
885168000	19	261.51	0.95	5.25
885178800	19	192.76	1.07	3.7
885189600	19	188.08	1.39	4.37
885200400	19	196.27	1.54	5.7
885211200	19	187.39	1.49	6.12
885222000	19	183.43	1.38	6.26
885232800	19	181.58	1.26	6.28
885243600	19	179.29	1.14	6.21
885254400	20	179.1	1.06	6.13
885265200	20	178.11	1	6.15
885276000	20	177.56	1.05	6.27
885286800	20	86.09	1.12	3.27
885297600	20	181.6	1.06	8.03
885308400	20	178.99	1.02	8.12
