Unix	jday	dp
936144000	244	183.68
936154800	244	181.56
936165600	244	182.44
936176400	244	180.63
936187200	244	181.5
936198000	244	179.76
936208800	244	320.25
936219600	244	326.08
936230400	245	172.76
936241200	245	171.43
936252000	245	172.75
936262800	245	173.06
936273600	245	174.39
936284400	245	173.52
936295200	245	173.91
936306000	245	172.7
936316800	246	172.97
936327600	246	172.18
936338400	246	173.33
936349200	246	173.74
936360000	246	NA
936370800	246	16.39
936381600	246	26.8
936392400	246	31.17
936403200	247	196.21
936414000	247	192.28
936424800	247	194.12
936435600	247	316.63
936446400	247	194.06
936457200	247	193.87
936468000	247	194.33
936478800	247	190.67
936489600	248	191.6
936500400	248	187.53
936511200	248	49.83
936522000	248	51.72
936532800	248	53.06
936543600	248	358.34
936554400	248	353.11
936565200	248	348.87
936576000	249	358.57
936586800	249	343.33
936597600	249	354.7
936608400	249	353.45
936619200	249	357.96
936630000	249	3.34
936640800	249	54.75
936651600	249	51.96
936662400	250	306.65
936673200	250	267.38
936684000	250	234.18
936694800	250	205.59
936705600	250	178.13
936716400	250	175.56
936727200	250	173.84
936738000	250	167.77
936748800	251	163.63
936759600	251	160.33
936770400	251	158.8
936781200	251	157.49
936792000	251	156.43
936802800	251	162.55
936813600	251	161.03
936824400	251	159.61
936835200	252	158.6
936846000	252	157.56
936856800	252	156.16
936867600	252	154.94
936878400	252	153.53
936889200	252	152.58
936900000	252	150.95
936910800	252	152.55
936921600	253	150.45
936932400	253	149.33
936943200	253	147.58
936954000	253	146.99
936964800	253	145.83
936975600	253	145.69
936986400	253	144.76
936997200	253	145.1
937008000	254	143.87
937018800	254	143.73
937029600	254	142.86
937040400	254	142.98
937051200	254	98.37
937062000	254	101.52
937072800	254	100.04
937083600	254	104.22
937094400	255	103.64
937105200	255	107.02
937116000	255	108.21
937126800	255	114.89
937137600	255	116.99
937148400	255	120.77
937159200	255	69.24
937170000	255	59.99
937180800	256	60.85
937191600	256	66.31
937202400	256	66.09
937213200	256	65.38
937224000	256	73.45
937234800	256	74.78
937245600	256	83.73
937256400	256	86.56
937267200	257	83.1
937278000	257	85.75
937288800	257	85.39
937299600	257	86.86
937310400	257	84.13
937321200	257	86.25
937332000	257	83.18
937342800	257	85.19
937353600	258	82.6
937364400	258	85.99
937375200	258	75.88
937386000	258	79.58
937396800	258	71.66
937407600	258	75.26
937418400	258	73.31
937429200	258	236.05
937440000	259	230.17
937450800	259	136.76
937461600	259	137.83
937472400	259	139.51
937483200	259	135.08
937494000	259	137.83
937504800	259	136.85
937515600	259	138.96
937526400	260	138.37
937537200	260	139.2
937548000	260	137.98
937558800	260	137.39
937569600	260	134.54
937580400	260	132.83
937591200	260	129.2
937602000	260	132.48
937612800	261	129.53
937623600	261	128.46
937634400	261	125.56
937645200	261	14.04
937656000	261	11.01
937666800	261	124.62
937677600	261	101.1
937688400	261	106.37
937699200	262	103.95
937710000	262	106.53
937720800	262	103.5
937731600	262	105.49
937742400	262	102
937753200	262	105.27
937764000	262	101.19
937774800	262	98.84
937785600	263	93.21
937796400	263	94.07
937807200	263	89.92
937818000	263	151.38
937828800	263	202.78
937839600	263	196.34
937850400	263	191.63
937861200	263	188.17
937872000	264	188.68
937882800	264	186.4
937893600	264	183.85
937904400	264	180.09
937915200	264	178.54
937926000	264	176.99
937936800	264	174.16
937947600	264	174.39
937958400	265	175.82
937969200	265	128.56
937980000	265	129.41
937990800	265	132.6
938001600	265	132.77
938012400	265	350.32
938023200	265	128.74
938034000	265	133.7
938044800	266	132.28
938055600	266	133.67
938066400	266	131.6
938077200	266	133.69
938088000	266	131.16
938098800	266	131.64
938109600	266	124.64
938120400	266	121.68
938131200	267	112.38
938142000	267	111.28
938152800	267	104.94
938163600	267	106.8
938174400	267	102.91
938185200	267	106.63
938196000	267	104.09
938206800	267	316.94
938217600	268	318.29
938228400	268	317.42
938239200	268	313.96
938250000	268	312.03
938260800	268	313.07
938271600	268	312.9
938282400	268	312.13
938293200	268	317.53
938304000	269	174.62
938314800	269	201.87
938325600	269	208.02
938336400	269	202.97
938347200	269	205.22
938358000	269	305.04
938368800	269	259.64
938379600	269	234.65
938390400	270	216.31
938401200	270	193.77
938412000	270	189.24
938422800	270	183.91
938433600	270	182.31
938444400	270	180.23
938455200	270	181.34
938466000	270	187.17
938476800	271	189.37
938487600	271	294.3
938498400	271	189.32
938509200	271	191.5
938520000	271	194.75
938530800	271	197.23
938541600	271	199.83
938552400	271	196.22
938563200	272	198.52
938574000	272	195.72
938584800	272	199.07
938595600	272	327.44
938606400	272	315.56
938617200	272	271.31
938628000	272	265.53
938638800	272	276.26
938649600	273	280.24
938660400	273	277.39
938671200	273	198.54
938682000	273	190.15
938692800	273	192.17
938703600	273	188.6
938714400	273	190.46
938725200	273	191.33
938736000	274	193.37
