Unix	jday	hs
1091318400	214	0.66
1091329200	214	0.65
1091340000	214	0.71
1091350800	214	0.83
1091361600	214	0.96
1091372400	214	1.07
1091383200	214	1.16
1091394000	214	1.2
1091404800	215	1.21
1091415600	215	1.19
1091426400	215	1.16
1091437200	215	1.11
1091448000	215	1.07
1091458800	215	1.03
1091469600	215	1
1091480400	215	0.98
1091491200	216	0.98
1091502000	216	1.28
1091512800	216	1.23
1091523600	216	1.33
1091534400	216	1.59
1091545200	216	1.79
1091556000	216	2.06
1091566800	216	2.14
1091577600	217	2.16
1091588400	217	2.15
1091599200	217	2.2
1091610000	217	2.22
1091620800	217	2.29
1091631600	217	2.35
1091642400	217	2.29
1091653200	217	2.21
1091664000	218	2.18
1091674800	218	2.13
1091685600	218	2.1
1091696400	218	2.12
1091707200	218	2.2
1091718000	218	2.24
1091728800	218	2.36
1091739600	218	2.6
1091750400	219	2.81
1091761200	219	2.81
1091772000	219	2.73
1091782800	219	2.63
1091793600	219	2.49
1091804400	219	2.4
1091815200	219	2.37
1091826000	219	2.31
1091836800	220	2.26
1091847600	220	2.16
1091858400	220	2
1091869200	220	1.79
1091880000	220	1.6
1091890800	220	1.44
1091901600	220	1.33
1091912400	220	1.27
1091923200	221	1.24
1091934000	221	1.24
1091944800	221	1.23
1091955600	221	1.24
1091966400	221	1.31
1091977200	221	1.36
1091988000	221	1.41
1091998800	221	1.5
1092009600	222	1.52
1092020400	222	1.54
1092031200	222	1.52
1092042000	222	1.49
1092052800	222	1.45
1092063600	222	1.66
1092074400	222	1.46
1092085200	222	1.38
1092096000	223	1.33
1092106800	223	1.26
1092117600	223	1.22
1092128400	223	1.13
1092139200	223	1.06
1092150000	223	1.12
1092160800	223	1.46
1092171600	223	1.33
1092182400	224	1.38
1092193200	224	1.5
1092204000	224	1.24
1092214800	224	1.21
1092225600	224	1.2
1092236400	224	1.16
1092247200	224	1.04
1092258000	224	0.99
1092268800	225	1
1092279600	225	1.16
1092290400	225	1.08
1092301200	225	1.1
1092312000	225	1.07
1092322800	225	1.07
1092333600	225	1.37
1092344400	225	1.5
1092355200	226	1.32
1092366000	226	1.23
1092376800	226	1.13
1092387600	226	1.29
1092398400	226	1.08
1092409200	226	0.97
1092420000	226	1
1092430800	226	1.02
1092441600	227	0.94
1092452400	227	1
1092463200	227	0.9
1092474000	227	0.88
1092484800	227	0.79
1092495600	227	0.76
1092506400	227	0.69
1092517200	227	1.21
1092528000	228	1.72
1092538800	228	2.03
1092549600	228	2.13
1092560400	228	1.99
1092571200	228	1.88
1092582000	228	1.89
1092592800	228	2
1092603600	228	2.16
1092614400	229	2.25
1092625200	229	2.33
1092636000	229	2.39
1092646800	229	2.38
1092657600	229	2.34
1092668400	229	2.29
1092679200	229	2.25
1092690000	229	2.25
1092700800	230	2.28
1092711600	230	2.41
1092722400	230	2.48
1092733200	230	2.59
1092744000	230	2.67
1092754800	230	2.84
1092765600	230	2.95
1092776400	230	2.98
1092787200	231	2.93
1092798000	231	2.84
1092808800	231	2.73
1092819600	231	2.64
1092830400	231	2.56
1092841200	231	2.5
1092852000	231	2.43
1092862800	231	2.36
1092873600	232	2.29
1092884400	232	2.22
1092895200	232	2.16
1092906000	232	2.12
1092916800	232	2.07
1092927600	232	2.03
1092938400	232	2
1092949200	232	1.97
1092960000	233	1.94
1092970800	233	1.91
1092981600	233	1.86
1092992400	233	1.81
1093003200	233	1.75
1093014000	233	1.69
1093024800	233	1.61
1093035600	233	1.53
1093046400	234	1.46
1093057200	234	1.4
1093068000	234	1.34
1093078800	234	1.28
1093089600	234	1.28
1093100400	234	1.44
1093111200	234	1.29
1093122000	234	1.25
1093132800	235	1.18
1093143600	235	1.23
1093154400	235	1.14
1093165200	235	1.13
1093176000	235	1.05
1093186800	235	1.36
1093197600	235	1.76
1093208400	235	2.14
1093219200	236	2.39
1093230000	236	2.46
1093240800	236	2.44
1093251600	236	2.45
1093262400	236	2.55
1093273200	236	2.66
1093284000	236	2.74
1093294800	236	2.81
1093305600	237	2.87
1093316400	237	2.95
1093327200	237	3.01
1093338000	237	3.07
1093348800	237	3
1093359600	237	2.92
1093370400	237	2.81
1093381200	237	2.71
1093392000	238	2.58
1093402800	238	2.47
1093413600	238	2.38
1093424400	238	2.29
1093435200	238	2.2
1093446000	238	2.11
1093456800	238	2.03
1093467600	238	2.03
1093478400	239	2.08
1093489200	239	2.14
1093500000	239	2.17
1093510800	239	2.27
1093521600	239	2.45
1093532400	239	2.52
1093543200	239	2.52
1093554000	239	2.65
1093564800	240	2.8
1093575600	240	2.82
1093586400	240	2.76
1093597200	240	2.67
1093608000	240	2.59
1093618800	240	2.55
1093629600	240	2.53
1093640400	240	2.56
1093651200	241	2.62
1093662000	241	2.67
1093672800	241	2.69
1093683600	241	2.68
1093694400	241	2.64
1093705200	241	2.56
1093716000	241	2.48
1093726800	241	2.38
1093737600	242	2.29
1093748400	242	2.2
1093759200	242	2.1
1093770000	242	2
1093780800	242	1.93
1093791600	242	1.86
1093802400	242	1.81
1093813200	242	1.76
1093824000	243	1.72
1093834800	243	1.68
1093845600	243	1.64
1093856400	243	1.6
1093867200	243	1.67
1093878000	243	1.63
1093888800	243	1.59
1093899600	243	1.54
1093910400	244	1.55
1093921200	244	1.57
1093932000	244	1.54
1093942800	244	1.5
1093953600	244	1.49
1093964400	244	1.49
1093975200	244	1.68
1093986000	244	1.86
1093996800	245	1.87
