Unix	jday	tp
896659200	152	8
896670000	152	3.14
896680800	152	9
896691600	152	9.82
896702400	152	3.99
896713200	152	4.33
896724000	152	4.72
896734800	152	4.79
896745600	153	4.87
896756400	153	4.81
896767200	153	4.66
896778000	153	4.15
896788800	153	5.07
896799600	153	6.77
896810400	153	7.47
896821200	153	7.74
896832000	154	7.98
896842800	154	8.05
896853600	154	8.04
896864400	154	8.17
896875200	154	8.32
896886000	154	8.63
896896800	154	8.82
896907600	154	8.25
896918400	155	8.58
896929200	155	10.63
896940000	155	11.25
896950800	155	14.34
896961600	155	14.87
896972400	155	15.73
896983200	155	15.81
896994000	155	15.82
897004800	156	15.73
897015600	156	14.69
897026400	156	13.81
897037200	156	13.4
897048000	156	13.09
897058800	156	12.48
897069600	156	12.14
897080400	156	11.82
897091200	157	11.44
897102000	157	11.15
897112800	157	10.99
897123600	157	10.83
897134400	157	10.69
897145200	157	10.37
897156000	157	10.2
897166800	157	10.06
897177600	158	9.9
897188400	158	4.96
897199200	158	5.03
897210000	158	5.34
897220800	158	5.33
897231600	158	5.14
897242400	158	4.9
897253200	158	4.81
897264000	159	4.81
897274800	159	4.84
897285600	159	4.86
897296400	159	3.12
897307200	159	3.64
897318000	159	3.97
897328800	159	4.09
897339600	159	4.1
897350400	160	8.52
897361200	160	8.42
897372000	160	8.33
897382800	160	4.8
897393600	160	5.55
897404400	160	6.24
897415200	160	6.85
897426000	160	7.38
897436800	161	7.61
897447600	161	7.84
897458400	161	12.95
897469200	161	14.32
897480000	161	14.39
897490800	161	14.33
897501600	161	12.56
897512400	161	12
897523200	162	11.36
897534000	162	11.08
897544800	162	10.93
897555600	162	10.76
897566400	162	10.43
897577200	162	10.17
897588000	162	10.05
897598800	162	3.21
897609600	163	9.92
897620400	163	3.49
897631200	163	4.11
897642000	163	4.31
897652800	163	4.53
897663600	163	4.77
897674400	163	5.02
897685200	163	5.26
897696000	164	5.55
897706800	164	5.72
897717600	164	5.86
897728400	164	6.11
897739200	164	6.42
897750000	164	6.93
897760800	164	7.29
897771600	164	3.36
897782400	165	7.74
897793200	165	7.86
897804000	165	4.38
897814800	165	4.85
897825600	165	5.16
897836400	165	5.42
897847200	165	5.65
897858000	165	5.7
897868800	166	11.7
897879600	166	11.72
897890400	166	10.51
897901200	166	10.43
897912000	166	10.35
897922800	166	10.29
897933600	166	10.22
897944400	166	10.15
897955200	167	10.08
897966000	167	9.99
897976800	167	9.87
897987600	167	9.61
897998400	167	9.38
898009200	167	9.3
898020000	167	9.27
898030800	167	9.2
898041600	168	9.07
898052400	168	8.94
898063200	168	8.7
898074000	168	8.41
898084800	168	8.28
898095600	168	3.14
898106400	168	4.08
898117200	168	4.66
898128000	169	4.86
898138800	169	5.17
898149600	169	5.22
898160400	169	5.21
898171200	169	5.19
898182000	169	3.12
898192800	169	3.6
898203600	169	3.93
898214400	170	5.11
898225200	170	6.28
898236000	170	6.94
898246800	170	7.37
898257600	170	7.51
898268400	170	7.44
898279200	170	7.34
898290000	170	12.25
898300800	171	12.24
898311600	171	12.17
898322400	171	12.05
898333200	171	11.93
898344000	171	11.78
898354800	171	11.44
898365600	171	11.13
898376400	171	10.9
898387200	172	10.61
898398000	172	10.19
898408800	172	9.95
898419600	172	9.82
898430400	172	9.72
898441200	172	3.13
898452000	172	3.62
898462800	172	3.99
898473600	173	4.19
898484400	173	4.18
898495200	173	4.11
898506000	173	4.11
898516800	173	3.45
898527600	173	4.63
898538400	173	5.16
898549200	173	5.34
898560000	174	5.6
898570800	174	5.68
898581600	174	5.71
898592400	174	5.74
898603200	174	5.77
898614000	174	5.82
898624800	174	5.94
898635600	174	11.15
898646400	175	10.74
898657200	175	10.35
898668000	175	3.46
898678800	175	3.97
898689600	175	4.26
898700400	175	4.58
898711200	175	4.77
898722000	175	5.09
898732800	176	5.39
898743600	176	6.1
898754400	176	6.37
898765200	176	6.58
898776000	176	6.79
898786800	176	6.86
898797600	176	6.87
898808400	176	6.83
898819200	177	6.84
898830000	177	6.86
898840800	177	4.59
898851600	177	4.67
898862400	177	5.23
898873200	177	5.89
898884000	177	6.29
898894800	177	6.47
898905600	178	6.63
898916400	178	6.72
898927200	178	6.76
898938000	178	6.8
898948800	178	12.12
898959600	178	11.88
898970400	178	11.59
898981200	178	3.46
898992000	179	3.63
899002800	179	10.38
899013600	179	10.4
899024400	179	10.5
899035200	179	10.63
899046000	179	11.81
899056800	179	11.9
899067600	179	12
899078400	180	12.11
899089200	180	12.16
899100000	180	12.15
899110800	180	12
899121600	180	10.3
899132400	180	10.11
899143200	180	9.94
899154000	180	9.74
899164800	181	3.18
899175600	181	3.58
899186400	181	3.88
899197200	181	4.15
899208000	181	5.07
899218800	181	5.91
899229600	181	6.29
899240400	181	6.31
899251200	182	6.28
