Unix	jday	Downward_Long-Wave_Rad_Flux
686275200	274	294.008346286367
686278800	274	295.313691148984
686282400	274	303.2352008792
686286000	274	300.669928840244
686289600	274	295.913395171164
686293200	274	290.644274074275
686296800	274	268.282700451217
686300400	274	266.170291700158
686304000	274	264.485994454424
686307600	274	263.006925063688
686311200	274	261.505640581444
686314800	274	260.210568122757
686318400	274	250.797215368598
686322000	274	249.890997769413
686325600	274	249.236157276887
686329200	274	249.016580225783
686332800	274	248.920748851678
686336400	274	248.971380275594
686340000	274	254.251577352206
686343600	274	255.304886057817
686347200	274	263.916060508267
686350800	274	283.048106560267
686354400	274	295.965183681543
686358000	274	304.581757554037
686361600	275	351.427706908534
686365200	275	351.486388817843
686368800	275	351.406925973357
686372400	275	351.492021704341
686376000	275	351.658975500875
686379600	275	351.893861978337
686383200	275	356.349405170857
686386800	275	357.727775806139
686390400	275	341.070703680369
686394000	275	324.857312005343
686397600	275	313.643598412763
686401200	275	305.482787184752
686404800	275	269.469914632672
686408400	275	268.8394784249
686412000	275	265.85046225436
686415600	275	264.562301972538
686419200	275	264.103054855183
686422800	275	263.94138093912
686426400	275	270.788105857052
686430000	275	270.193250504648
686433600	275	271.195888405599
686437200	275	273.576190637036
686440800	275	284.802955138011
686444400	275	295.783728057384
686448000	276	343.649757012576
686451600	276	344.726301343878
686455200	276	313.461718076271
686458800	276	302.976811816349
686462400	276	297.63424897949
686466000	276	294.363210090765
686469600	276	279.645920999851
686473200	276	278.644345477117
686476800	276	277.761965713933
686480400	276	276.797193298734
686484000	276	276.109262649668
686487600	276	275.630551340761
686491200	276	274.307619539815
686494800	276	274.675128403289
686498400	276	274.623065664918
686502000	276	274.575765283225
686505600	276	281.056908426991
686509200	276	286.964248590025
686512800	276	352.267984423634
686516400	276	352.215224540581
686520000	276	352.915168365142
686523600	276	353.543230387836
686527200	276	353.913462968674
686530800	276	353.450266373131
686534400	277	286.79468439398
686538000	277	287.473182924587
686541600	277	300.317114277347
686545200	277	306.904289599359
686548800	277	308.611342551029
686552400	277	312.094474336144
686556000	277	291.197722045475
686559600	277	289.847198813128
686563200	277	279.588339297473
686566800	277	277.357062551496
686570400	277	275.217225884781
686574000	277	273.666651834348
686577600	277	264.997601596644
686581200	277	264.287166659072
686584800	277	262.379744534395
686588400	277	260.709237686323
686592000	277	259.087170749368
686595600	277	257.546785020076
686599200	277	246.934757144375
686602800	277	246.603320317505
686606400	277	246.948769326185
686610000	277	247.656146792065
686613600	277	248.352985627363
686617200	277	248.849125020518
686620800	278	254.135716662382
686624400	278	254.815344063356
686628000	278	255.861678830447
686631600	278	257.534358391181
686635200	278	258.081433689648
686638800	278	258.189166916898
686642400	278	260.375174392462
686646000	278	259.338105181385
686649600	278	258.669960754994
686653200	278	259.111113706289
686656800	278	262.764131551712
686660400	278	267.812411592895
686664000	278	318.322271183266
686667600	278	318.00135310875
686671200	278	329.221092009855
686674800	278	334.445432228796
686678400	278	336.840631835404
686682000	278	338.415940931772
686685600	278	351.588245760299
686689200	278	351.688428722919
686692800	278	352.137706312889
686696400	278	352.157730720224
686700000	278	351.77607945187
686703600	278	351.220924025019
686707200	279	334.348250095851
686710800	279	332.88453397136
686714400	279	308.32903601572
686718000	279	292.784525260971
686721600	279	284.841722535692
686725200	279	279.877372279359
686728800	279	263.857979071949
686732400	279	263.155415933866
686736000	279	263.145352300077
686739600	279	263.504057642663
686743200	279	264.155114744593
686746800	279	264.978293036054
