Unix	jday	U-component_of_wind
678326400	182	-6.17862269330658
678330000	182	-4.89763256947577
678333600	182	-4.53717040240316
678337200	182	-4.2017614546525
678340800	182	-3.81412003103739
678344400	182	-3.50554426477855
678348000	182	-0.885790859654187
678351600	182	-2.01472412198465
678355200	182	-2.50532857459546
678358800	182	-2.83787037875346
678362400	182	-2.93667747612598
678366000	182	-3.13872642475484
678369600	182	-1.05897896812319
678373200	182	-2.81122380199801
678376800	182	-2.90287483739095
678380400	182	-2.88012027120942
678384000	182	-3.26240193254282
678387600	182	-3.57885489550133
678391200	182	-3.51569558961354
678394800	182	-4.02214294124018
678398400	182	-3.98579972297452
678402000	182	-4.04509011590397
678405600	182	-3.80278389829821
678409200	182	-3.48748586017483
678412800	183	-2.07134649111902
678416400	183	-2.78238682701257
678420000	183	-2.38731755300156
678423600	183	-1.97292591948426
678427200	183	-1.95568293130593
678430800	183	-2.17189195106074
678434400	183	-1.49308171196114
678438000	183	-2.86069238381303
678441600	183	-3.14507899793861
678445200	183	-3.17340745466605
678448800	183	-3.17730961694012
678452400	183	-3.12134096727458
678456000	183	-2.73929787145029
678459600	183	-2.7777990168707
678463200	183	-2.18451636848017
678466800	183	-1.52384494546555
678470400	183	-0.804691028063439
678474000	183	-0.0801860980880088
678477600	183	-0.956855921618477
678481200	183	-0.26605607642181
678484800	183	0.597630071362877
678488400	183	1.2824755366735
678492000	183	1.4433442391597
678495600	183	1.50709820209127
678499200	184	0.388968387639615
678502800	184	0.17025932496259
678506400	184	-0.570893728337309
678510000	184	-1.23803352311463
678513600	184	-1.65318509749593
678517200	184	-2.45188487367996
678520800	184	-1.55298582011209
678524400	184	-3.30989341441712
678528000	184	-4.00949313874782
678531600	184	-4.55978411429555
678535200	184	-4.58252128330187
678538800	184	-4.60112894244528
678542400	184	-1.77286490763919
678546000	184	-4.17583799160413
678549600	184	-4.95966692916077
678553200	184	-4.70835538289543
678556800	184	-4.41410757097507
678560400	184	-4.30027801409037
678564000	184	-1.28685895140419
678567600	184	-3.99694582595196
678571200	184	-4.35892237633107
678574800	184	-4.19831688865788
678578400	184	-3.48274204029847
678582000	184	-2.54447764188975
678585600	185	0.813972887856909
678589200	185	1.07352086563811
678592800	185	1.10411336073123
678596400	185	0.772886726860028
678600000	185	0.215224773415502
678603600	185	-0.0983191263635621
678607200	185	-0.906678932721102
678610800	185	-0.79834105405286
678614400	185	-0.408279404263679
678618000	185	-0.353215617629797
678621600	185	-0.563716998105877
678625200	185	-0.713956404370327
678628800	185	-0.841752908415917
678632400	185	-0.504049158264898
678636000	185	-0.545637650674949
678639600	185	-0.877139480337117
678643200	185	-1.1429693370228
678646800	185	-1.28546351673974
678650400	185	-0.323079475840308
678654000	185	-0.153889018135359
678657600	185	0.00297746031920739
678661200	185	0.124222408453604
678664800	185	0.300397498357353
678668400	185	0.677114675858921
678672000	186	-0.180995070867895
678675600	186	0.907315731203207
678679200	186	1.4566626264458
678682800	186	1.5628023272492
678686400	186	1.19427657466635
678690000	186	0.727909244273348
678693600	186	-0.321474847093199
678697200	186	-0.418344556748889
678700800	186	-0.617851777189314
678704400	186	-0.845978105540129
678708000	186	-1.07914382755774
678711600	186	-1.18085464613447
678715200	186	-1.27981036740405
678718800	186	-0.855420674224002
678722400	186	-0.606547545224125
678726000	186	-0.687595679734437
678729600	186	-0.912680435648284
678733200	186	-0.955754163376309
678736800	186	-0.133521203252044
678740400	186	-0.195586661430731
678744000	186	0.0337270510749043
678747600	186	0.311745411382012
678751200	186	0.330959985251561
678754800	186	0.491068085363002
678758400	187	0.279332447559357
678762000	187	1.39156360091807
678765600	187	1.81989262497109
678769200	187	1.84399171471597
678772800	187	1.70445257979646
678776400	187	1.68333971783298
678780000	187	1.22040173932011
678783600	187	1.04513682631749
678787200	187	0.508928753067518
678790800	187	-0.120792862428191
678794400	187	-0.471349957025865
678798000	187	-0.798849019063034
678801600	187	-1.00949846123583
678805200	187	-1.02593225251254
678808800	187	-1.17125297645197
678812400	187	-1.12320241287742
678816000	187	-0.907064812047456
678819600	187	-0.692719604443778
678823200	187	0.738715195620058
678826800	187	0.518925896788524
678830400	187	-0.0762377379202596
678834000	187	-0.902776453513525
678837600	187	-1.48934195884578
678841200	187	-1.51795933914451
678844800	188	-0.944761579789879
678848400	188	-0.389801798678064
678852000	188	0.586128750592917
678855600	188	0.886085433025702
678859200	188	0.64518410424998
678862800	188	0.254154247366246
678866400	188	0.54609799210024
678870000	188	-1.30094201520485
678873600	188	-3.16683770668156
678877200	188	-3.96167585005755
678880800	188	-4.02043882298073
678884400	188	-4.17455783712401
678888000	188	-2.31704867744969
678891600	188	-2.75660617554877
678895200	188	-2.98569703426936
678898800	188	-3.44657481507918
678902400	188	-4.04729211586716
678906000	188	-4.41718941505433
678909600	188	-7.13231115824223
678913200	188	-5.48273932676806
678916800	188	-4.47190113596338
678920400	188	-3.26975907147076
678924000	188	-2.04557412019784
678927600	188	-0.448245910516896
678931200	189	1.19353664099336
678934800	189	1.52728562781991
678938400	189	1.03215617109623
678942000	189	0.257806727507986
678945600	189	-0.480437256320946
678949200	189	-1.25353514057824
678952800	189	0.853568735434055
678956400	189	0.293587950239227
678960000	189	-0.15062135681692
678963600	189	-0.361452639802394
678967200	189	-0.201617513652437
678970800	189	-0.118109281163314
678974400	189	0.698406485913216
678978000	189	0.407524254855609
678981600	189	-0.271921534782191
678985200	189	-1.09270016849945
678988800	189	-1.71497883237664
678992400	189	-2.13094777921287
678996000	189	0.222471616725143
678999600	189	-0.515545210455748
679003200	189	-1.05628234006573
679006800	189	-1.53219360102294
679010400	189	-1.64653056723346
679014000	189	-1.74246638788118
679017600	190	-1.12983958931484
679021200	190	-1.87452250240175
679024800	190	-1.71090566560729
679028400	190	-1.47072305085669
679032000	190	-1.50153217043109
679035600	190	-1.62723781034178
679039200	190	0.551861870116516
679042800	190	-1.04305715622203
679046400	190	-1.96753380348162
679050000	190	-2.34740441233331
679053600	190	-2.21105921914694
679057200	190	-2.06882001886703
679060800	190	1.24972534409982
679064400	190	-0.464009641837571
679068000	190	-1.06537099016669
679071600	190	-1.40732908303862
679075200	190	-1.68333427826843
679078800	190	-1.87192459237529
679082400	190	1.27231323516787
679086000	190	0.195044152961435
679089600	190	-0.399584108271085
679093200	190	-0.995285813248225
679096800	190	-0.980011700426037
679100400	190	-0.886856968072312
679104000	191	-0.108672347206259
679107600	191	-0.10071326412413
679111200	191	-0.134394458922677
679114800	191	-0.362320372850482
679118400	191	-0.207084967766736
