Unix	jday	Precipitation_rate
993945600	182	0
993949200	182	0
993952800	182	0
993956400	182	0
993960000	182	0
993963600	182	0
993967200	182	0
993970800	182	0
993974400	182	0
993978000	182	0
993981600	182	0
993985200	182	0
993988800	182	0
993992400	182	0
993996000	182	0
993999600	182	0
994003200	182	0
994006800	182	0
994010400	182	0
994014000	182	0
994017600	182	0
994021200	182	0
994024800	182	0
994028400	182	0
994032000	183	0
994035600	183	0
994039200	183	0
994042800	183	0
994046400	183	0
994050000	183	0
994053600	183	0
994057200	183	0
994060800	183	0
994064400	183	0
994068000	183	0
994071600	183	0
994075200	183	0
994078800	183	0
994082400	183	0
994086000	183	0
994089600	183	8.14602592515397e-08
994093200	183	8.14602592515397e-08
994096800	183	1.62920518503079e-07
994100400	183	8.14602592515397e-08
994104000	183	8.14602592515397e-08
994107600	183	8.14602592515397e-08
994111200	183	0
994114800	183	0
994118400	184	0
994122000	184	0
994125600	184	0
994129200	184	0
994132800	184	0
994136400	184	0
994140000	184	0
994143600	184	0
994147200	184	0
994150800	184	0
994154400	184	0
994158000	184	0
994161600	184	0
994165200	184	0
994168800	184	0
994172400	184	0
994176000	184	0
994179600	184	0
994183200	184	0
994186800	184	0
994190400	184	0
994194000	184	0
994197600	184	0
994201200	184	0
994204800	185	0
994208400	185	0
994212000	185	0
994215600	185	0
994219200	185	0
994222800	185	0
994226400	185	0
994230000	185	0
994233600	185	0
994237200	185	0
994240800	185	0
994244400	185	0
994248000	185	0
994251600	185	0
994255200	185	0
994258800	185	0
994262400	185	0
994266000	185	0
994269600	185	0
994273200	185	0
994276800	185	0
994280400	185	0
994284000	185	0
994287600	185	0
994291200	186	0
994294800	186	0
994298400	186	0
994302000	186	0
994305600	186	0
994309200	186	0
994312800	186	0
994316400	186	0
994320000	186	0
994323600	186	0
994327200	186	0
994330800	186	0
994334400	186	0
994338000	186	0
994341600	186	0
994345200	186	0
994348800	186	0
994352400	186	0
994356000	186	0
994359600	186	0
994363200	186	0
994366800	186	0
994370400	186	0
994374000	186	0
994377600	187	0
994381200	187	0
994384800	187	0
994388400	187	0
994392000	187	0
994395600	187	0
994399200	187	0
994402800	187	0
994406400	187	0
994410000	187	0
994413600	187	0
994417200	187	0
994420800	187	0
994424400	187	0
994428000	187	0
994431600	187	0
994435200	187	0
994438800	187	0
994442400	187	0
994446000	187	0
994449600	187	0
994453200	187	0
994456800	187	0
994460400	187	0
994464000	188	0
994467600	188	0
994471200	188	0
994474800	188	0
994478400	188	0
994482000	188	0
994485600	188	0
994489200	188	0
994492800	188	0
994496400	188	0
994500000	188	0
994503600	188	0
994507200	188	0
994510800	188	0
994514400	188	0
994518000	188	0
994521600	188	0
994525200	188	0
994528800	188	0
994532400	188	0
994536000	188	0
994539600	188	0
994543200	188	0
994546800	188	0
994550400	189	0
994554000	189	0
994557600	189	0
994561200	189	0
994564800	189	0
994568400	189	0
994572000	189	0
994575600	189	0
994579200	189	0
994582800	189	0
994586400	189	0
994590000	189	0
994593600	189	0
994597200	189	0
994600800	189	0
994604400	189	0
994608000	189	0
994611600	189	0
994615200	189	0
994618800	189	0
994622400	189	0
994626000	189	0
994629600	189	0
994633200	189	0
994636800	190	0
994640400	190	0
994644000	190	0
994647600	190	0
994651200	190	0
994654800	190	0
994658400	190	0
994662000	190	0
994665600	190	0
994669200	190	0
994672800	190	0
994676400	190	0
994680000	190	0
994683600	190	0
994687200	190	0
994690800	190	0
994694400	190	0
994698000	190	0
994701600	190	0
994705200	190	0
994708800	190	0
994712400	190	0
994716000	190	0
994719600	190	0
994723200	191	0
994726800	191	4.55258423650346e-07
994730400	191	1.80507802182807e-06
994734000	191	3.1357942009017e-06
994737600	191	3.70770266107207e-06
994741200	191	3.78916294810648e-06
994744800	191	1.46965808738383e-06
994748400	191	9.79209830707494e-07
994752000	191	8.97749580716914e-07
994755600	191	8.16289293682496e-07
994759200	191	5.94200369196143e-07
994762800	191	5.12740119205562e-07
994766400	191	8.14602592515397e-08
994770000	191	8.14602592515397e-08
994773600	191	8.14602592515397e-08
994777200	191	8.14602592515397e-08
994780800	191	8.14602592515397e-08
994784400	191	8.14602592515397e-08
994788000	191	0
994791600	191	0
994795200	191	0
994798800	191	0
994802400	191	0
994806000	191	0
994809600	192	0
994813200	192	0
994816800	192	0
994820400	192	0
994824000	192	0
994827600	192	0
994831200	192	0
994834800	192	0
994838400	192	1.86899082199403e-07
994842000	192	3.73798164398807e-07
994845600	192	4.55258423650346e-07
994849200	192	6.42157527097715e-07
994852800	192	2.60696771027018e-06
994856400	192	2.63413460061627e-06
994860000	192	3.88339052969931e-06
994863600	192	5.04631109343391e-06
994867200	192	4.54797046922829e-06
994870800	192	4.17417234732541e-06
994874400	192	8.14602592515397e-08
994878000	192	0
994881600	192	0
994885200	192	0
994888800	192	0
994892400	192	0
994896000	193	0
994899600	193	0
994903200	193	0
994906800	193	0
994910400	193	0
994914000	193	0
994917600	193	0
994921200	193	0
994924800	193	0
994928400	193	0
994932000	193	0
994935600	193	0
994939200	193	0
994942800	193	0
994946400	193	0
994950000	193	0
994953600	193	0
994957200	193	0
994960800	193	0
994964400	193	0
994968000	193	0
994971600	193	8.14602592515397e-08
994975200	193	8.14602592515397e-08
994978800	193	8.14602592515397e-08
994982400	194	8.16289293682496e-07
994986000	194	1.16553438304561e-05
994989600	194	1.82867228067892e-05
994993200	194	1.80822220981989e-05
994996800	194	1.6999074696992e-05
995000400	194	1.4351911763353e-05
995004000	194	0
995007600	194	1.79212572205579e-06
995011200	194	1.14044364804347e-06
995014800	194	7.33142361046736e-07
995018400	194	5.70221824021737e-07
995022000	194	4.07301286996739e-07
995025600	194	0
995029200	194	0
995032800	194	0
995036400	194	1.7621266711955e-06
995040000	194	3.60571362942541e-06
995043600	194	7.21251015194854e-06
995047200	194	5.06716940188729e-05
995050800	194	5.25564626950576e-05
995054400	194	5.75003519144043e-05
995058000	194	6.94256112758467e-05
995061600	194	9.16319566633585e-05
995065200	194	0.00011713085967578
995068800	195	7.94326994954541e-05
995072400	195	0.000143624870524044
995076000	195	0.000123309969730523
995079600	195	0.000100337953686501
995083200	195	8.07845437777463e-05
995086800	195	6.50365147441957e-05
995090400	195	1.80139841024855e-05
995094000	195	1.92204732871467e-05
995097600	195	1.67459940084339e-05
995101200	195	1.12598171853761e-05
995104800	195	8.5870427264687e-06
995108400	195	6.98783655525436e-06
995112000	195	0
995115600	195	0
995119200	195	0
995122800	195	0
995126400	195	0
995130000	195	0
995133600	195	0
995137200	195	0
995140800	195	0
995144400	195	0
995148000	195	0
995151600	195	0
995155200	196	0
995158800	196	0
995162400	196	0
995166000	196	0
995169600	196	0
995173200	196	0
995176800	196	0
995180400	196	0
995184000	196	0
995187600	196	0
995191200	196	0
995194800	196	0
995198400	196	0
995202000	196	0
995205600	196	0
995209200	196	0
995212800	196	3.85009442989433e-07
995216400	196	1.26046716790379e-06
995220000	196	7.46495421313474e-06
995223600	196	6.96329484767461e-06
995227200	196	6.19327597514908e-06
995230800	196	4.8082664691117e-06
995234400	196	3.99516549337225e-06
995238000	196	3.42325698270471e-06
995241600	197	0
995245200	197	0
995248800	197	0
995252400	197	0
995256000	197	0
995259600	197	0
995263200	197	0
995266800	197	8.14602592515397e-08
995270400	197	2.20280044843057e-06
995274000	197	1.07061191679984e-05
995277600	197	3.78038912813216e-05
995281200	197	8.18612738773935e-05
995284800	197	0.000148419988943027
995288400	197	9.46809402975256e-05
995292000	197	5.42651040900384e-05
995295600	197	3.64285485138384e-05
995299200	197	2.76971681167023e-05
995302800	197	2.24641294052659e-05
995306400	197	2.68818858308369e-06
995310000	197	1.30336414802464e-06
995313600	197	6.51682074012318e-07
995317200	197	4.88761574031157e-07
995320800	197	3.25841037006159e-07
995324400	197	3.25841037006159e-07
995328000	198	0
995331600	198	0
995335200	198	0
995338800	198	4.07301286996739e-07
995342400	198	3.25841037006159e-07
995346000	198	2.44380787015578e-07
995349600	198	0
995353200	198	0
995356800	198	0
995360400	198	0
995364000	198	0
995367600	198	0
995371200	198	0
995374800	198	0
995378400	198	0
995382000	198	0
995385600	198	0
995389200	198	0
995392800	198	0
995396400	198	0
995400000	198	0
995403600	198	1.77307660970467e-06
995407200	198	8.00477121060742e-06
995410800	198	2.44104673274584e-05
995414400	199	0.000131794881313682
995418000	199	0.000115073895351158
995421600	199	8.80139776397589e-05
995425200	199	8.04199023895434e-05
995428800	199	8.65753548777143e-05
995432400	199	8.57306360804012e-05
995436000	199	7.77911072988889e-07
995439600	199	6.44410167592136e-05
995443200	199	7.7947018540712e-05
995446800	199	8.00955771470563e-05
995450400	199	8.50778887143715e-05
995454000	199	8.86721275119344e-05
995457600	199	8.5360546012001e-05
995461200	199	7.97755434785364e-05
995464800	199	6.47608877139864e-05
995468400	199	5.26520410550526e-05
