Unix	jday	Downward_Long.Wave_Rad_Flux
757382400	1	366.015740905801
757386000	1	366.145105825959
757389600	1	358.50640685653
757393200	1	357.533711953171
757396800	1	359.157398753496
757400400	1	360.235411664419
757404000	1	357.609230179752
757407600	1	357.485890104021
757411200	1	363.418306777031
757414800	1	365.789234457519
757418400	1	366.971196881253
757422000	1	367.761488292388
757425600	1	356.915219815684
757429200	1	357.15304501521
757432800	1	365.21319374136
757436400	1	368.513888123098
757440000	1	370.266249316791
757443600	1	371.434770586199
757447200	1	358.228540283877
757450800	1	358.966376077432
757454400	1	357.101087188753
757458000	1	361.159783248388
757461600	1	363.315161332888
757465200	1	364.110114558343
757468800	2	310.985938681645
757472400	2	310.471608130018
757476000	2	329.385240375567
757479600	2	335.176948417682
757483200	2	337.402705460285
757486800	2	338.558163619435
757490400	2	354.465878473268
757494000	2	354.098128748713
757497600	2	342.74165106221
757501200	2	337.083363442404
757504800	2	335.69443624106
757508400	2	336.325643395639
757512000	2	342.696419662036
757515600	2	342.831070849469
757519200	2	356.231231462407
757522800	2	360.67457321898
757526400	2	362.951371929297
757530000	2	364.271169724257
757533600	2	371.699933396533
757537200	2	371.990956384323
757540800	2	371.813364375417
757544400	2	371.758373744726
757548000	2	371.76817129904
757551600	2	371.834685407192
757555200	3	375.425527705151
757558800	3	375.651315188226
757562400	3	376.241635408223
757566000	3	376.876561608272
757569600	3	377.249806836399
757573200	3	376.687694497128
757576800	3	366.171972867083
757580400	3	366.482859680027
757584000	3	369.634036226163
757587600	3	372.536488910339
757591200	3	375.335601834817
757594800	3	377.966167054905
757598400	3	395.085016471003
757602000	3	395.475643686973
757605600	3	394.941430639819
757609200	3	395.124875179999
757612800	3	394.783844418231
757616400	3	394.782761926389
757620000	3	395.634530964621
757623600	3	395.679908374833
757627200	3	395.257303266998
757630800	3	395.216282298448
757634400	3	395.205152078843
757638000	3	395.3531837931
757641600	4	390.932672189658
757645200	4	390.292661182193
757648800	4	389.097148581415
757652400	4	386.032600020843
757656000	4	384.121518025153
757659600	4	382.561649690346
757663200	4	364.271349859809
757666800	4	365.001745978311
757670400	4	371.559848383261
757674000	4	374.096052686498
757677600	4	374.904792618776
757681200	4	376.540307973608
757684800	4	396.291551850594
757688400	4	398.776837960504
757692000	4	397.500144644853
757695600	4	391.468307339247
757699200	4	385.462039803799
757702800	4	377.86536834802
757706400	4	335.480613273311
757710000	4	335.213760066719
757713600	4	342.002462646311
757717200	4	348.416172604071
757720800	4	349.671194861504
757724400	4	346.918084906169
757728000	5	308.26636506381
757731600	5	308.289789517462
757735200	5	324.765857589773
757738800	5	325.737575745636
757742400	5	323.064241673976
757746000	5	321.593908460472
757749600	5	361.641448117743
757753200	5	360.861673039466
757756800	5	362.46461391492
757760400	5	363.499994699457
757764000	5	362.711474137776
757767600	5	361.302291785505
757771200	5	345.102174010839
757774800	5	345.42675928136
757778400	5	340.83158874277
757782000	5	339.312145495199
757785600	5	336.38876553103
757789200	5	333.55045163769
757792800	5	316.644101150613
757796400	5	317.066567672303
757800000	5	310.871326119417
757803600	5	307.921534471717
757807200	5	306.637605339677
757810800	5	306.063598855849
757814400	6	302.644328516499
757818000	6	302.664799394648
757821600	6	301.931845939431
757825200	6	301.147286973366
757828800	6	300.310404395022
757832400	6	299.521862788639
757836000	6	297.78931849342
757839600	6	297.31972227643
757843200	6	297.738233259437
757846800	6	298.345810375313
757850400	6	299.335384164684
757854000	6	300.816257905893
757857600	6	358.458302755836
757861200	6	358.755367031856
757864800	6	368.191436123596
757868400	6	374.177547416074
757872000	6	378.036279192104
757875600	6	380.784254297609
757879200	6	397.574979009673
757882800	6	399.24587801438
757886400	6	400.321235349558
757890000	6	400.940156080033
757893600	6	401.318126811526
757897200	6	401.233444875319
757900800	7	401.209705574384
757904400	7	401.458873035507
757908000	7	401.33178316756
757911600	7	401.061535201977
757915200	7	400.878805874038
757918800	7	400.709774137206
757922400	7	399.559450264705
757926000	7	399.381252931991
757929600	7	399.272140980918
757933200	7	399.113061572286
757936800	7	399.022480225714
757940400	7	398.957288717182
757944000	7	401.469972455324
757947600	7	401.416047398292
757951200	7	401.198525649828
757954800	7	399.568907517143
757958400	7	397.983186672337
757962000	7	395.488044986072
757965600	7	386.828419021441
757969200	7	387.095676461556
757972800	7	391.057751970026
757976400	7	392.235019698187
757980000	7	391.581888195096
757983600	7	389.303088742325
757987200	8	383.573177364261
757990800	8	383.50562274778
757994400	8	384.463550379677
757998000	8	384.763997276155
758001600	8	384.735840997749
758005200	8	384.405743472808
758008800	8	380.067363837518
758012400	8	379.712371894432
758016000	8	382.428972459619
758019600	8	383.416248490267
758023200	8	382.720119489761
758026800	8	379.76472317993
758030400	8	384.969068604987
758034000	8	383.981259201695
758037600	8	388.041565251712
758041200	8	391.084875645984
758044800	8	392.494111720822
758048400	8	393.215621225011
758052000	8	381.507885038553
758055600	8	381.490123470193
758059200	8	385.634471793822
758062800	8	387.932632727244
758066400	8	388.307304743969
758070000	8	388.223559868547
758073600	9	384.009279637968
758077200	9	384.83406015836
758080800	9	387.444971046733
758084400	9	387.804058754309
758088000	9	389.527458058209
758091600	9	391.192579389346
758095200	9	396.923836551723
758098800	9	395.039896953345
758102400	9	392.126608446548
758106000	9	388.088497399413
758109600	9	385.086973024023
758113200	9	382.466771890121
758116800	9	373.608899262247
758120400	9	373.47704971182
758124000	9	373.832962893268
758127600	9	371.64135005204
758131200	9	367.111709741844
758134800	9	361.734925998765
758138400	9	329.919209435325
758142000	9	330.152306562973
758145600	9	326.323723633916
758149200	9	323.923262016668
758152800	9	321.921406047346
758156400	9	320.192107411094
758160000	10	312.707518677158
758163600	10	312.091969711801
758167200	10	310.854117810724
758170800	10	309.231780954941
758174400	10	307.180718795994
758178000	10	305.143582597715
758181600	10	295.019649733872
758185200	10	293.311129954817
758188800	10	292.114991832374
758192400	10	290.564120004629
758196000	10	290.201507789751
758199600	10	290.379009797056
758203200	10	291.129398114715
758206800	10	290.727636157696
758210400	10	290.110763645702
758214000	10	289.129883662154
758217600	10	288.125600102062
758221200	10	287.185538476934
758224800	10	278.713294881975
758228400	10	279.28173919101
758232000	10	279.844109717847
758235600	10	280.46648613435
758239200	10	281.082016907059
758242800	10	281.716646244418
758246400	11	288.618539192226
758250000	11	288.964307373127
758253600	11	289.803171914316
758257200	11	290.451137660487
758260800	11	290.157223279263
758264400	11	290.166316522922
758268000	11	294.021819146479
758271600	11	293.444817528241
758275200	11	293.541552852916
758278800	11	294.043640298904
758282400	11	294.783597141798
758286000	11	295.617391446975
758289600	11	301.011650452687
758293200	11	300.573006599574
758296800	11	300.310816722492
758300400	11	300.238488079988
758304000	11	299.545713375024
758307600	11	298.900202799416
758311200	11	294.977538744288
758314800	11	295.832093361076
758318400	11	296.083558468495
758322000	11	296.310087539193
758325600	11	296.462301246872
758329200	11	296.515420017599
758332800	12	297.742387450914
758336400	12	297.831084173169
758340000	12	297.678380686872
758343600	12	298.113560225322
758347200	12	298.77946414854
758350800	12	299.707428723329
758354400	12	301.198587930099
758358000	12	300.452483768705
758361600	12	297.968015806049
758365200	12	296.401471808997
758368800	12	295.362322565117
758372400	12	294.545985908415
758376000	12	290.986027332629
758379600	12	290.871804923826
758383200	12	289.999069155235
758386800	12	289.329693010525
758390400	12	288.841686357065
758394000	12	288.480729716014
758397600	12	285.979058020033
758401200	12	286.548061384672
758404800	12	286.658633146134
758408400	12	286.885054455398
758412000	12	287.130879151563
758415600	12	287.322840916474
758419200	13	288.488241924988
758422800	13	288.848094282691
758426400	13	289.130622968622
758430000	13	289.552758410791
758433600	13	290.349030145512
758437200	13	291.20872108793
758440800	13	295.161419576443
758444400	13	294.251577036557
758448000	13	294.607607540316
758451600	13	295.074719647843
758455200	13	295.710631717815
758458800	13	296.340090323643
758462400	13	300.210804200556
758466000	13	301.065414827919
758469600	13	300.683563573047
758473200	13	300.475167424589
758476800	13	300.210099822554
758480400	13	299.910811186768
758484000	13	299.72362261148
758487600	13	299.465244254466
758491200	13	300.002096920873
758494800	13	300.497523648344
758498400	13	300.999022631578
758502000	13	301.414683538453
758505600	14	304.411359559256
758509200	14	304.4249960643
758512800	14	304.09054015194
758516400	14	303.811354909375
758520000	14	303.457706078545
758523600	14	303.06158887689
758527200	14	301.444351638147
758530800	14	300.615338963668
758534400	14	299.984744456923
758538000	14	299.481754398428
758541600	14	299.157315362777
758545200	14	298.909908536891
758548800	14	295.245775814609
758552400	14	294.739151167207
758556000	14	294.466497005957
758559600	14	294.574224067641
758563200	14	294.76439580014
758566800	14	294.94905516259
758570400	14	301.394943189228
758574000	14	302.157840496701
758577600	14	319.329590720209
758581200	14	338.017643246664
758584800	14	348.050325088373
758588400	14	354.864683338823
758592000	15	387.597038564949
758595600	15	386.526956651541
758599200	15	383.709252213676
758602800	15	379.121792686589
758606400	15	374.148950016473
758610000	15	363.764947584715
758613600	15	295.026798759052
758617200	15	295.143465386435
758620800	15	292.06455533617
758624400	15	290.665494584911
758628000	15	289.305154229646
758631600	15	288.364697503025
758635200	15	284.229328840877
758638800	15	283.943557101925
758642400	15	283.999699316464
758646000	15	284.231181643663
758649600	15	291.629448209392
758653200	15	299.663571293654
758656800	15	338.944759284845
758660400	15	339.08424564643
758664000	15	344.322204327779
758667600	15	349.38691967547
758671200	15	351.97188564495
758674800	15	353.548612648445
758678400	16	301.138828874713
758682000	16	301.322801074464
758685600	16	294.459555162644
758689200	16	291.182444283065
758692800	16	289.142343474351
758696400	16	287.787112551222
758700000	16	279.318455239981
758703600	16	278.944980455714
758707200	16	278.538636108178
758710800	16	278.348556595887
758714400	16	278.260504365871
758718000	16	278.373118742723
758721600	16	281.910802490713
758725200	16	282.056848631413
758728800	16	281.4714998322
758732400	16	280.683446295997
758736000	16	279.903035276214
758739600	16	279.199864148639
758743200	16	279.411833177056
758746800	16	279.240723998613
758750400	16	279.156934948215
758754000	16	279.243900249631
758757600	16	279.546654089886
758761200	16	279.954031792914
758764800	17	284.293460055171
758768400	17	284.148923709862
758772000	17	284.283166048959
758775600	17	288.734032271372
758779200	17	290.348669018958
758782800	17	289.695141512501
758786400	17	285.271293466182
758790000	17	284.505798696423
758793600	17	286.129161078708
758797200	17	289.62437962058
758800800	17	291.582272403152
758804400	17	293.378403885049
758808000	17	321.708433406433
758811600	17	322.121196260073
758815200	17	323.322338617429
758818800	17	325.885994421909
758822400	17	332.630521156332
758826000	17	337.512356543531
758829600	17	365.879701306927
758833200	17	366.406054842441
758836800	17	367.39932137131
758840400	17	366.618329400379
758844000	17	366.842104432922
758847600	17	367.963862062803
758851200	18	376.555262677299
758854800	18	376.688555949208
758858400	18	376.366854952648
758862000	18	376.852184645572
758865600	18	377.641952383359
758869200	18	378.662511848174
758872800	18	389.559670277171
758876400	18	390.337950724799
758880000	18	391.662100303614
758883600	18	392.371276231978
758887200	18	392.73243597411
758890800	18	393.094775139359
758894400	18	391.676474922634
758898000	18	391.367762793067
758901600	18	389.889944815255
758905200	18	387.844557837324
758908800	18	385.949541573259
758912400	18	382.953644196163
758916000	18	348.587590365922
758919600	18	348.858710302342
758923200	18	354.274706111382
758926800	18	358.573655572107
758930400	18	365.125491793428
758934000	18	369.615229893763
758937600	19	393.911952547797
758941200	19	394.915825153576
758944800	19	395.335231513956
758948400	19	395.732016354296
758952000	19	396.125502796469
758955600	19	396.418332008211
758959200	19	396.710997169255
758962800	19	396.53603259227
758966400	19	395.738234820436
758970000	19	394.037751187796
758973600	19	392.795171189917
758977200	19	391.729924286927
758980800	19	378.677479115754
758984400	19	378.389614514319
758988000	19	377.77282153286
758991600	19	379.480402087836
758995200	19	379.470230012079
758998800	19	379.233025579865
759002400	19	376.216443835417
759006000	19	375.745726211505
759009600	19	376.622215532528
759013200	19	377.268337362053
759016800	19	377.766284149276
759020400	19	378.085862224991
759024000	20	359.904703505145
759027600	20	360.954904147943
759031200	20	359.788575587932
759034800	20	358.497284337708
759038400	20	358.491408053289
759042000	20	358.98405183659
759045600	20	381.700595834611
759049200	20	379.742349474078
759052800	20	380.059145989441
759056400	20	379.928628732101
759060000	20	379.429420251767
759063600	20	379.030701306705
759067200	20	387.796241454562
759070800	20	387.692532651908
759074400	20	390.888227595457
759078000	20	391.770191030831
759081600	20	392.445478939307
759085200	20	392.849642685302
759088800	20	391.908382362221
759092400	20	391.834701008851
759096000	20	392.141376163929
759099600	20	392.09442435165
759103200	20	391.039634170119
759106800	20	389.624355012105
759110400	21	377.789836671988
759114000	21	377.813289243236
759117600	21	376.330990401679
759121200	21	374.876819850411
759124800	21	373.28845961096
759128400	21	371.112779121108
759132000	21	363.482602414312
759135600	21	362.488515143632
759139200	21	364.093410619337
759142800	21	364.343916505559
759146400	21	362.285598903317
759150000	21	361.168010709888
759153600	21	365.785800608417
759157200	21	365.992902551492
759160800	21	369.655427469189
759164400	21	370.766149491151
759168000	21	371.045568929521
759171600	21	372.007469313004
759175200	21	376.162329256473
759178800	21	377.14313898334
759182400	21	383.425538134304
759186000	21	385.865087937894
759189600	21	387.014521843488
759193200	21	387.802776209531
759196800	22	389.405145511151
759200400	22	389.24107040585
759204000	22	388.811594959899
759207600	22	388.985644182665
759211200	22	389.285024919954
759214800	22	389.561341762191
759218400	22	391.164995730811
759222000	22	391.217992677012
759225600	22	390.658193001967
759229200	22	389.497222436767
759232800	22	389.228039547987
759236400	22	389.150094144988
759240000	22	389.38807462343
759243600	22	390.233132480828
759247200	22	390.496074972914
759250800	22	391.348349482197
759254400	22	392.126210837404
759258000	22	392.755253429936
759261600	22	391.839865516113
759265200	22	391.958991013408
759268800	22	391.952526601457
759272400	22	392.032572039642
759276000	22	392.249983111161
759279600	22	392.576118537221
759283200	23	396.187671831575
759286800	23	396.874774390961
759290400	23	394.703704316458
759294000	23	392.389662982623
759297600	23	392.085016069221
759301200	23	392.101083857077
759304800	23	387.891118292429
759308400	23	389.771120724376
759312000	23	390.243787613647
759315600	23	391.275301250092
759319200	23	392.575916923405
759322800	23	393.475372138935
759326400	23	394.568118525402
759330000	23	395.022890193394
759333600	23	394.201804802903
759337200	23	394.941482095654
759340800	23	395.109123628034
759344400	23	394.994883504381
759348000	23	396.194032177204
759351600	23	396.178150845876
759355200	23	395.834922141428
759358800	23	395.534239768305
759362400	23	392.900145500061
759366000	23	389.582885690559
759369600	24	365.732668534893
759373200	24	367.416477542516
759376800	24	360.067688582656
759380400	24	356.694119931773
759384000	24	354.20022416279
759387600	24	352.441997664182
759391200	24	347.379562280246
759394800	24	345.955030369015
759398400	24	347.530472829025
759402000	24	357.253558048599
759405600	24	363.590650582129
759409200	24	367.275813072055
759412800	24	363.988235720906
759416400	24	362.424529570759
759420000	24	354.347430553536
759423600	24	351.776658762421
759427200	24	352.506463341527
759430800	24	353.676789383942
759434400	24	369.508187296297
759438000	24	370.031448884946
759441600	24	374.448037399686
759445200	24	375.562461562397
759448800	24	373.43345258948
759452400	24	370.2160851115
759456000	25	328.415248938494
759459600	25	328.681295357999
759463200	25	325.278224264319
759466800	25	322.91238523993
759470400	25	320.2849606487
759474000	25	317.489903011137
759477600	25	295.270709408148
759481200	25	293.463031954047
759484800	25	295.140522536634
759488400	25	296.187911255493
759492000	25	295.624489219942
759495600	25	296.278851392696
759499200	25	301.965947691096
759502800	25	301.944629741851
759506400	25	301.322968944412
759510000	25	301.749879743198
759513600	25	301.761988721948
759517200	25	302.198580056946
759520800	25	307.413221913456
759524400	25	307.850568212234
759528000	25	308.654075921115
759531600	25	311.693345254826
759535200	25	315.511215931852
759538800	25	315.478417757115
759542400	26	318.325663994148
759546000	26	320.298684641161
759549600	26	319.053314742198
759553200	26	318.069474404529
759556800	26	317.319133622862
759560400	26	316.650450966902
759564000	26	307.907250306817
759567600	26	306.256095245538
759571200	26	305.82498449684
759574800	26	305.441280822567
759578400	26	304.270097555346
759582000	26	303.121525097197
759585600	26	296.888042507875
759589200	26	295.33940910126
759592800	26	294.634726557711
759596400	26	297.573560134052
759600000	26	300.323968905221
759603600	26	302.118425411473
759607200	26	308.47314759934
759610800	26	308.17111241818
759614400	26	314.986077205128
759618000	26	321.887273474522
759621600	26	322.647715496907
759625200	26	321.924126855777
759628800	27	298.850799682907
759632400	27	298.995473083162
759636000	27	299.583132746648
759639600	27	300.252775157065
759643200	27	300.884329043512
759646800	27	301.558501053246
759650400	27	312.898357069577
759654000	27	311.5868574283
759657600	27	311.204698207668
759661200	27	310.643055077333
759664800	27	310.03588003093
759668400	27	309.550940421331
759672000	27	306.796590288081
759675600	27	306.942235173392
759679200	27	306.23953934118
759682800	27	306.041536341919
759686400	27	305.886245935507
759690000	27	305.966021443872
759693600	27	308.352273393133
759697200	27	308.394220497276
759700800	27	308.74038769792
759704400	27	309.3255574037
759708000	27	309.871628876177
759711600	27	310.371832978267
759715200	28	310.384017270854
759718800	28	310.460845698505
759722400	28	310.471127470216
759726000	28	310.373381741934
759729600	28	310.081443707961
759733200	28	309.742328859987
759736800	28	301.244169627139
759740400	28	300.154058407334
759744000	28	299.658518444398
759747600	28	299.841020801453
759751200	28	300.635495492676
759754800	28	301.633656552857
759758400	28	308.225203214768
759762000	28	308.829411872925
759765600	28	309.009197421015
759769200	28	309.294996824274
759772800	28	309.241739783133
759776400	28	309.024069083245
759780000	28	308.214155245422
759783600	28	308.242626207876
759787200	28	311.384275510579
759790800	28	315.917189662916
759794400	28	317.890725122561
759798000	28	318.77118980521
759801600	29	309.223528644946
759805200	29	310.288886917213
759808800	29	309.147791223707
759812400	29	308.175845896574
759816000	29	307.607423770936
759819600	29	307.46991024102
759823200	29	310.146296722586
759826800	29	309.045979646509
759830400	29	308.766326521984
759834000	29	308.238365298595
759837600	29	307.742385784468
759841200	29	308.926786559751
759844800	29	350.573773125777
759848400	29	350.624298490999
759852000	29	354.171986975523
759855600	29	360.119013221848
759859200	29	364.278135759971
759862800	29	366.721748264404
759866400	29	369.772465686938
759870000	29	369.719373738413
759873600	29	360.9997368813
759877200	29	353.327433481477
759880800	29	344.574985770039
759884400	29	338.728707897863
759888000	30	309.417644420389
759891600	30	310.331458057781
759895200	30	309.901660185513
759898800	30	309.512387151964
759902400	30	309.325074362708
759906000	30	309.268864422944
759909600	30	314.335148763116
759913200	30	313.741896686386
759916800	30	314.602064156998
759920400	30	315.079352038683
759924000	30	315.14942802123
759927600	30	315.679575920129
759931200	30	323.759998665153
759934800	30	323.881373984739
759938400	30	329.554026433463
759942000	30	345.685080267954
759945600	30	355.380369267688
759949200	30	361.389200094522
759952800	30	328.53960070274
759956400	30	328.393151825084
759960000	30	318.618785894576
759963600	30	312.647135481087
759967200	30	308.364005703842
759970800	30	304.810436732497
759974400	31	290.55354017382
759978000	31	290.651094063039
759981600	31	291.87652574795
759985200	31	293.289890985485
759988800	31	294.842203898978
759992400	31	296.360292028065
759996000	31	309.828871059883
759999600	31	309.470570966992
760003200	31	310.465332578893
760006800	31	311.480694625878
760010400	31	312.280922086895
760014000	31	313.10218864343
760017600	31	316.627750050006
760021200	31	316.37172489813
760024800	31	315.409750111232
760028400	31	314.999507950424
760032000	31	314.702432410555
760035600	31	314.680032226452
760039200	31	318.157930841733
760042800	31	318.309208671608
760046400	31	320.225746118925
760050000	31	325.940545936791
760053600	31	338.260291827834
760060800	32	357.306305311686
760064400	32	358.572723610111
760068000	32	349.383622588042
760071600	32	349.659405896828
760075200	32	345.940510479652
760078800	32	343.195928361669
760082400	32	328.535727200649
760086000	32	327.980852806827
760089600	32	331.498917943364
760093200	32	334.977321419851
760096800	32	335.137360347883
760100400	32	331.609512035464
760104000	32	317.009061320931
760107600	32	316.831999029035
760111200	32	316.758615241754
760114800	32	316.503270699761
760118400	32	316.210212064079
760122000	32	315.971747701911
760125600	32	323.855786149573
760129200	32	324.004907154601
760132800	32	334.365506571906
760136400	32	347.574029044907
760140000	32	355.330722553176
760143600	32	360.154667401322
760147200	33	358.245184672881
760150800	33	358.320911059088
760154400	33	364.753236565174
760158000	33	368.865271430622
760161600	33	371.780180539649
760165200	33	373.12833545253
760168800	33	380.358568423348
760172400	33	380.220335766522
760176000	33	380.170803009571
760179600	33	379.568544775175
760183200	33	376.264558761811
760186800	33	371.367632737935
760190400	33	317.156113682308
760194000	33	317.176229343799
760197600	33	326.06300460541
760201200	33	332.696865320902
760204800	33	337.276644582065
760208400	33	341.471224257292
760212000	33	378.376155183181
760215600	33	377.966781848732
760219200	33	378.025893724072
760222800	33	377.987087593904
760226400	33	375.6347907698
760230000	33	370.409794281741
760233600	34	376.983933330526
760237200	34	376.324903321975
760240800	34	377.045124907958
760244400	34	376.747355227703
760248000	34	376.426415396353
760251600	34	376.131582467774
760255200	34	371.728417333391
760258800	34	371.393669790024
760262400	34	370.251878349856
760266000	34	370.150895149342
760269600	34	369.893318317063
760273200	34	369.574183207463
760276800	34	368.249388217216
760280400	34	367.930295048379
760284000	34	368.227229945177
760287600	34	368.43431666793
760291200	34	368.528333234584
760294800	34	368.565506859331
760298400	34	369.087270763776
760302000	34	369.474771469484
760305600	34	370.429954066682
760309200	34	371.031393642884
760312800	34	371.473908612519
760316400	34	371.922536062266
760320000	35	375.182879212175
760323600	35	375.515211228677
760327200	35	372.317484125848
760330800	35	370.762530904998
760334400	35	369.305674745
760338000	35	364.243726358433
760341600	35	311.272089144153
760345200	35	310.984914717856
760348800	35	309.903363611905
760352400	35	309.242817309865
760356000	35	308.510496174733
760359600	35	307.757937894146
760363200	35	301.83186900128
760366800	35	300.765595129312
760370400	35	299.094902289239
760374000	35	297.815949099387
760377600	35	297.593728302448
760381200	35	297.797318051645
760384800	35	302.095192174711
760388400	35	301.828236361165
760392000	35	301.304989468071
760395600	35	300.734471883417
760399200	35	301.166349348596
760402800	35	301.856592558155
760406400	36	307.357688462726
760410000	36	308.332072001843
760413600	36	308.390705833317
760417200	36	308.830451210432
760420800	36	309.071187787216
760424400	36	309.505613026429
760428000	36	309.098110281989
760431600	36	308.391744401816
760435200	36	307.442005177158
760438800	36	308.138755626874
760442400	36	308.699167963154
760446000	36	309.352648213827
760449600	36	316.470041037318
760453200	36	316.084835771451
760456800	36	315.620597345368
760460400	36	315.49932026656
760464000	36	315.494818205419
760467600	36	315.915730468354
760471200	36	319.479362763904
760474800	36	319.735273214925
760478400	36	322.376108495618
760482000	36	322.460474244556
760485600	36	321.614351375398
760489200	36	321.062345780381
760492800	37	330.152516443711
760496400	37	329.623304463994
760500000	37	337.200054008485
760503600	37	339.13575750736
760507200	37	340.217876172269
760510800	37	341.267882050422
760514400	37	360.935003950808
760518000	37	360.808834395663
760521600	37	353.365983215981
760525200	37	339.577104336049
760528800	37	332.570790393593
760532400	37	328.318519408993
760536000	37	308.074240648587
760539600	37	307.810399495976
760543200	37	306.112465890901
760546800	37	304.778673590958
760550400	37	303.960459089013
760554000	37	303.544332326889
760557600	37	303.099987292694
760561200	37	303.301255932764
760564800	37	303.625019715876
760568400	37	304.332721232647
760572000	37	305.325084582084
760575600	37	306.341051164937
760579200	38	314.514425818668
760582800	38	315.050403146209
760586400	38	314.84551499107
760590000	38	314.909771132219
760593600	38	315.932670758533
760597200	38	317.69471016492
760600800	38	369.605766856885
760604400	38	368.349601141873
760608000	38	369.329943087204
760611600	38	369.881518021865
760615200	38	370.169689950972
760618800	38	370.319534366473
760622400	38	327.498567103565
760626000	38	327.115877080957
760629600	38	325.132018641022
760633200	38	324.837515394077
760636800	38	324.546118613293
760640400	38	324.530892502735
760644000	38	333.212835633006
760647600	38	332.87495534416
760651200	38	334.911796992579
760654800	38	346.542740674458
760658400	38	356.471123014537
760662000	38	362.800929854112
760665600	39	385.524105987089
760669200	39	385.770630618204
760672800	39	384.65831488873
760676400	39	383.5894011798
760680000	39	382.476276397235
760683600	39	380.603201980841
760687200	39	374.390028380755
760690800	39	374.247221478707
760694400	39	376.475134730512
760698000	39	377.691041762836
760701600	39	378.213745518339
760705200	39	378.408191632652
760708800	39	367.991299890017
760712400	39	367.823339966577
760716000	39	369.697908009402
760719600	39	371.253814934544
760723200	39	371.618648214309
760726800	39	372.29089758087
760730400	39	378.395824347731
760734000	39	378.658427769081
760737600	39	382.810037580878
760741200	39	384.931855548441
760744800	39	385.900483008052
760748400	39	386.532800491308
760752000	40	389.341140051885
760755600	40	389.486893638321
760759200	40	389.614467088969
760762800	40	389.79853265871
760766400	40	389.519876461606
760770000	40	389.220139403351
760773600	40	382.837671624511
760777200	40	382.677190001799
760780800	40	378.671656163165
760784400	40	364.41194863002
760788000	40	356.180951757087
760791600	40	350.964049212261
760795200	40	335.324503619677
760798800	40	334.640038952161
760802400	40	335.577449754966
760806000	40	336.137388264877
760809600	40	335.381406114425
760813200	40	333.662952268334
760816800	40	325.842091948194
760820400	40	325.653416171492
760824000	40	325.931388649432
760827600	40	326.407285556326
760831200	40	327.263165708387
760834800	40	328.236480807209
760838400	41	332.573199489401
760842000	41	332.822140179746
760845600	41	332.468728255917
760849200	41	332.742199655615
760852800	41	332.865730885574
760856400	41	332.948525822961
760860000	41	330.887979119651
760863600	41	329.701893114692
760867200	41	328.820165485774
760870800	41	328.059858167047
760874400	41	327.472209109579
760878000	41	326.97640938082
760881600	41	325.157952864648
760885200	41	324.753388595979
760888800	41	324.631729542312
760892400	41	325.487831230483
760896000	41	326.320518750182
760899600	41	327.029208186699
760903200	41	337.22503472413
760906800	41	336.815948499777
760910400	41	338.542077927443
760914000	41	336.942367341847
760917600	41	334.044617719616
760921200	41	332.239606997746
760924800	42	326.512888874575
760928400	42	327.394920414722
760932000	42	327.400657416916
760935600	42	327.577721384414
760939200	42	327.818963902058
760942800	42	328.017518566026
760946400	42	322.716028610439
760950000	42	322.221882583426
760953600	42	322.28340915957
760957200	42	322.274196733956
760960800	42	322.443858864182
760964400	42	322.707927724918
760968000	42	329.045686858763
760971600	42	328.714106141117
760975200	42	328.72565036552
760978800	42	328.495904640379
760982400	42	328.141603347453
760986000	42	327.759406934873
760989600	42	330.126798798165
760993200	42	329.547640483118
760996800	42	330.374983581501
761000400	42	331.131954327847
761004000	42	330.995175246857
761007600	42	331.092170669909
761011200	43	330.984591752563
761014800	43	331.553278470008
761018400	43	331.367498162379
761022000	43	331.394229981248
761025600	43	330.782165216911
761029200	43	329.944938793109
761032800	43	325.030581335229
761036400	43	324.066967988076
761040000	43	323.412365721637
761043600	43	322.682554626982
761047200	43	321.784151070672
761050800	43	320.929478119261
761054400	43	320.224126922855
761058000	43	320.011813514591
761061600	43	319.854105746786
761065200	43	320.120617802562
761068800	43	319.89596175237
761072400	43	319.426657096374
761076000	43	322.247065511342
761079600	43	322.483295693672
761083200	43	323.515276735727
761086800	43	324.767738710712
761090400	43	326.094015198972
761094000	43	327.840117927983
761097600	44	334.84068695905
761101200	44	335.852109494328
761104800	44	336.121225548261
761108400	44	336.505884282186
761112000	44	339.339369105584
761115600	44	342.748642984419
761119200	44	382.664741483972
761122800	44	381.71007112541
761126400	44	376.998525795415
761130000	44	371.300300306292
761133600	44	367.093781335075
761137200	44	363.547612021954
761140800	44	348.331321105916
761144400	44	348.347856157611
761148000	44	347.96509760869
761151600	44	347.482894324038
761155200	44	347.727277061441
761158800	44	348.788809454599
761162400	44	373.118019154559
761166000	44	373.048909292344
761169600	44	379.074231244937
761173200	44	383.242524942879
761176800	44	384.626615636819
761180400	44	385.539244667345
761184000	45	382.234859984412
761187600	45	383.078865211264
761191200	45	369.962503198511
761194800	45	362.157491195862
761198400	45	358.149566437105
761202000	45	356.908802234261
