Unix	jday	Precipitation_rate
757382400	1	0.000585164021040518
757386000	1	0.000486379632366591
757389600	1	0.000433808659792843
757393200	1	0.000442552077837663
757396800	1	0.000428646013286422
757400400	1	0.000415327380840093
757404000	1	0.000246901404566217
757407600	1	0.000219394543501479
757411200	1	0.000233478270334233
757414800	1	0.000202420609016729
757418400	1	0.000187197205867616
757422000	1	0.000190554772658009
757425600	1	5.50307802151372e-05
757429200	1	0.000138355001764814
757432800	1	0.000185347170057289
757436400	1	0.000228629922783986
757440000	1	0.000283919135021635
757443600	1	0.000344091061661918
757447200	1	0.000467079081597481
757450800	1	0.000478705898279316
757454400	1	0.000460417008538333
757458000	1	0.000455325303752095
757461600	1	0.000439798620156262
757465200	1	0.000417021185538143
757468800	2	0.000198555210720256
757472400	2	0.000196769804711852
757476000	2	0.000173808136297359
757479600	2	0.000156157996178629
757483200	2	0.000144036333312425
757486800	2	0.000143432122483748
757490400	2	0.000196073548214399
757494000	2	0.000197691592527321
757497600	2	0.00018703689750736
757501200	2	0.000176072083162098
757504800	2	0.000166939483407223
757508400	2	0.000158056126794248
757512000	2	1.17196901150194e-05
757515600	2	8.47334561482471e-05
757519200	2	9.50034672745358e-05
757522800	2	9.56043558549388e-05
757526400	2	0.000100379080130848
757530000	2	0.000103449326388032
757533600	2	9.51670858129002e-05
757537200	2	0.000105861505762422
757540800	2	9.6153530520009e-05
757544400	2	8.81297168311834e-05
757548000	2	8.00053482860506e-05
757551600	2	7.15281414430726e-05
757555200	3	5.65025714373034e-05
757558800	3	9.22252027329189e-05
757562400	3	0.000133616333112956
757566000	3	0.000165381256784088
757569600	3	0.000169971918473174
757573200	3	0.000194988633528995
757576800	3	0.000114406478510735
757580400	3	0.000121809009599049
757584000	3	0.000146803179356691
757587600	3	0.000174356795536878
757591200	3	0.000193016254075897
757594800	3	0.000241423824863872
757598400	3	0.000536325407067305
757602000	3	0.000669067954442355
757605600	3	0.000667133609500001
757609200	3	0.000634629629020111
757612800	3	0.000619925007870332
757616400	3	0.000626458431382364
757620000	3	0.000804218713865324
757623600	3	0.000940902591180783
757627200	3	0.00101423182672729
757630800	3	0.00113576963564723
757634400	3	0.00148169911532784
757638000	3	0.0018144396266227
757641600	4	0.00186326310899181
757645200	4	0.00210422702737533
757648800	4	0.00185093194123194
757652400	4	0.00173490278174612
757656000	4	0.00175790211135732
757659600	4	0.00178279842369745
757663200	4	0.00116029513748293
757666800	4	0.000966400742518536
757670400	4	0.000924964294632096
757674000	4	0.000883138734395748
757677600	4	0.00106541672469033
757681200	4	0.00160208722900876
757684800	4	0.00152591824915679
757688400	4	0.0014734685638177
757692000	4	0.000972125157257569
757695600	4	0.000732691961432246
757699200	4	0.000610931133090548
757702800	4	0.000536749289830879
757706400	4	0.000393467282774948
757710000	4	0.000353953013140851
757713600	4	0.000388574081181131
757717200	4	0.000381234228210045
757720800	4	0.000354133758750574
757724400	4	0.000317068682262259
757728000	5	0
757731600	5	0
757735200	5	0
757738800	5	0
757742400	5	0
757746000	5	0
757749600	5	0
757753200	5	0
757756800	5	5.71908525188836e-07
757760400	5	1.87545773165056e-06
757764000	5	2.44736627136069e-06
757767600	5	2.71572558230271e-06
757771200	5	4.55258423650346e-07
757774800	5	1.86899082199403e-07
757778400	5	1.86899082199403e-07
757782000	5	1.86899082199403e-07
757785600	5	1.86899082199403e-07
757789200	5	1.86899082199403e-07
757792800	5	0
757796400	5	0
757800000	5	0
757803600	5	0
757807200	5	0
757810800	5	0
757814400	6	0
757818000	6	0
757821600	6	0
757825200	6	0
757828800	6	0
757832400	6	0
757836000	6	0
757839600	6	0
757843200	6	0
757846800	6	0
757850400	6	0
757854000	6	0
757857600	6	3.49819600702483e-07
757861200	6	3.05752231733077e-06
757864800	6	1.13594660554587e-05
757868400	6	8.97998055061408e-05
757872000	6	0.000209278763677155
757875600	6	0.000322733817196779
757879200	6	0.000771951547762492
757882800	6	0.000800760267680615
757886400	6	0.000764858739645146
757890000	6	0.000741074638129901
757893600	6	0.000684650109939317
757897200	6	0.00064497116641928
757900800	7	0.000426277000231015
757904400	7	0.000338732534042722
757908000	7	0.000318620895661729
757911600	7	0.000281480617764639
757915200	7	0.000245586283575538
757918800	7	0.000221870342557399
757922400	7	6.62632307940212e-05
757926000	7	8.96885124736173e-05
757929600	7	7.80150927913435e-05
757933200	7	7.07598453911306e-05
757936800	7	6.7480444958943e-05
757940400	7	7.18091332523553e-05
757944000	7	0.000307260987755503
757947600	7	0.000391890337480075
757951200	7	0.00037971680104657
757954800	7	0.0002954851260393
757958400	7	0.000229902568785164
757962000	7	0.000184735738989647
757965600	7	0
757969200	7	1.90245341694197e-06
757972800	7	3.10845586760658e-06
757976400	7	3.10845586760658e-06
757980000	7	1.314986098635e-05
757983600	7	2.16449281314946e-05
757987200	8	3.07499338851729e-06
757990800	8	2.75374049041804e-05
757994400	8	3.40115552357117e-05
757998000	8	4.73018588575665e-05
758001600	8	4.44296801788878e-05
758005200	8	3.67254680818738e-05
758008800	8	0
758012400	8	1.52865525254316e-06
758016000	8	3.24420958728573e-06
758019600	8	3.24420958728573e-06
758023200	8	2.73465768195981e-06
758026800	8	2.03820692615178e-06
758030400	8	0
758034000	8	9.34495389749051e-07
758037600	8	1.76669979187351e-06
758041200	8	4.44706436098166e-06
758044800	8	6.16261867447626e-06
758048400	8	6.08115841522472e-06
758052000	8	7.28906397204911e-06
758055600	8	4.05160242281067e-05
758059200	8	5.58044783803818e-05
758062800	8	0.000103961880488403
758066400	8	0.000118618901931214
758070000	8	9.72492911709356e-05
758073600	9	6.99797061646278e-06
758077200	9	1.38601875344944e-05
758080800	9	1.19577345384911e-05
758084400	9	9.73262878310516e-06
758088000	9	2.68356054540076e-05
758091600	9	0.000110496644310972
758095200	9	0.000994879611168117
758098800	9	0.00176636767248556
758102400	9	0.00200169054139289
758106000	9	0.00191832997754699
758109600	9	0.00209812811639908
758113200	9	0.00222335597971609
758116800	9	0.000258923960158553
758120400	9	0.000145872469160888
758124000	9	8.05066329617806e-05
758127600	9	5.4293508345872e-05
758131200	9	4.16949255031232e-05
758134800	9	3.43252540291833e-05
758138400	9	5.09551731537946e-07
758142000	9	2.01986251161831e-05
758145600	9	1.38769320834335e-05
758149200	9	1.25845950388872e-05
758152800	9	1.12218772739022e-05
758156400	9	1.21706003801178e-05
758160000	10	0
758163600	10	0
758167200	10	0
758170800	10	0
758174400	10	0
758178000	10	0
758181600	10	0
758185200	10	0
758188800	10	0
758192400	10	0
758196000	10	0
758199600	10	0
758203200	10	0
758206800	10	0
758210400	10	0
758214000	10	0
758217600	10	0
758221200	10	0
758224800	10	0
758228400	10	0
758232000	10	0
758235600	10	0
758239200	10	0
758242800	10	0
758246400	11	0
758250000	11	0
758253600	11	0
758257200	11	0
758260800	11	0
758264400	11	0
758268000	11	0
758271600	11	0
758275200	11	0
758278800	11	0
758282400	11	0
758286000	11	0
758289600	11	0
758293200	11	0
758296800	11	0
758300400	11	0
758304000	11	0
758307600	11	0
758311200	11	0
758314800	11	0
758318400	11	0
758322000	11	0
758325600	11	0
758329200	11	0
758332800	12	0
758336400	12	0
758340000	12	0
758343600	12	0
758347200	12	0
758350800	12	0
758354400	12	0
758358000	12	0
758361600	12	0
758365200	12	0
758368800	12	0
758372400	12	0
758376000	12	0
758379600	12	0
758383200	12	0
758386800	12	0
758390400	12	0
758394000	12	0
758397600	12	0
758401200	12	0
758404800	12	0
758408400	12	0
758412000	12	0
758415600	12	0
758419200	13	0
758422800	13	0
758426400	13	0
758430000	13	0
758433600	13	0
758437200	13	0
758440800	13	0
758444400	13	0
758448000	13	0
758451600	13	0
758455200	13	0
758458800	13	0
758462400	13	0
758466000	13	0
758469600	13	0
758473200	13	0
758476800	13	0
758480400	13	0
758484000	13	0
758487600	13	0
758491200	13	0
758494800	13	0
758498400	13	0
758502000	13	0
758505600	14	0
758509200	14	0
758512800	14	0
758516400	14	0
758520000	14	0
758523600	14	0
758527200	14	0
758530800	14	0
758534400	14	0
758538000	14	0
758541600	14	0
758545200	14	0
758548800	14	0
758552400	14	0
758556000	14	0
758559600	14	0
758563200	14	0
758566800	14	0
758570400	14	0
758574000	14	0
758577600	14	2.44404718250614e-06
758581200	14	6.50942104389744e-06
758584800	14	1.05523727029541e-05
758588400	14	5.43641272328035e-05
758592000	15	0.000910160189363724
758595600	15	0.00161108117969329
758599200	15	0.00143587080082286
758602800	15	0.00109983491820292
758606400	15	0.000825481688775023
758610000	15	0.000660308357126811
758613600	15	0
758617200	15	0
758620800	15	0
758624400	15	0
758628000	15	0
758631600	15	0
758635200	15	0
758638800	15	0
758642400	15	0
758646000	15	0
758649600	15	0
758653200	15	8.14602592515397e-08
758656800	15	1.0829619432273e-06
758660400	15	1.10738968631947e-05
758664000	15	2.0981477893342e-05
758667600	15	3.67853969417519e-05
758671200	15	3.91450563760664e-05
758674800	15	3.54629653368295e-05
758678400	16	1.62920518503079e-07
758682000	16	0
758685600	16	0
758689200	16	0
758692800	16	0
758696400	16	0
758700000	16	0
758703600	16	0
758707200	16	0
758710800	16	0
758714400	16	0
758718000	16	0
758721600	16	0
758725200	16	0
758728800	16	0
758732400	16	0
758736000	16	0
758739600	16	0
758743200	16	0
758746800	16	0
758750400	16	0
758754000	16	0
758757600	16	0
758761200	16	0
758764800	17	0
758768400	17	0
758772000	17	0
758775600	17	0
758779200	17	0
758782800	17	0
758786400	17	0
758790000	17	0
758793600	17	0
758797200	17	0
758800800	17	0
758804400	17	0
758808000	17	0
758811600	17	0
758815200	17	0
758818800	17	3.73798164398807e-07
758822400	17	5.60697267846176e-07
758826000	17	9.34495389749051e-07
758829600	17	1.13749619618441e-05
758833200	17	2.78936507139633e-05
758836800	17	7.20096342137836e-05
758840400	17	0.000115953863653173
758844000	17	0.000132573643464765
758847600	17	0.000166648116923744
758851200	18	0.000317152528787096
758854800	18	0.000431459541768896
758858400	18	0.000537757601053685
758862000	18	0.000687262787455812
758865600	18	0.000791652146038217
758869200	18	0.000896334674126207
758872800	18	0.00144310617632258
758876400	18	0.0021350966991296
758880000	18	0.00196715289893207
758883600	18	0.00173772519002423
758887200	18	0.00156904777432334
758890800	18	0.00146276990853125
758894400	18	0.000531022948764682
758898000	18	0.00047122945766597
758901600	18	0.000436160524838356
758905200	18	0.000370706257776418
758908800	18	0.000303029614668412
758912400	18	0.000254988704192412
758916000	18	2.31644714245847e-06
758919600	18	4.44599520271755e-06
758923200	18	9.63550085139815e-06
758926800	18	3.82964549545882e-05
758930400	18	0.000201054314833131
758934000	18	0.000539487648451617
758937600	19	0.00160190580124306
758941200	19	0.00218656562457164
758944800	19	0.00156919461803621
758948400	19	0.00126257115307958
758952000	19	0.00105734611601132
758955600	19	0.000911428256229635
758959200	19	0.000184414667153315
