Unix	jday	rh
1041379200	1	62
1041382800	1	59
1041386400	1	57
1041390000	1	57
1041393600	1	59
1041397200	1	62
1041400800	1	69
1041404400	1	74
1041408000	1	86
1041411600	1	87
1041415200	1	87
1041418800	1	86
1041422400	1	85
1041426000	1	84
1041429600	1	83
1041433200	1	82
1041436800	1	81
1041440400	1	80
1041444000	1	74
1041447600	1	67
1041451200	1	61
1041454800	1	58
1041458400	1	55
1041462000	1	53
1041465600	2	57
1041469200	2	56
1041472800	2	59
1041476400	2	61
1041480000	2	61
1041483600	2	63
1041487200	2	68
1041490800	2	73
1041494400	2	80
1041498000	2	84
1041501600	2	84
1041505200	2	84
1041508800	2	84
1041512400	2	83
1041516000	2	82
1041519600	2	81
1041523200	2	81
1041526800	2	82
1041530400	2	82
1041534000	2	66
1041537600	2	59
1041541200	2	56
1041544800	2	54
1041548400	2	52
1041552000	3	51
1041555600	3	51
1041559200	3	51
1041562800	3	51
1041566400	3	53
1041570000	3	56
1041573600	3	60
1041577200	3	67
1041580800	3	74
1041584400	3	76
1041588000	3	78
1041591600	3	80
1041595200	3	80
1041598800	3	79
1041602400	3	78
1041606000	3	78
1041609600	3	78
1041613200	3	78
1041616800	3	77
1041620400	3	62
1041624000	3	57
1041627600	3	56
1041631200	3	56
1041634800	3	57
1041638400	4	59
1041642000	4	59
1041645600	4	64
1041649200	4	66
1041652800	4	71
1041656400	4	76
1041660000	4	83
1041663600	4	87
1041667200	4	90
1041670800	4	91
1041674400	4	92
1041678000	4	93
1041681600	4	94
1041685200	4	95
1041688800	4	97
1041692400	4	98
1041696000	4	97
1041699600	4	97
1041703200	4	96
1041706800	4	96
1041710400	4	95
1041714000	4	94
1041717600	4	93
1041721200	4	93
1041724800	5	91
1041728400	5	82
1041732000	5	73
1041735600	5	70
1041739200	5	69
1041742800	5	69
1041746400	5	71
1041750000	5	77
1041753600	5	84
1041757200	5	85
1041760800	5	84
1041764400	5	83
1041768000	5	82
1041771600	5	83
1041775200	5	82
1041778800	5	80
1041782400	5	81
1041786000	5	80
1041789600	5	77
1041793200	5	73
1041796800	5	70
1041800400	5	69
1041804000	5	68
1041807600	5	67
1041811200	6	67
1041814800	6	65
1041818400	6	64
1041822000	6	66
1041825600	6	68
1041829200	6	71
1041832800	6	76
1041836400	6	80
1041840000	6	86
1041843600	6	89
1041847200	6	89
1041850800	6	90
1041854400	6	92
1041858000	6	93
1041861600	6	94
1041865200	6	95
1041868800	6	96
1041872400	6	97
1041876000	6	97
1041879600	6	96
1041883200	6	93
1041886800	6	88
1041890400	6	76
1041894000	6	66
1041897600	7	59
1041901200	7	56
1041904800	7	54
1041908400	7	54
1041912000	7	57
1041915600	7	61
1041919200	7	67
1041922800	7	75
1041926400	7	83
1041930000	7	87
1041933600	7	88
1041937200	7	91
1041940800	7	92
1041944400	7	94
1041948000	7	95
1041951600	7	94
1041955200	7	90
1041958800	7	87
1041962400	7	81
1041966000	7	75
1041969600	7	68
1041973200	7	63
1041976800	7	60
1041980400	7	58
1041984000	8	58
1041987600	8	57
1041991200	8	59
1041994800	8	61
1041998400	8	66
1042002000	8	70
1042005600	8	75
1042009200	8	79
1042012800	8	81
1042016400	8	82
1042020000	8	84
1042023600	8	88
1042027200	8	89
1042030800	8	89
1042034400	8	87
1042038000	8	86
1042041600	8	83
1042045200	8	79
1042048800	8	74
1042052400	8	67
1042056000	8	61
1042059600	8	59
1042063200	8	59
1042066800	8	58
1042070400	9	60
1042074000	9	59
1042077600	9	68
1042081200	9	84
1042084800	9	82
1042088400	9	71
1042092000	9	69
1042095600	9	76
1042099200	9	78
1042102800	9	80
1042106400	9	82
1042110000	9	83
1042113600	9	86
1042117200	9	86
1042120800	9	89
1042124400	9	90
1042128000	9	90
1042131600	9	90
1042135200	9	90
1042138800	9	88
1042142400	9	83
1042146000	9	72
1042149600	9	64
1042153200	9	60
1042156800	10	59
1042160400	10	58
1042164000	10	62
1042167600	10	63
1042171200	10	63
1042174800	10	67
1042178400	10	74
1042182000	10	82
1042185600	10	89
1042189200	10	90
1042192800	10	89
1042196400	10	89
1042200000	10	90
1042203600	10	91
1042207200	10	92
1042210800	10	93
1042214400	10	92
1042218000	10	92
1042221600	10	93
1042225200	10	91
1042228800	10	87
1042232400	10	78
1042236000	10	78
1042239600	10	80
1042243200	11	83
1042246800	11	85
1042250400	11	84
1042254000	11	82
1042257600	11	79
1042261200	11	79
1042264800	11	81
1042268400	11	84
1042272000	11	92
1042275600	11	92
1042279200	11	92
1042282800	11	92
1042286400	11	89
1042290000	11	88
1042293600	11	88
1042297200	11	88
1042300800	11	89
1042304400	11	89
1042308000	11	90
1042311600	11	89
1042315200	11	89
1042318800	11	88
1042322400	11	87
1042326000	11	87
1042329600	12	86
1042333200	12	89
1042336800	12	91
1042340400	12	91
1042344000	12	93
1042347600	12	93
1042351200	12	93
1042354800	12	93
1042358400	12	93
1042362000	12	93
1042365600	12	93
1042369200	12	92
1042372800	12	92
1042376400	12	91
1042380000	12	90
1042383600	12	89
1042387200	12	87
1042390800	12	85
1042394400	12	83
1042398000	12	80
1042401600	12	74
1042405200	12	65
1042408800	12	58
1042412400	12	52
1042416000	13	49
1042419600	13	49
1042423200	13	48
1042426800	13	49
1042430400	13	50
1042434000	13	52
1042437600	13	58
1042441200	13	61
1042444800	13	64
1042448400	13	68
1042452000	13	72
1042455600	13	74
1042459200	13	76
1042462800	13	77
1042466400	13	75
1042470000	13	73
1042473600	13	71
1042477200	13	70
1042480800	13	68
1042484400	13	62
1042488000	13	57
1042491600	13	53
1042495200	13	50
1042498800	13	47
1042502400	14	45
1042506000	14	46
1042509600	14	47
1042513200	14	48
1042516800	14	49
1042520400	14	51
1042524000	14	54
1042527600	14	56
1042531200	14	62
1042534800	14	68
1042538400	14	75
1042542000	14	82
1042545600	14	87
1042549200	14	89
1042552800	14	90
1042556400	14	92
1042560000	14	93
1042563600	14	94
1042567200	14	88
1042570800	14	76
1042574400	14	64
1042578000	14	50
1042581600	14	38
1042585200	14	35
1042588800	15	36
1042592400	15	39
1042596000	15	42
1042599600	15	47
1042603200	15	52
1042606800	15	58
1042610400	15	64
1042614000	15	71
1042617600	15	78
1042621200	15	82
1042624800	15	84
1042628400	15	86
1042632000	15	86
1042635600	15	87
1042639200	15	87
1042642800	15	87
1042646400	15	85
1042650000	15	84
1042653600	15	83
1042657200	15	74
1042660800	15	68
1042664400	15	65
1042668000	15	63
1042671600	15	61
1042675200	16	61
1042678800	16	60
1042682400	16	59
1042686000	16	59
1042689600	16	61
1042693200	16	63
1042696800	16	67
1042700400	16	72
1042704000	16	79
1042707600	16	85
1042711200	16	89
1042714800	16	90
1042718400	16	91
1042722000	16	91
1042725600	16	90
1042729200	16	91
1042732800	16	90
1042736400	16	89
1042740000	16	88
1042743600	16	87
1042747200	16	86
1042750800	16	84
1042754400	16	83
1042758000	16	80
1042761600	17	70
1042765200	17	67
1042768800	17	66
1042772400	17	66
1042776000	17	66
1042779600	17	68
1042783200	17	70
1042786800	17	75
1042790400	17	83
1042794000	17	89
1042797600	17	89
1042801200	17	90
1042804800	17	89
1042808400	17	88
1042812000	17	88
1042815600	17	88
1042819200	17	88
1042822800	17	89
1042826400	17	88
1042830000	17	84
1042833600	17	77
1042837200	17	67
1042840800	17	61
1042844400	17	58
1042848000	18	58
1042851600	18	56
1042855200	18	57
1042858800	18	59
1042862400	18	61
1042866000	18	64
1042869600	18	67
1042873200	18	72
1042876800	18	81
1042880400	18	87
1042884000	18	87
1042887600	18	88
1042891200	18	89
1042894800	18	89
1042898400	18	88
1042902000	18	88
1042905600	18	88
1042909200	18	89
1042912800	18	88
1042916400	18	86
1042920000	18	79
1042923600	18	73
1042927200	18	75
1042930800	18	78
1042934400	19	81
1042938000	19	84
1042941600	19	88
1042945200	19	90
1042948800	19	91
1042952400	19	92
1042956000	19	93
1042959600	19	93
1042963200	19	94
1042966800	19	93
1042970400	19	93
1042974000	19	93
1042977600	19	94
1042981200	19	95
1042984800	19	95
1042988400	19	95
1042992000	19	92
1042995600	19	89
1042999200	19	85
1043002800	19	80
1043006400	19	71
1043010000	19	63
1043013600	19	61
1043017200	19	60
1043020800	20	61
1043024400	20	59
1043028000	20	59
1043031600	20	59
1043035200	20	62
1043038800	20	64
1043042400	20	69
1043046000	20	73
1043049600	20	80
1043053200	20	83
1043056800	20	85
1043060400	20	87
1043064000	20	88
1043067600	20	89
1043071200	20	89
1043074800	20	89
1043078400	20	87
1043082000	20	86
1043085600	20	85
1043089200	20	82
1043092800	20	75
1043096400	20	69
1043100000	20	68
1043103600	20	68
1043107200	21	68
1043110800	21	65
1043114400	21	64
1043118000	21	65
1043121600	21	67
1043125200	21	70
1043128800	21	73
1043132400	21	76
1043136000	21	87
1043139600	21	87
1043143200	21	87
1043146800	21	87
1043150400	21	87
1043154000	21	88
1043157600	21	89
1043161200	21	91
1043164800	21	93
1043168400	21	95
1043172000	21	97
