Unix	jday	V.component_of_wind
1041379200	1	-0.102169659074453
1041382800	1	0.662282414842165
1041386400	1	1.28476515386806
1041390000	1	1.88403636335192
1041393600	1	2.06801662118318
1041397200	1	2.14905505332823
1041400800	1	0.648036529715451
1041404400	1	0.725400007735021
1041408000	1	1.08064844599451
1041411600	1	1.77243798644571
1041415200	1	1.9421137154221
1041418800	1	1.83229435968116
1041422400	1	1.59528650554395
1041426000	1	1.04115459366204
1041429600	1	0.823110859270745
1041433200	1	0.938610038406807
1041436800	1	1.40367377124792
1041440400	1	1.74326512752676
1041444000	1	3.11598151553367
1041447600	1	3.03623674972962
1041451200	1	2.56357346073236
1041454800	1	2.08511062932499
1041458400	1	1.66567524513424
1041462000	1	1.14388972306186
1041465600	2	-0.977576652835267
1041469200	2	-0.510589877183876
1041472800	2	0.0115478953760709
1041476400	2	0.607014544707144
1041480000	2	0.855083610806161
1041483600	2	1.1199722661492
1041487200	2	-0.136264321731653
1041490800	2	1.10445731553061
1041494400	2	1.59225140087166
1041498000	2	1.46725440304132
1041501600	2	1.01761082545333
1041505200	2	0.724940387015142
1041508800	2	0.285145803164492
1041512400	2	0.249808769613902
1041516000	2	0.333715249906127
1041519600	2	0.362595281276246
1041523200	2	0.569919866249847
1041526800	2	0.885839941063748
1041530400	2	1.8691303761336
1041534000	2	1.31621289363338
1041537600	2	0.80860816937045
1041541200	2	0.618306136252857
1041544800	2	0.561300790832434
1041548400	2	0.550534659240482
1041552000	3	-0.769391072690214
1041555600	3	-0.512815341592565
1041559200	3	-0.481934791208543
1041562800	3	-0.574942413071657
1041566400	3	-0.0644121056714699
1041570000	3	0.507982507628149
1041573600	3	0.582753441693762
1041577200	3	1.59072418927969
1041580800	3	2.19607703430571
1041584400	3	2.70125265725024
1041588000	3	2.20038234848481
1041591600	3	1.53585469131595
1041595200	3	0.692395508908484
1041598800	3	0.510549409963039
1041602400	3	0.346690810449985
1041606000	3	0.347721624557583
1041609600	3	0.418140562130521
1041613200	3	0.325130090080918
1041616800	3	-0.0709250563937038
1041620400	3	-0.920874094128529
1041624000	3	-2.05778895594544
1041627600	3	-2.40228095373921
1041631200	3	-2.65385649941428
1041634800	3	-2.9863706819876
1041638400	4	-2.64409190631452
1041642000	4	-3.5521952718502
1041645600	4	-3.68221351532871
1041649200	4	-3.52615933731214
1041652800	4	-3.71411966569032
1041656400	4	-4.04130539982172
1041660000	4	-4.79246078742517
1041663600	4	-4.51451932124747
1041667200	4	-4.11997839511341
1041670800	4	-3.92901118017394
1041674400	4	-4.15308703038345
1041678000	4	-4.6270062164726
1041681600	4	-5.63690092328673
1041685200	4	-5.32242787329456
1041688800	4	-4.7707755450072
1041692400	4	-3.38694462175197
1041696000	4	-2.63466597461458
1041699600	4	-1.73646932551987
1041703200	4	-0.0711664437465039
1041706800	4	-0.338741713275169
1041710400	4	0.0852357433908833
1041714000	4	0.569374572331313
1041717600	4	1.09454932818304
1041721200	4	1.79271788777632
1041724800	5	4.10886960422158
1041728400	5	3.03949660658455
1041732000	5	2.75319466129578
1041735600	5	2.77253011046743
1041739200	5	2.65245368080932
