Unix	jday	Temp
1167609600	1	16.03
1167696000	2	16.02
1167782400	3	16.04
1167868800	4	16.15
1167955200	5	16.27
1168041600	6	16.38
1168128000	7	16.46
1168214400	8	16.54
1168300800	9	16.62
1168387200	10	16.84
1168473600	11	17.06
1168560000	12	17.19
1168646400	13	17.37
1168732800	14	17.49
1168819200	15	17.58
1168905600	16	17.69
1168992000	17	17.81
1169078400	18	17.97
1169164800	19	18.07
1169251200	20	18.06
1169337600	21	18.05
1169424000	22	18.05
1169510400	23	18.16
1169596800	24	18.3
1169683200	25	18.39
1169769600	26	18.39
1169856000	27	18.38
1169942400	28	18.09
1170028800	29	17.81
1170115200	30	17.62
1170201600	31	17.57
1170288000	32	17.62
1170374400	33	17.63
1170460800	34	17.78
1170547200	35	18.14
1170633600	36	18.37
1170720000	37	18.73
1170806400	38	19.33
1170892800	39	19.73
1170979200	40	19.93
1171065600	41	19.91
1171152000	42	19.73
1171238400	43	19.32
1171324800	44	18.99
1171411200	45	18.84
1171497600	46	18.84
1171584000	47	18.86
1171670400	48	18.81
1171756800	49	18.82
1171843200	50	18.91
1171929600	51	19.03
1172016000	52	19.09
1172102400	53	18.88
1172188800	54	18.7
1172275200	55	18.7
1172361600	56	18.74
1172448000	57	18.62
1172534400	58	18.43
1172620800	59	18.32
1172707200	60	18.48
1172793600	61	18.77
1172880000	62	19.03
1172966400	63	19.05
1173052800	64	18.94
1173139200	65	19.04
1173225600	66	19.09
1173312000	67	19.08
1173398400	68	18.97
1173484800	69	18.86
1173571200	70	18.77
1173657600	71	18.81
1173744000	72	18.84
1173830400	73	18.85
1173916800	74	18.84
1174003200	75	18.83
1174089600	76	18.82
1174176000	77	18.75
1174262400	78	16.88
1174348800	79	15.83
1174435200	80	15.55
1174521600	81	15.63
1174608000	82	15.69
1174694400	83	15.73
1174780800	84	15.79
1174867200	85	15.93
1174953600	86	15.93
1175040000	87	15.93
1175126400	88	16.16
1175212800	89	16.14
1175299200	90	16.14
1175385600	91	16.09
1175472000	92	16.06
1175558400	93	15.92
1175644800	94	15.71
1175731200	95	15.61
1175817600	96	15.84
1175904000	97	15.98
1175990400	98	16.07
1176076800	99	16.14
1176163200	100	16.06
1176249600	101	15.88
1176336000	102	15.74
1176422400	103	15.8
1176508800	104	15.14
1176595200	105	14.5
1176681600	106	14.17
1176768000	107	14.15
1176854400	108	14.5
1176940800	109	14.62
1177027200	110	14.54
1177113600	111	14.44
1177200000	112	14.57
1177286400	113	14.74
1177372800	114	14.9
1177459200	115	15.05
1177545600	116	15.13
1177632000	117	15
1177718400	118	14.83
1177804800	119	14.75
1177891200	120	14.86
1177977600	121	14.96
1178064000	122	15.04
1178150400	123	15.09
1178236800	124	15.14
1178323200	125	15.22
1178409600	126	15.11
1178496000	127	14.98
1178582400	128	14.93
1178668800	129	14.96
1178755200	130	15.06
1178841600	131	15.1
1178928000	132	15.11
1179014400	133	14.97
1179100800	134	14.81
1179187200	135	14.71
1179273600	136	14.54
1179360000	137	14.38
1179446400	138	14.29
1179532800	139	14.37
1179619200	140	14.4
1179705600	141	14.43
1179792000	142	14.48
1179878400	143	14.51
1179964800	144	14.45
1180051200	145	14.34
1180137600	146	14.24
1180224000	147	14.2
1180310400	148	14.19
1180396800	149	14.17
1180483200	150	14.13
1180569600	151	14.19
1180656000	152	14.21
1180742400	153	14.28
1180828800	154	14.32
1180915200	155	14.32
1181001600	156	14.28
1181088000	157	14.24
1181174400	158	14.22
1181260800	159	14.23
1181347200	160	13.82
1181433600	161	13.45
1181520000	162	13.18
1181606400	163	13.02
1181692800	164	12.96
1181779200	165	13.06
1181865600	166	13.18
1181952000	167	13.2
1182038400	168	13.18
1182124800	169	13.14
1182211200	170	13.04
1182297600	171	12.95
1182384000	172	13.07
1182470400	173	13.16
1182556800	174	13.21
1182643200	175	12.5
1182729600	176	11.76
1182816000	177	11.62
1182902400	178	11.9
1182988800	179	12.21
1183075200	180	12.44
1183161600	181	12.6
1183248000	182	12.7
1183334400	183	12.8
1183420800	184	12.9
1183507200	185	12.97
1183593600	186	12.89
1183680000	187	12.62
1183766400	188	12.31
1183852800	189	11.99
1183939200	190	11.84
1184025600	191	12.11
1184112000	192	12.47
1184198400	193	12.65
1184284800	194	12.67
1184371200	195	12.66
1184457600	196	12.78
1184544000	197	12.73
1184630400	198	12.6
1184716800	199	12.5
1184803200	200	12.66
1184889600	201	12.76
1184976000	202	12.9
1185062400	203	13.01
1185148800	204	13.07
1185235200	205	13.08
1185321600	206	12.78
1185408000	207	12.42
1185494400	208	12.15
1185580800	209	12.07
1185667200	210	12.15
1185753600	211	12.18
1185840000	212	12.21
1185926400	213	12.31
1186012800	214	12.34
1186099200	215	12.33
1186185600	216	12.33
1186272000	217	12.38
1186358400	218	12.17
1186444800	219	11.98
1186531200	220	11.9
1186617600	221	12.09
1186704000	222	12.29
1186790400	223	12.47
1186876800	224	12.33
1186963200	225	12.15
1187049600	226	12.11
1187136000	227	12.18
1187222400	228	12.28
1187308800	229	12.36
1187395200	230	12.31
1187481600	231	12.18
1187568000	232	11.97
1187654400	233	11.91
1187740800	234	12
1187827200	235	12.18
1187913600	236	12.18
1.188e+09	237	12.15
1188086400	238	12.13
1188172800	239	12.11
1188259200	240	12.04
1188345600	241	11.97
1188432000	242	11.99
1188518400	243	12.09
1188604800	244	12.18
1188691200	245	12.26
1188777600	246	12.23
1188864000	247	12.21
1188950400	248	12.17
1189036800	249	12.21
1189123200	250	12.2
1189209600	251	12.24
1189296000	252	12.25
1189382400	253	12.23
1189468800	254	12.23
1189555200	255	12.27
1189641600	256	12.46
1189728000	257	12.55
1189814400	258	12.65
1189900800	259	12.74
1189987200	260	12.85
1190073600	261	13.02
1190160000	262	13.35
