Unix	jday	dp	hs	tp
1167609600	1	241.87	0.84	10.8
1167620400	1	242.17	0.83	10.73
1167631200	1	242.31	0.93	10.67
1167642000	1	242.28	0.85	10.6
1167652800	1	239.51	0.79	10.47
1167663600	1	239.62	0.74	10.25
1167674400	1	239.58	0.7	10.16
1167685200	1	239.28	0.69	10.15
1167696000	2	238.84	0.69	10.21
1167706800	2	237.14	0.71	11.8
1167717600	2	237.89	0.96	11.76
1167728400	2	238.48	0.92	11.55
1167739200	2	237.52	0.86	11.06
1167750000	2	238.4	0.84	10.98
1167760800	2	237.55	0.89	14.36
1167771600	2	238.94	0.98	14.2
1167782400	3	237.87	0.96	13.25
1167793200	3	239.37	0.97	13.16
1167804000	3	240.49	0.98	13.12
1167814800	3	240.95	1.02	12.88
1167825600	3	240.33	0.98	12.13
1167836400	3	240.63	0.96	12.07
1167847200	3	240.82	0.94	12.05
1167858000	3	240.86	0.9	11.98
1167868800	4	240.89	0.86	11.83
1167879600	4	241.02	0.84	11.66
1167890400	4	240.72	0.87	11.4
1167901200	4	240.58	0.87	11.19
1167912000	4	240.56	0.84	11.06
1167922800	4	240.7	0.79	10.97
1167933600	4	240.94	0.75	10.89
1167944400	4	241.24	0.71	10.81
1167955200	5	241.8	0.69	10.7
1167966000	5	242.76	0.69	10.51
1167976800	5	240.07	0.76	10.24
1167987600	5	247.79	0.86	16.13
1167998400	5	247.96	0.92	16.04
1168009200	5	248.97	0.97	15.67
1168020000	5	245.6	1.03	14.77
1168030800	5	246.22	1.07	14.64
1168041600	6	246.41	1.1	14.56
1168052400	6	246.85	1.24	14.34
1168063200	6	244.35	1.43	13.55
1168074000	6	244.15	1.62	13.34
1168084800	6	243.51	1.82	13.23
1168095600	6	242.98	2.07	13.05
1168106400	6	239.55	2.25	10.79
1168117200	6	243.04	2.29	10.06
1168128000	7	245.05	2.2	9.89
1168138800	7	246.8	2.07	9.77
1168149600	7	248.11	1.91	9.58
1168160400	7	253.7	1.78	9.28
1168171200	7	255.83	1.67	9.16
1168182000	7	256.75	1.56	9.11
1168192800	7	256.1	1.45	9.05
1168203600	7	254.4	1.34	8.96
1168214400	8	252.28	1.24	8.82
1168225200	8	248.72	1.15	12.43
1168236000	8	249.99	1.05	12.15
1168246800	8	251.15	0.96	11.97
1168257600	8	252.29	0.87	11.95
1168268400	8	254.18	0.82	12.17
1168279200	8	256.55	0.82	12.51
1168290000	8	256.43	0.91	12.23
1168300800	9	264.57	1.09	10.6
1168311600	9	271.98	1.27	10.25
1168322400	9	273.75	1.36	10.06
1168333200	9	277.83	1.37	9.93
1168344000	9	291.54	1.37	9.81
1168354800	9	315.48	1.55	9.66
1168365600	9	329.66	1.66	9.32
1168376400	9	338.95	1.73	9.11
1168387200	10	341.92	1.75	9.05
1168398000	10	339.66	1.8	8.87
1168408800	10	348.78	1.93	8.34
1168419600	10	342.49	1.87	8.04
1168430400	10	352.26	1.67	7.72
1168441200	10	341	1.57	7.48
1168452000	10	239.02	1.53	13.34
1168462800	10	238.71	1.45	13.23
1168473600	11	238.28	1.38	13.07
1168484400	11	237.65	1.31	12.91
1168495200	11	236.91	1.23	12.83
1168506000	11	236.27	1.17	13.02
1168516800	11	240.24	1.14	15.44
1168527600	11	238.22	1.11	14.52
1168538400	11	238.09	1.1	14.38
1168549200	11	238.6	1.08	14.26
1168560000	12	239.32	1.04	14.01
1168570800	12	237.47	1.02	13.43
1168581600	12	238.21	0.98	13.21
1168592400	12	239.46	0.93	13.05
1168603200	12	241.49	0.87	12.84
1168614000	12	238.9	0.8	12.43
1168624800	12	239.66	0.74	12.19
1168635600	12	240.89	0.69	12.12
1168646400	13	243.07	0.85	12.24
1168657200	13	245.52	1.32	12.84
1168668000	13	13.5	1.78	6.76
1168678800	13	9.39	2.25	7.45
1168689600	13	10.1	2.46	7.79
1168700400	13	7.96	2.51	8.05
