Unix	jday	dp	hs	tp
978307200	1	246.27	3.14	11.39
978318000	1	245.02	3	11.22
978328800	1	243.45	2.84	10.98
978339600	1	241.87	2.64	10.77
978350400	1	249.31	2.51	8.12
978361200	1	248.3	2.44	8.13
978372000	1	247.55	2.36	8.23
978382800	1	247.53	2.22	8.38
978393600	2	246.95	2.09	8.41
978404400	2	246.66	1.94	8.39
978415200	2	246.9	1.79	8.36
978426000	2	247.24	1.63	8.33
978436800	2	247.17	1.5	8.28
978447600	2	246.74	1.39	8.23
978458400	2	245.89	1.32	8.18
978469200	2	244.85	1.27	8.11
978480000	3	243.66	1.24	8.01
978490800	3	248.07	1.26	7.8
978501600	3	247.42	1.24	7.66
978512400	3	246.74	1.16	7.56
978523200	3	245.82	1.08	7.49
978534000	3	245.52	1.01	11.17
978544800	3	245.8	0.95	11.12
978555600	3	246.25	0.89	11.07
978566400	4	246.82	0.84	11.02
978577200	4	247.91	0.82	10.96
978588000	4	249.36	0.81	10.89
978598800	4	251.37	0.76	10.81
978609600	4	253.71	0.67	10.73
978620400	4	256.45	0.61	10.65
978631200	4	247.24	0.56	10.5
978642000	4	248.81	0.53	10.36
978652800	5	250.55	0.54	10.23
978663600	5	264.53	0.78	14.81
978674400	5	254.07	0.92	3.54
978685200	5	245.26	0.92	3.59
978696000	5	270.59	0.93	8.2
978706800	5	270.44	0.98	8.17
978717600	5	269.78	1.05	8.13
978728400	5	269.07	1.11	8.06
978739200	6	273.39	1.14	7.89
978750000	6	273.3	1.15	7.72
978760800	6	273.13	1.15	7.59
978771600	6	273.05	1.13	7.46
978782400	6	273.19	1.07	7.33
978793200	6	277.58	1.02	7.08
978804000	6	278.07	0.98	6.87
978814800	6	278.73	0.95	6.71
978825600	7	281.28	0.93	6.57
978836400	7	281.65	0.93	6.41
978847200	7	247.14	0.95	11.09
978858000	7	249.78	0.97	16.71
978868800	7	248.37	0.99	16.41
978879600	7	250.85	0.99	16.17
978890400	7	249.64	1.01	15.72
978901200	7	249.85	1.02	15.08
978912000	8	248.94	1.05	14.84
978922800	8	250.51	1.08	14.6
978933600	8	249.83	1.15	14.2
978944400	8	247	1.16	13.7
978955200	8	246.23	1.16	13.49
978966000	8	246.36	1.19	13.36
978976800	8	245.29	1.23	13.25
978987600	8	245.19	1.28	13.16
978998400	9	244.07	1.33	13.05
979009200	9	244.53	1.38	12.94
979020000	9	242.48	1.4	12.84
979030800	9	251.06	1.4	14.18
979041600	9	250.16	1.39	14.28
979052400	9	251.89	1.37	14.17
979063200	9	247.05	1.35	13.76
979074000	9	248.17	1.32	13.58
979084800	10	248.24	1.28	13.47
979095600	10	249.28	1.24	13.37
979106400	10	249.32	1.2	13.27
979117200	10	250.32	1.3	13.13
979128000	10	250.42	1.34	12.95
979138800	10	245.56	1.24	12.64
979149600	10	245.52	1.14	12.45
979160400	10	245.92	1.04	12.31
979171200	11	246.15	0.96	12.2
979182000	11	246.83	1	12.1
979192800	11	233.7	1.26	3.57
979203600	11	247.37	1.18	11.9
979214400	11	246.74	1.11	11.8
979225200	11	245.95	1.09	11.73
979236000	11	241.62	1.11	15.01
979246800	11	243.96	1.14	14.7
979257600	12	242.75	1.19	14.44
979268400	12	241.51	1.32	13.84
979279200	12	240.79	1.44	13.51
979290000	12	242.15	1.46	13.37
979300800	12	242.3	1.37	13.28
979311600	12	243.84	1.26	13.21
979322400	12	244.18	1.18	13.13
979333200	12	245.65	1.14	13.01
979344000	13	241.51	1.31	12.72
979354800	13	260.74	1.64	4.69
979365600	13	257.76	1.84	5.26
979376400	13	252.25	1.95	5.77
979387200	13	248.21	2.03	6.57
979398000	13	246.08	2.1	7.02
979408800	13	246.26	2.05	7.39
979419600	13	246.06	1.9	7.63
979430400	14	246.03	1.74	7.71
979441200	14	246.17	1.61	7.75
979452000	14	239.98	1.51	11.12
979462800	14	240.11	1.42	11.09
979473600	14	240.29	1.34	11.07
979484400	14	240.67	1.28	11.05
979495200	14	241.11	1.23	11.04
979506000	14	241.65	1.19	11.03
979516800	15	242.14	1.28	11.02
979527600	15	242.72	1.36	11.01
979538400	15	243.37	1.31	10.99
979549200	15	328.86	1.35	3.96
979560000	15	334.42	1.45	4.3
979570800	15	335.03	1.75	4.75
979581600	15	333.89	2.44	5.63
979592400	15	315.55	3.55	6.98
979603200	16	283.64	4.1	8.21
979614000	16	263.76	4.62	9.14
979624800	16	253.61	4.68	9.84
979635600	16	253.44	4.48	10.15
979646400	16	253.26	4.33	10.23
979657200	16	253.27	4.14	10.24
979668000	16	254.07	3.88	10.18
979678800	16	254.98	3.65	10.14
979689600	17	255.24	3.56	10.12
979700400	17	254.9	3.5	10.13
979711200	17	254.37	3.33	10.19
979722000	17	253.85	3.15	10.33
979732800	17	253.35	3	10.58
979743600	17	250.25	2.88	10.77
979754400	17	248.79	2.73	10.85
979765200	17	247.35	2.59	10.88
979776000	18	245.87	2.46	10.89
979786800	18	244.49	2.34	10.9
979797600	18	243.17	2.23	10.93
979808400	18	242.1	2.1	10.95
979819200	18	241.29	1.99	10.96
979830000	18	240.74	1.87	10.96
979840800	18	240.26	1.77	10.92
979851600	18	239.84	1.68	10.86
979862400	19	239.39	1.6	10.77
979873200	19	238.99	1.58	10.64
979884000	19	240.47	1.56	10.42
979894800	19	239.99	1.53	10.29
979905600	19	239.54	1.48	10.21
979916400	19	239.14	1.43	10.15
979927200	19	238.81	1.41	10.1
979938000	19	238.54	1.4	10.06
979948800	20	249.24	1.49	5.26
979959600	20	251.65	1.62	5.23
979970400	20	253.23	1.55	5.41
979981200	20	256.32	1.42	5.58
979992000	20	256.45	1.33	5.64
980002800	20	282.91	1.26	13.43
980013600	20	268.99	1.22	13.28
980024400	20	262.34	1.24	13.13
980035200	21	257.37	1.33	12.89
980046000	21	271.47	1.52	4.62
980056800	21	271.41	1.74	5.13
980067600	21	264.34	1.85	5.78
980078400	21	255.86	1.9	6.2
980089200	21	253.24	1.94	6.52
980100000	21	248.36	1.97	6.72
980110800	21	248.18	2.03	6.77
980121600	22	249.52	2.06	6.77
980132400	22	252.4	2.06	6.69
980143200	22	256.08	2	6.63
980154000	22	260.34	1.89	7.05
980164800	22	261	1.8	7.76
980175600	22	253.05	1.81	8.02
980186400	22	246.65	1.94	15.74
980197200	22	250.24	2.13	15.71
980208000	23	246.47	2.31	15.31
980218800	23	249.28	2.41	14.83
980229600	23	249.17	2.46	14.64
980240400	23	251.02	2.47	14.48
980251200	23	250.25	2.53	14.33
980262000	23	247.13	2.66	14.11
980272800	23	246.62	2.72	13.83
980283600	23	246.97	2.69	13.6
980294400	24	246.34	2.58	13.45
980305200	24	246.62	2.48	13.32
980316000	24	245.94	2.36	13.19
980326800	24	246.11	2.19	13
980337600	24	244.16	2.05	12.61
980348400	24	243.91	1.93	12.36
980359200	24	243.36	1.84	12.25
980370000	24	243.13	1.77	12.17
980380800	25	242.66	1.72	12.09
980391600	25	242.57	1.68	12.01
980402400	25	242.37	1.73	11.89
980413200	25	290.35	2.16	5.61
980424000	25	275.25	2.65	6.67
980434800	25	270.3	2.85	7.1
980445600	25	260.19	2.95	7.38
980456400	25	256.05	2.97	7.52
980467200	26	253.65	3.01	7.53
980478000	26	253.4	3.14	7.54
980488800	26	252.01	3.13	7.58
980499600	26	250.58	3.06	7.66
980510400	26	249.1	3.25	7.94
980521200	26	247.36	3.3	8.53
980532000	26	244.07	3.36	9.03
980542800	26	243.66	3.41	9.22
980553600	27	244.11	3.3	9.24
980564400	27	245.57	3.07	9.33
980575200	27	246.78	2.75	9.36
980586000	27	247.21	2.42	9.65
980596800	27	241.94	2.16	10.81
980607600	27	241.22	1.97	10.88
980618400	27	240.79	1.81	10.87
980629200	27	240.62	1.69	10.73
980640000	28	239.81	1.58	10.48
980650800	28	238.97	1.49	10.32
980661600	28	238.39	1.39	10.23
980672400	28	238.01	1.27	10.15
980683200	28	237.86	1.15	10.08
980694000	28	237.99	1.02	9.99
980704800	28	238.43	0.91	9.81
980715600	28	237.19	0.82	9.49
980726400	29	237.19	0.76	9.31
980737200	29	239.44	0.76	9.1
980748000	29	297.45	0.84	6.72
980758800	29	304.05	0.94	6.87
980769600	29	307.52	1.02	6.82
980780400	29	309.71	1.06	6.75
980791200	29	311.29	1.06	6.65
980802000	29	318.34	1.08	6.51
980812800	30	320.09	1.2	6.37
980823600	30	350.61	1.4	4.75
980834400	30	348.1	1.56	5.26
980845200	30	351.33	1.69	5.41
