Unix	jday	dp	hs	tp
1199145600	1	240.11	1.3	9.93
1199156400	1	239.64	1.28	10.01
1199167200	1	239.37	1.28	10.25
1199178000	1	240.24	1.33	14.73
1199188800	1	241.8	1.35	14.37
1199199600	1	243.04	1.37	14
1199210400	1	240.85	1.37	13.46
1199221200	1	240.99	1.35	13.22
1199232000	2	240.83	1.34	13.03
1199242800	2	240.69	1.31	12.86
1199253600	2	240.74	1.25	12.69
1199264400	2	240.42	1.19	12.41
1199275200	2	240.54	1.13	12.23
1199286000	2	240.78	1.09	12.13
1199296800	2	240.76	1.1	12.09
1199307600	2	240.43	1.13	12.09
1199318400	3	240.36	1.19	12.08
1199329200	3	240.65	1.28	12.05
1199340000	3	241.05	1.41	12.02
1199350800	3	241.25	1.52	12
1199361600	3	241.48	1.6	11.96
1199372400	3	241.8	1.66	11.87
1199383200	3	242.11	1.7	11.72
1199394000	3	241.57	1.73	11.44
1199404800	4	245.19	1.75	14.44
1199415600	4	244.65	1.76	14.38
1199426400	4	243.82	1.77	14.3
1199437200	4	243.53	1.79	14.17
1199448000	4	240.5	1.79	12.52
1199458800	4	240.61	1.77	12.39
1199469600	4	240.81	1.74	12.26
1199480400	4	240.99	1.69	12.08
1199491200	5	241.18	1.65	11.88
1199502000	5	241.4	1.6	11.69
1199512800	5	241.67	1.54	11.55
1199523600	5	240.85	1.49	11.46
1199534400	5	241.2	1.42	11.39
1199545200	5	241.57	1.35	11.28
1199556000	5	241.93	1.28	11.12
1199566800	5	242.2	1.21	10.98
1199577600	6	242.53	1.16	10.88
1199588400	6	242.98	1.13	10.82
1199599200	6	243.81	1.09	10.79
1199610000	6	245.57	1.06	10.76
1199620800	6	249.43	1.14	10.74
1199631600	6	255.66	1.39	10.7
1199642400	6	355.72	1.93	5.67
1199653200	6	346.1	2.52	6.71
1199664000	7	342.68	3.07	7.25
1199674800	7	341.64	3.23	7.61
1199685600	7	341.85	2.93	7.62
1199696400	7	343.28	2.58	7.5
1199707200	7	345.19	2.31	7.4
1199718000	7	346.42	2.11	7.29
1199728800	7	340.38	1.95	7.13
1199739600	7	341.28	1.79	6.98
1199750400	8	341.96	1.63	6.87
1199761200	8	247.39	1.52	10.95
1199772000	8	246.65	1.56	10.81
1199782800	8	278.08	1.77	6.45
1199793600	8	262.32	2.07	6.75
1199804400	8	247.08	2.42	15.92
1199815200	8	243.87	2.72	15.31
1199826000	8	245.13	2.91	14.64
1199836800	9	245.46	2.97	14.32
1199847600	9	244.09	3.01	13.82
1199858400	9	244.39	3.11	13.53
1199869200	9	244.62	3.2	13.41
1199880000	9	244.8	3.2	13.33
1199890800	9	244.98	3.11	13.27
1199901600	9	245.19	2.97	13.18
1199912400	9	245.48	2.82	12.97
1199923200	10	245.1	2.68	12.5
1199934000	10	245	2.52	12.3
1199944800	10	244.94	2.37	12.24
1199955600	10	244.84	2.26	12.24
1199966400	10	244.45	2.19	12.19
1199977200	10	243.69	2.16	12.1
1199988000	10	242.67	2.13	12.04
1199998800	10	241.48	2.09	12.03
1200009600	11	240.43	2.01	12.01
1200020400	11	239.81	1.93	12.02
1200031200	11	239.82	1.86	12.05
1200042000	11	240.46	1.78	12.04
1200052800	11	241.5	1.69	11.96
1200063600	11	242.23	1.6	11.89
1200074400	11	242.59	1.49	11.8
1200085200	11	242.86	1.38	11.63
1200096000	12	242.49	1.24	11.41
1200106800	12	242.64	1.17	11.37
1200117600	12	242.9	1.2	11.43
1200128400	12	243.07	1.32	11.46
1200139200	12	243.1	1.47	11.37
1200150000	12	322.52	1.58	5.27
1200160800	12	245.23	1.64	12.03
1200171600	12	246.95	1.76	11.93
1200182400	13	248.23	1.87	11.72
1200193200	13	253.17	1.94	11.28
1200204000	13	252.56	1.99	11.11
1200214800	13	238.92	2.01	11.58
1200225600	13	237.91	1.99	11.62
1200236400	13	242.94	1.92	11.12
1200247200	13	242.57	1.82	10.94
1200258000	13	242.9	1.7	10.87
1200268800	14	243.51	1.64	10.74
1200279600	14	247.41	1.75	10.48
1200290400	14	318.44	1.97	5.56
1200301200	14	310.42	2.22	6.13
1200312000	14	298.93	2.44	7.02
1200322800	14	264.09	2.59	10.01
1200333600	14	263.88	2.53	9.79
1200344400	14	263.19	2.41	9.65
1200355200	15	274.17	2.35	9.3
1200366000	15	254.81	2.63	17.12
1200376800	15	250.57	3.16	16.05
1200387600	15	250.71	3.54	15.69
1200398400	15	249.56	3.67	15.45
1200409200	15	248.55	3.69	15.21
1200420000	15	247.67	3.65	14.89
1200430800	15	246.82	3.56	14.64
1200441600	16	245.66	3.41	14.48
1200452400	16	244.82	3.25	14.36
1200463200	16	244.09	3.08	14.18
1200474000	16	244.29	2.9	13.63
1200484800	16	243.53	2.72	13.3
1200495600	16	242.84	2.53	13.17
1200506400	16	242.38	2.33	13.06
1200517200	16	242.01	2.14	12.88
1200528000	17	242.73	1.98	12.46
1200538800	17	241.89	1.88	12.18
1200549600	17	241.21	1.85	12.04
1200560400	17	240.84	1.83	11.91
1200571200	17	240.81	1.9	11.74
1200582000	17	241.19	1.94	11.42
1200592800	17	241.12	1.96	11.17
1200603600	17	241.16	1.95	11.02
1200614400	18	241.92	1.94	10.89
1200625200	18	243.88	1.98	10.77
1200636000	18	245.99	2.11	10.75
1200646800	18	247.36	2.22	10.73
1200657600	18	248.33	2.24	10.67
1200668400	18	249.13	2.16	10.54
1200679200	18	249.16	2.04	10.3
1200690000	18	249.48	1.88	10.15
1200700800	19	249.48	1.74	10.05
1200711600	19	249	1.63	9.99
1200722400	19	248.31	1.54	9.95
1200733200	19	247.5	1.45	9.92
1200744000	19	246.77	1.37	9.9
1200754800	19	246.17	1.31	9.91
1200765600	19	245.58	1.29	9.95
1200776400	19	245.17	1.31	10
1200787200	20	232.16	1.34	14.19
1200798000	20	231.61	1.37	13.27
1200808800	20	231.85	1.37	13.05
1200819600	20	232.66	1.35	12.82
1200830400	20	233.23	1.31	12.26
1200841200	20	233.84	1.28	12.09
1200852000	20	234.65	1.24	12.05
1200862800	20	235.68	1.19	12.04
1200873600	21	236.76	1.14	12.07
1200884400	21	237.5	1.1	12.21
1200895200	21	237.81	1.11	12.38
1200906000	21	237.82	1.24	12.31
1200916800	21	237.71	1.75	12.33
1200927600	21	239.31	2.15	12.66
1200938400	21	7.11	2.63	7.24
1200949200	21	5.55	3.23	7.91
1200960000	22	4.58	4.19	8.98
1200970800	22	353.34	4.45	11.38
1200981600	22	351.41	3.81	11.57
1200992400	22	350.32	3.81	11.24
1201003200	22	312.15	4.3	10.7
1201014000	22	260.44	4.66	10.72
1201024800	22	251.42	4.56	10.95
1201035600	22	249.5	4.12	10.86
1201046400	23	247.43	3.62	10.75
1201057200	23	243.44	3.24	10.81
1201068000	23	239.77	2.93	10.86
1201078800	23	238.53	2.63	10.98
1201089600	23	242.37	2.37	11.67
1201100400	23	242.49	2.18	11.74
1201111200	23	242.66	2.04	11.67
1201122000	23	241.29	1.95	10.6
1201132800	24	241.95	1.9	10.61
1201143600	24	242.39	1.87	10.65
1201154400	24	242.4	1.83	10.65
1201165200	24	242.18	1.8	10.6
1201176000	24	241.71	1.75	10.52
1201186800	24	241.91	1.7	10.43
1201197600	24	241.59	1.64	10.46
1201208400	24	239.45	1.58	10.55
1201219200	25	239.18	1.52	10.61
1201230000	25	239.16	1.46	10.64
1201240800	25	239.3	1.46	10.66
1201251600	25	239.54	1.45	10.68
1201262400	25	239.81	1.37	10.69
1201273200	25	239.89	1.29	10.7
1201284000	25	239.43	1.23	10.77
1201294800	25	238.14	1.21	10.9
1201305600	26	236.54	1.23	11.02
1201316400	26	235.39	1.25	11.08
