Unix	jday	dp
1159660800	274	244.59
1159671600	274	244.42
1159682400	274	244.05
1159693200	274	243.59
1159704000	274	243.18
1159714800	274	245.08
1159725600	274	244.98
1159736400	274	246.45
1159747200	275	245.84
1159758000	275	247.93
1159768800	275	245.86
1159779600	275	245.6
1159790400	275	244.95
1159801200	275	245.52
1159812000	275	244.86
1159822800	275	243.74
1159833600	276	243.01
1159844400	276	243.01
1159855200	276	242.93
1159866000	276	243.22
1159876800	276	245.95
1159887600	276	247.79
1159898400	276	246.78
1159909200	276	241.64
1159920000	277	241.98
1159930800	277	245.42
1159941600	277	245.32
1159952400	277	242.53
1159963200	277	242.91
1159974000	277	243.33
1159984800	277	243.66
1159995600	277	244.49
1160006400	278	243.42
1160017200	278	243.59
1160028000	278	243.98
1160038800	278	244.47
1160049600	278	244.92
1160060400	278	245.26
1160071200	278	245.51
1160082000	278	245.48
1160092800	279	244.72
1160103600	279	243.64
1160114400	279	243.08
1160125200	279	243.12
1160136000	279	243.44
1160146800	279	243.77
1160157600	279	243.98
1160168400	279	244.16
1160179200	280	244.46
1160190000	280	244.71
1160200800	280	244.94
1160211600	280	245.97
1160222400	280	258.62
1160233200	280	262.74
1160244000	280	264.11
1160254800	280	263.48
1160265600	281	261.33
1160276400	281	258.59
1160287200	281	245.7
1160298000	281	244.55
1160308800	281	244.55
1160319600	281	243.5
1160330400	281	243.36
1160341200	281	243.72
1160352000	282	243.78
1160362800	282	244.21
1160373600	282	244.53
1160384400	282	244.56
1160395200	282	256.95
1160406000	282	248.69
1160416800	282	249.86
1160427600	282	250.11
1160438400	283	250.44
1160449200	283	249.47
1160460000	283	249.68
1160470800	283	251
1160481600	283	249.15
1160492400	283	247.13
1160503200	283	245.37
1160514000	283	244.42
1160524800	284	244.59
1160535600	284	243.67
1160546400	284	242.99
1160557200	284	242.44
1160568000	284	241.99
1160578800	284	243.46
1160589600	284	242.87
1160600400	284	242.14
1160611200	285	241.31
1160622000	285	240.58
1160632800	285	240.26
1160643600	285	240.4
1160654400	285	240.75
1160665200	285	241.48
1160676000	285	239.6
1160686800	285	240.19
1160697600	286	240.33
1160708400	286	243.07
1160719200	286	238.45
1160730000	286	240.07
1160740800	286	240.64
1160751600	286	244.3
1160762400	286	245.13
1160773200	286	245.3
1160784000	287	254
1160794800	287	254.59
1160805600	287	254.32
1160816400	287	252.83
1160827200	287	250.73
1160838000	287	242.22
1160848800	287	241.65
1160859600	287	241.28
1160870400	288	241.3
1160881200	288	241.68
1160892000	288	242.42
1160902800	288	243.57
1160913600	288	244.83
1160924400	288	245.95
1160935200	288	246.51
1160946000	288	246.96
1160956800	289	246.24
1160967600	289	246.26
1160978400	289	247.6
1160989200	289	249.57
1.161e+09	289	248.79
1161010800	289	248.6
1161021600	289	247.69
1161032400	289	247.91
1161043200	290	247.43
1161054000	290	247.2
1161064800	290	246.67
1161075600	290	246.47
1161086400	290	246.02
1161097200	290	245.69
1161108000	290	245.15
1161118800	290	244.73
1161129600	291	244.34
1161140400	291	243.82
1161151200	291	243.21
1161162000	291	242.65
1161172800	291	242.78
1161183600	291	242.55
1161194400	291	242.39
1161205200	291	242.1
1161216000	292	299.52
1161226800	292	284.82
1161237600	292	276.82
1161248400	292	270.42
1161259200	292	267.87
1161270000	292	271.25
1161280800	292	273.37
1161291600	292	274.04
1161302400	293	272.9
1161313200	293	245.3
1161324000	293	245.26
1161334800	293	245.91
1161345600	293	246.17
1161356400	293	246.67
1161367200	293	246.85
1161378000	293	247.38
1161388800	294	247.89
1161399600	294	248.61
1161410400	294	248.89
1161421200	294	248.92
1161432000	294	248.47
1161442800	294	247.99
1161453600	294	245.54
1161464400	294	244.29
1161475200	295	244.44
1161486000	295	245.95
1161496800	295	244.65
1161507600	295	246.2
1161518400	295	245.51
1161529200	295	245.49
1161540000	295	245.35
1161550800	295	244.99
1161561600	296	244.4
1161572400	296	243.67
1161583200	296	242.85
1161594000	296	241.91
1161604800	296	240.79
1161615600	296	239.55
1161626400	296	239.99
1161637200	296	240.04
1161648000	297	240.25
1161658800	297	240.14
1161669600	297	240.22
1161680400	297	240.46
1161691200	297	240.48
1161702000	297	240.16
1161712800	297	239.95
1161723600	297	240.3
1161734400	298	240.8
1161745200	298	241.17
1161756000	298	241.53
1161766800	298	241.85
1161777600	298	242.15
1161788400	298	242.4
1161799200	298	241.84
1161810000	298	242.01
1161820800	299	242.13
1161831600	299	242.15
1161842400	299	242.01
1161853200	299	241.72
1161864000	299	241.57
1161874800	299	244.7
1161885600	299	241.23
1161896400	299	243.88
1161907200	300	243.35
1161918000	300	241.1
1161928800	300	241.22
1161939600	300	242.23
1161950400	300	242.13
1161961200	300	240.27
1161972000	300	240.28
1161982800	300	240.48
1161993600	301	240.62
1162004400	301	240.77
1162015200	301	335.84
1162026000	301	327.59
1162036800	301	314.27
1162047600	301	315.81
1162058400	301	316.13
1162069200	301	320.04
1162080000	302	322.24
1162090800	302	313.63
1162101600	302	311.19
1162112400	302	307.49
1162123200	302	304.07
1162134000	302	301.48
1162144800	302	298.29
1162155600	302	254.12
1162166400	303	256.1
1162177200	303	253.52
1162188000	303	253.36
1162198800	303	251.4
1162209600	303	251.64
1162220400	303	249.85
1162231200	303	249.07
1162242000	303	250.22
1162252800	304	240.53
1162263600	304	239.91
1162274400	304	240.95
1162285200	304	240.32
1162296000	304	239.92
1162306800	304	239.53
1162317600	304	239.06
1162328400	304	238.54
1162339200	305	238.02
