Unix	jday	hs
1204329600	61	3.25
1204340400	61	3.22
1204351200	61	3.13
1204362000	61	2.93
1204372800	61	2.87
1204383600	61	2.86
1204394400	61	2.79
1204405200	61	2.79
1204416000	62	2.86
1204426800	62	3.13
1204437600	62	3.36
1204448400	62	3.16
1204459200	62	2.71
1204470000	62	2.21
1204480800	62	1.87
1204491600	62	1.65
1204502400	63	1.47
1204513200	63	1.33
1204524000	63	1.2
1204534800	63	1.11
1204545600	63	1.01
1204556400	63	0.97
1204567200	63	0.98
1204578000	63	1
1204588800	64	1.07
1204599600	64	1.08
1204610400	64	1.09
1204621200	64	1.12
1204632000	64	1.13
1204642800	64	1.15
1204653600	64	1.17
1204664400	64	1.22
1204675200	65	1.43
1204686000	65	1.72
1204696800	65	1.88
1204707600	65	1.8
1204718400	65	1.61
1204729200	65	1.48
1204740000	65	1.59
1204750800	65	1.81
1204761600	66	1.93
1204772400	66	1.94
1204783200	66	1.87
1204794000	66	1.78
1204804800	66	1.69
1204815600	66	1.63
1204826400	66	1.61
1204837200	66	1.63
1204848000	67	1.62
1204858800	67	1.58
1204869600	67	1.52
1204880400	67	1.43
1204891200	67	1.34
1204902000	67	1.27
1204912800	67	1.31
1204923600	67	1.45
1204934400	68	1.58
1204945200	68	1.65
1204956000	68	1.7
1204966800	68	1.76
1204977600	68	1.88
1204988400	68	2.02
1204999200	68	2.07
1205010000	68	2.06
1205020800	69	2.04
1205031600	69	2.08
1205042400	69	2.17
1205053200	69	2.45
1205064000	69	2.83
1205074800	69	3.04
1205085600	69	3
1205096400	69	2.86
1205107200	70	2.71
1205118000	70	2.6
1205128800	70	2.5
1205139600	70	2.41
1205150400	70	2.31
1205161200	70	2.21
1205172000	70	2.09
1205182800	70	1.96
1205193600	71	1.85
1205204400	71	1.9
1205215200	71	2.28
1205226000	71	2.75
1205236800	71	2.93
1205247600	71	2.92
1205258400	71	2.78
1205269200	71	2.64
1205280000	72	2.6
1205290800	72	2.6
1205301600	72	2.61
1205312400	72	2.58
1205323200	72	2.49
1205334000	72	2.38
1205344800	72	2.28
1205355600	72	2.18
1205366400	73	2.07
1205377200	73	1.98
1205388000	73	1.91
1205398800	73	1.82
1205409600	73	1.73
1205420400	73	1.66
1205431200	73	1.61
1205442000	73	1.57
1205452800	74	1.54
1205463600	74	1.54
1205474400	74	1.6
1205485200	74	1.66
1205496000	74	1.72
1205506800	74	1.8
1205517600	74	1.87
1205528400	74	1.91
1205539200	75	1.91
1205550000	75	1.89
1205560800	75	1.87
1205571600	75	1.87
1205582400	75	1.84
1205593200	75	1.83
1205604000	75	1.82
1205614800	75	1.8
1205625600	76	1.87
1205636400	76	2.16
1205647200	76	2.64
1205658000	76	2.96
1205668800	76	3.04
1205679600	76	3.02
1205690400	76	2.93
1205701200	76	2.83
1205712000	77	2.72
1205722800	77	2.61
1205733600	77	2.45
1205744400	77	2.29
1205755200	77	2.14
1205766000	77	1.99
1205776800	77	1.87
1205787600	77	1.74
1205798400	78	1.61
1205809200	78	1.5
1205820000	78	1.4
1205830800	78	1.33
1205841600	78	1.27
1205852400	78	1.24
1205863200	78	1.26
1205874000	78	1.3
1205884800	79	1.35
1205895600	79	1.39
1205906400	79	1.42
1205917200	79	1.44
1205928000	79	1.46
1205938800	79	1.5
1205949600	79	1.54
1205960400	79	1.57
1205971200	80	1.6
1205982000	80	1.63
1205992800	80	1.64
1206003600	80	1.61
1206014400	80	1.56
1206025200	80	1.5
1206036000	80	1.45
1206046800	80	1.41
1206057600	81	1.36
1206068400	81	1.31
1206079200	81	1.25
1206090000	81	1.21
1206100800	81	1.21
1206111600	81	1.34
1206122400	81	1.7
1206133200	81	2.24
1206144000	82	2.63
1206154800	82	2.86
1206165600	82	3
1206176400	82	3.08
1206187200	82	3.06
1206198000	82	3.01
1206208800	82	2.97
1206219600	82	2.93
1206230400	83	2.84
1206241200	83	2.72
1206252000	83	2.58
1206262800	83	2.44
1206273600	83	2.29
1206284400	83	2.14
1206295200	83	2.01
1206306000	83	1.89
1206316800	84	1.78
1206327600	84	1.69
1206338400	84	1.62
1206349200	84	1.56
1206360000	84	1.51
1206370800	84	1.49
1206381600	84	1.51
1206392400	84	1.56
1206403200	85	1.6
1206414000	85	1.67
1206424800	85	1.76
1206435600	85	1.85
1206446400	85	1.9
1206457200	85	1.95
1206468000	85	1.98
1206478800	85	2.03
1206489600	86	2.05
1206500400	86	2.03
1206511200	86	1.97
1206522000	86	1.9
1206532800	86	1.84
1206543600	86	1.78
1206554400	86	1.68
1206565200	86	1.57
1206576000	87	1.5
1206586800	87	1.49
1206597600	87	1.48
1206608400	87	1.47
1206619200	87	1.47
1206630000	87	1.49
1206640800	87	1.52
1206651600	87	1.53
1206662400	88	1.61
1206673200	88	1.82
1206684000	88	2.11
1206694800	88	2.44
1206705600	88	3.11
1206716400	88	3.19
1206727200	88	2.86
1206738000	88	2.55
1206748800	89	2.32
1206759600	89	2.12
1206770400	89	1.95
1206781200	89	1.82
1206792000	89	1.69
1206802800	89	1.58
1206813600	89	1.49
1206824400	89	1.43
1206835200	90	1.38
1206846000	90	1.32
1206856800	90	1.27
1206867600	90	1.23
1206878400	90	1.2
1206889200	90	1.18
1206900000	90	1.12
1206910800	90	1.06
1206921600	91	0.99
1206932400	91	0.96
1206943200	91	0.92
1206954000	91	0.93
1206964800	91	1.07
1206975600	91	1.31
1206986400	91	1.54
1206997200	91	1.72
1207008000	92	1.87
