Unix	jday	tp
1230768000	1	13.53
1230778800	1	13.3
1230789600	1	13.14
1230800400	1	12.94
1230811200	1	12.37
1230822000	1	11.97
1230832800	1	11.77
1230843600	1	11.58
1230854400	2	11.21
1230865200	2	11.12
1230876000	2	11.19
1230886800	2	11.38
1230897600	2	11.29
1230908400	2	11.21
1230919200	2	11.24
1230930000	2	11.19
1230940800	3	11.08
1230951600	3	10.96
1230962400	3	10.83
1230973200	3	10.74
1230984000	3	10.77
1230994800	3	10.83
1231005600	3	10.81
1231016400	3	10.76
1231027200	4	10.7
1231038000	4	10.69
1231048800	4	10.84
1231059600	4	10.98
1231070400	4	11.02
1231081200	4	10.96
1231092000	4	10.86
1231102800	4	10.78
1231113600	5	10.72
1231124400	5	10.63
1231135200	5	10.48
1231146000	5	10.25
1231156800	5	10.14
1231167600	5	10.08
1231178400	5	10.04
1231189200	5	10
1231200000	6	9.96
1231210800	6	9.91
1231221600	6	9.85
1231232400	6	9.73
1231243200	6	16.35
1231254000	6	16.15
1231264800	6	10.28
1231275600	6	10.07
1231286400	7	9.86
1231297200	7	9.8
1231308000	7	9.82
1231318800	7	9.9
1231329600	7	11.69
1231340400	7	12.7
1231351200	7	12.94
1231362000	7	12.97
1231372800	8	12.92
1231383600	8	12.84
1231394400	8	12.65
1231405200	8	12.34
1231416000	8	12.15
1231426800	8	12
1231437600	8	11.87
1231448400	8	11.8
1231459200	9	11.79
1231470000	9	11.79
1231480800	9	11.69
1231491600	9	11.63
1231502400	9	11.91
1231513200	9	12.98
1231524000	9	13.22
1231534800	9	13.6
1231545600	10	14.14
1231556400	10	14.2
1231567200	10	14.16
1231578000	10	14.05
1231588800	10	13.55
1231599600	10	13.25
1231610400	10	13.07
1231621200	10	12.92
1231632000	11	12.78
1231642800	11	12.59
1231653600	11	12.39
1231664400	11	12.24
1231675200	11	12.07
1231686000	11	11.86
1231696800	11	11.6
1231707600	11	11.35
1231718400	12	11.23
1231729200	12	11.18
1231740000	12	11.18
1231750800	12	11.46
1231761600	12	11.61
1231772400	12	14.71
1231783200	12	14.64
1231794000	12	14.59
1231804800	13	14.38
1231815600	13	13.6
1231826400	13	13.39
1231837200	13	13.29
1231848000	13	13.2
1231858800	13	13.13
1231869600	13	13.09
1231880400	13	13.12
1231891200	14	13.25
1231902000	14	13.45
1231912800	14	13.38
1231923600	14	13.16
1231934400	14	12.97
1231945200	14	12.85
1231956000	14	12.72
1231966800	14	12.4
1231977600	15	12.18
1231988400	15	12.01
1231999200	15	11.9
1232010000	15	11.86
1232020800	15	11.85
1232031600	15	11.8
1232042400	15	11.64
1232053200	15	11.21
1232064000	16	10.84
1232074800	16	10.63
1232085600	16	10.52
1232096400	16	10.39
1232107200	16	10.21
1232118000	16	9.94
1232128800	16	9.78
1232139600	16	9.6
1232150400	17	9.12
1232161200	17	8.87
1232172000	17	8.75
1232182800	17	8.56
1232193600	17	8.37
1232204400	17	8.35
1232215200	17	12.95
1232226000	17	11.97
1232236800	18	11.73
1232247600	18	11.62
1232258400	18	11.73
1232269200	18	11.88
1232280000	18	12.08
1232290800	18	12.06
1232301600	18	11.81
1232312400	18	11.05
1232323200	19	10.72
1232334000	19	10.62
1232344800	19	10.61
1232355600	19	11.07
1232366400	19	11.22
1232377200	19	10.85
1232388000	19	10.68
1232398800	19	10.62
1232409600	20	17.71
1232420400	20	17.38
1232431200	20	16.25
1232442000	20	16
1232452800	20	15.76
1232463600	20	15.2
1232474400	20	14.72
1232485200	20	14.59
1232496000	21	14.52
1232506800	21	14.45
1232517600	21	14.33
1232528400	21	14.18
1232539200	21	13.92
1232550000	21	13.51
1232560800	21	13.31
1232571600	21	13.21
1232582400	22	13.13
1232593200	22	13.04
1232604000	22	12.89
1232614800	22	12.28
1232625600	22	11.93
1232636400	22	11.87
1232647200	22	11.89
1232658000	22	12.17
1232668800	23	12.46
1232679600	23	12.18
1232690400	23	12.04
1232701200	23	11.97
1232712000	23	11.91
1232722800	23	11.82
1232733600	23	9.28
1232744400	23	10.9
1232755200	24	10.96
1232766000	24	10.92
1232776800	24	10.8
1232787600	24	14.39
1232798400	24	14.41
1232809200	24	14.16
1232820000	24	13.56
1232830800	24	13.31
1232841600	25	13.22
1232852400	25	13.18
1232863200	25	13.26
1232874000	25	13.02
1232884800	25	12.28
1232895600	25	12.07
1232906400	25	12.02
1232917200	25	12.2
1232928000	26	12.8
1232938800	26	12.94
1232949600	26	12.86
1232960400	26	12.7
1232971200	26	12.47
1232982000	26	12.34
1232992800	26	12.32
1233003600	26	12.37
1233014400	27	12.49
1233025200	27	7.77
1233036000	27	8.6
1233046800	27	8.6
1233057600	27	8.6
1233068400	27	12.04
1233079200	27	11.96
1233090000	27	12.26
1233100800	28	12.87
1233111600	28	12.96
1233122400	28	12.79
1233133200	28	12.43
1233144000	28	12.28
1233154800	28	12.23
1233165600	28	12.2
1233176400	28	12.2
1233187200	29	12.26
1233198000	29	14.42
1233208800	29	14.31
1233219600	29	14.2
1233230400	29	14.04
1233241200	29	13.6
1233252000	29	13.31
1233262800	29	13.16
1233273600	30	13.05
1233284400	30	12.93
1233295200	30	12.72
1233306000	30	12.28
1233316800	30	12.07
1233327600	30	11.95
1233338400	30	11.83
1233349200	30	11.69
1233360000	31	11.51
1233370800	31	11.29
1233381600	31	11.15
1233392400	31	11.07
1233403200	31	11.04
1233414000	31	11.02
1233424800	31	10.89
1233435600	31	10.79
1233446400	32	10.76
