Unix	jday	dp	hs	tp
1104537600	1	351.39	1.36	7.44
1104548400	1	351.83	1.39	7.33
1104559200	1	346.93	1.4	7.26
1104570000	1	346.73	1.39	7.24
1104580800	1	346.26	1.38	7.19
1104591600	1	344.92	1.35	7.15
1104602400	1	259.57	1.28	5.19
1104613200	1	258.19	1.21	5.21
1104624000	2	257.69	1.14	5.21
1104634800	2	251.17	1.08	11.01
1104645600	2	252.73	1.03	10.99
1104656400	2	254.53	0.99	10.99
1104667200	2	256.41	0.95	10.99
1104678000	2	258.18	0.92	11
1104688800	2	259.89	0.87	11.02
1104699600	2	261.65	0.83	11.04
1104710400	3	263.61	0.79	11.05
1104721200	3	265.96	0.74	11.05
1104732000	3	268.87	0.72	11.01
1104742800	3	273.09	0.73	10.98
1104753600	3	276.95	0.84	11.1
1104764400	3	354.89	1.12	3.84
1104775200	3	345.16	1.52	4.64
1104786000	3	334.24	1.91	5.5
1104796800	4	346.11	2.31	5.82
1104807600	4	338.53	2.58	6.26
1104818400	4	320.93	2.55	6.67
1104829200	4	318.59	2.49	6.9
1104840000	4	316.96	2.38	6.97
1104850800	4	316.04	2.28	7.01
1104861600	4	314.94	2.24	7.03
1104872400	4	269.69	2.25	9.32
1104883200	5	269.09	2.27	9.32
1104894000	5	268.46	2.25	9.22
1104904800	5	268.15	2.16	9.11
1104915600	5	268.42	2.1	8.98
1104926400	5	272.72	2.11	8.81
1104937200	5	291.8	2.15	8.18
1104948000	5	301.05	2.22	8.08
1104958800	5	307.34	2.26	8.12
1104969600	6	311.36	2.29	8.18
1104980400	6	313.95	2.29	8.22
1104991200	6	315.53	2.26	8.24
1105002000	6	316.25	2.21	8.25
1105012800	6	316.33	2.13	8.23
1105023600	6	315.76	2.04	8.2
1105034400	6	314.59	1.95	8.15
1105045200	6	313.04	1.87	8.09
1105056000	7	311.26	1.8	8.01
1105066800	7	315.1	1.73	7.9
1105077600	7	313.53	1.67	7.82
1105088400	7	312.03	1.61	7.76
1105099200	7	310.53	1.55	7.72
1105110000	7	309.07	1.51	7.68
1105120800	7	307.26	1.47	7.65
1105131600	7	305.21	1.45	7.62
1105142400	8	302.84	1.52	7.62
1105153200	8	300.14	1.62	7.62
1105164000	8	297.43	1.68	7.6
1105174800	8	294.93	1.72	7.61
1105185600	8	292.47	1.75	7.73
1105196400	8	272.5	1.78	9.17
1105207200	8	272.42	1.81	9.38
1105218000	8	272.53	1.98	9.55
1105228800	9	271.86	1.97	9.7
1105239600	9	271.79	1.93	9.75
1105250400	9	271.52	1.88	9.8
1105261200	9	271.27	1.82	9.85
1105272000	9	270.96	1.76	9.88
1105282800	9	270.43	1.65	9.94
1105293600	9	269.49	1.5	10.13
1105304400	9	268.38	1.36	10.65
1105315200	10	270.52	1.23	10.73
1105326000	10	274.03	1.12	10.71
1105336800	10	261.54	1.03	10.58
1105347600	10	262.2	0.95	10.35
1105358400	10	264.74	0.87	10.22
1105369200	10	268.61	0.83	10.13
1105380000	10	272.29	0.78	10.05
1105390800	10	276.69	0.73	9.96
1105401600	11	282.2	0.69	9.85
1105412400	11	287.17	0.68	9.71
1105423200	11	262.46	0.67	9.52
1105434000	11	263.07	0.67	9.43
1105444800	11	262.07	0.68	11.57
1105455600	11	252.63	0.69	11.22
1105466400	11	248.05	0.69	11.12
1105477200	11	245.93	0.7	11.04
1105488000	12	244.98	0.7	10.97
1105498800	12	244.81	0.7	10.88
1105509600	12	245.32	0.69	10.74
1105520400	12	245.19	0.68	10.48
1105531200	12	244.97	0.67	10.29
1105542000	12	245.21	0.64	10.18
1105552800	12	245.7	0.62	10.11
1105563600	12	246.52	0.59	10.07
1105574400	13	248.37	0.57	10.04
1105585200	13	251.91	0.56	10.03
1105596000	13	257.93	0.6	10.06
1105606800	13	266.86	0.73	10.9
1105617600	13	262.22	0.93	10.96
1105628400	13	260.46	1.16	10.86
1105639200	13	259.56	1.37	10.72
1105650000	13	263.98	1.53	10.34
1105660800	14	263.87	1.65	10.03
1105671600	14	263.62	1.74	9.83
1105682400	14	266.46	1.83	9.66
1105693200	14	266.46	1.95	9.54
1105704000	14	246.29	2.09	12.7
1105714800	14	246.96	2.22	12.67
1105725600	14	247.65	2.33	12.83
1105736400	14	255.3	2.39	15.58
1105747200	15	253.72	2.4	14.89
1105758000	15	254.95	2.37	14.61
1105768800	15	253.28	2.31	14.45
1105779600	15	254.27	2.24	14.31
1105790400	15	252.59	2.17	14.17
1105801200	15	250.86	2.1	13.91
1105812000	15	250.01	2.06	13.72
1105822800	15	250.02	2.06	13.59
1105833600	16	248.98	2.08	13.51
1105844400	16	248.82	2.13	13.46
1105855200	16	248.28	2.19	13.43
1105866000	16	249.25	2.24	13.43
1105876800	16	249.8	2.27	13.47
1105887600	16	251.46	2.28	13.54
1105898400	16	252.07	2.28	13.6
1105909200	16	253.52	2.32	13.66
1105920000	17	253.73	2.56	13.69
1105930800	17	254.48	2.85	13.68
1105941600	17	254.17	2.91	13.66
1105952400	17	271.66	2.88	7.68
1105963200	17	270.38	2.81	7.75
1105974000	17	269.21	2.7	7.76
1105984800	17	267.73	2.63	7.76
1105995600	17	252.79	2.65	13.36
1106006400	18	262.63	2.78	7.58
1106017200	18	259.58	2.92	7.69
1106028000	18	255.77	3.03	7.96
1106038800	18	250.99	3.1	11.92
1106049600	18	250.84	3.13	11.56
1106060400	18	250.62	3.15	11.33
1106071200	18	250.44	3.04	11.23
1106082000	18	250.25	2.85	11.15
1106092800	19	249.87	2.66	11.09
1106103600	19	249.37	2.51	11.02
1106114400	19	248.78	2.4	10.95
1106125200	19	248.16	2.28	10.89
1106136000	19	247.62	2.17	10.85
1106146800	19	247.26	2.05	10.81
1106157600	19	246.94	1.93	10.74
1106168400	19	246.77	1.81	10.66
1106179200	20	244.9	1.69	10.55
1106190000	20	244.9	1.57	10.4
1106200800	20	245.06	1.45	10.29
1106211600	20	245.44	1.34	10.2
1106222400	20	245.86	1.25	10.12
