Unix	jday	dp
999302400	244	239
999313200	244	239.78
999324000	244	240.4
999334800	244	251.78
999345600	244	250.79
999356400	244	253.72
999367200	244	243.05
999378000	244	244.39
999388800	245	244.77
999399600	245	246.22
999410400	245	246.66
999421200	245	247.79
999432000	245	243.95
999442800	245	244.56
999453600	245	244.85
999464400	245	245.29
999475200	246	245.42
999486000	246	245.7
999496800	246	52.77
999507600	246	52.01
999518400	246	49.49
999529200	246	49.11
999540000	246	32.17
999550800	246	19.16
999561600	247	3.66
999572400	247	1.59
999583200	247	5.5
999594000	247	7.25
999604800	247	357.42
999615600	247	356.93
999626400	247	4.99
999637200	247	0.77
999648000	248	354.81
999658800	248	349.17
999669600	248	244.86
999680400	248	247.69
999691200	248	245.77
999702000	248	247.34
999712800	248	245.77
999723600	248	247.3
999734400	249	245.57
999745200	249	246.91
999756000	249	245.2
999766800	249	246.66
999777600	249	245.14
999788400	249	243.33
999799200	249	242.4
999810000	249	242.7
999820800	250	241.92
999831600	250	242.58
999842400	250	242.27
999853200	250	243.3
999864000	250	241.96
999874800	250	242.32
999885600	250	242.22
999896400	250	242.31
999907200	251	242.08
999918000	251	242.58
999928800	251	242.57
999939600	251	242.65
999950400	251	242.76
999961200	251	243.02
999972000	251	243.33
999982800	251	243.71
999993600	252	244.08
1000004400	252	244.43
1000015200	252	244.56
1000026000	252	244.68
1000036800	252	244.59
1000047600	252	244.49
1000058400	252	246.12
1000069200	252	253.51
1000080000	253	264.04
1000090800	253	272.57
1000101600	253	278.18
1000112400	253	282.29
1000123200	253	285.45
1000134000	253	287.98
1000144800	253	289.81
1000155600	253	291.15
1000166400	254	301.64
1000177200	254	304.12
1000188000	254	306.14
1000198800	254	307.56
1000209600	254	308.57
1000220400	254	244.13
1000231200	254	241.66
1000242000	254	245.29
1000252800	255	243.23
1000263600	255	246.58
1000274400	255	244.43
1000285200	255	247.37
1000296000	255	245.05
1000306800	255	247.41
1000317600	255	245.24
1000328400	255	245.99
1000339200	256	244.83
1000350000	256	246.81
1000360800	256	245.47
1000371600	256	247.18
1000382400	256	245.85
1000393200	256	247.56
1000404000	256	246.42
1000414800	256	248.18
1000425600	257	246.91
1000436400	257	248.22
1000447200	257	245.93
1000458000	257	5.65
1000468800	257	355.09
1000479600	257	352.49
1000490400	257	347.73
1000501200	257	348.7
1000512000	258	348.39
1000522800	258	347.31
1000533600	258	344.93
1000544400	258	341.09
1000555200	258	336.35
1000566000	258	331.52
1000576800	258	338.72
1000587600	258	334.38
1000598400	259	246.5
1000609200	259	247.92
1000620000	259	248.32
1000630800	259	249.33
1000641600	259	249.11
1000652400	259	249.59
1000663200	259	249.08
1000674000	259	249.55
1000684800	260	249.05
1000695600	260	249.5
1000706400	260	248.86
1000717200	260	249.07
1000728000	260	248.18
1000738800	260	248.15
1000749600	260	247.53
1000760400	260	247.91
1000771200	261	247.67
1000782000	261	248.53
1000792800	261	248.5
1000803600	261	249.52
1000814400	261	249.41
1000825200	261	252.38
1000836000	261	251
1000846800	261	252.42
1000857600	262	251.01
1000868400	262	252.31
1000879200	262	250.87
1000890000	262	252.18
1000900800	262	250.9
1000911600	262	248.2
1000922400	262	247.6
1000933200	262	247.91
1000944000	263	247.34
1000954800	263	247.53
1000965600	263	246.95
1000976400	263	247.18
1000987200	263	246.72
1000998000	263	247.23
1001008800	263	245.39
1001019600	263	245.54
1001030400	264	245.39
1001041200	264	245.52
1001052000	264	245.5
1001062800	264	245.9
1001073600	264	246.15
1001084400	264	246.54
1001095200	264	246.35
1001106000	264	246.04
1001116800	265	246.25
1001127600	265	251.82
1001138400	265	249.26
1001149200	265	249.59
1001160000	265	246.14
1001170800	265	247.56
1001181600	265	246.07
1001192400	265	247.71
1001203200	266	246.63
1001214000	266	248.63
1001224800	266	248.09
1001235600	266	250.14
1001246400	266	245.47
1001257200	266	246.37
1001268000	266	246.33
1001278800	266	247.18
1001289600	267	247.26
1001300400	267	248.07
1001311200	267	248.08
1001322000	267	245
1001332800	267	245.07
1001343600	267	245.42
1001354400	267	245.34
1001365200	267	245.44
1001376000	268	245.22
1001386800	268	245.26
1001397600	268	245.05
1001408400	268	243.02
1001419200	268	243
1001430000	268	242.96
1001440800	268	242.89
1001451600	268	242.91
1001462400	269	272.89
1001473200	269	268.48
1001484000	269	270.41
1001494800	269	272.61
1001505600	269	271.11
1001516400	269	273.76
1001527200	269	272.66
1001538000	269	274.57
1001548800	270	276.1
1001559600	270	277.03
1001570400	270	282.4
1001581200	270	283.53
1001592000	270	284.43
1001602800	270	285.06
1001613600	270	285.54
1001624400	270	289.8
1001635200	271	290.09
1001646000	271	289.88
1001656800	271	289.31
1001667600	271	289.06
1001678400	271	289.46
1001689200	271	290.86
1001700000	271	292.75
1001710800	271	294.88
1001721600	272	296.72
1001732400	272	298.5
1001743200	272	299.59
1001754000	272	307.64
1001764800	272	308.22
1001775600	272	307.97
1001786400	272	237.25
1001797200	272	238.37
1001808000	273	237.88
1001818800	273	238.81
1001829600	273	238.18
1001840400	273	290.42
1001851200	273	237.57
1001862000	273	236.65
1001872800	273	236.67
1001883600	273	236.91
1001894400	274	236.6
