Unix	jday	hs
1109635200	60	2.01
1109646000	60	1.91
1109656800	60	1.83
1109667600	60	1.75
1109678400	60	1.67
1109689200	60	1.6
1109700000	60	1.53
1109710800	60	1.44
1109721600	61	1.35
1109732400	61	1.25
1109743200	61	1.15
1109754000	61	1.08
1109764800	61	1.09
1109775600	61	1.26
1109786400	61	1.47
1109797200	61	1.63
1109808000	62	1.78
1109818800	62	1.97
1109829600	62	2.11
1109840400	62	2.22
1109851200	62	2.27
1109862000	62	2.29
1109872800	62	2.29
1109883600	62	2.29
1109894400	63	2.28
1109905200	63	2.27
1109916000	63	2.24
1109926800	63	2.21
1109937600	63	2.16
1109948400	63	2.1
1109959200	63	2.02
1109970000	63	1.96
1109980800	64	1.93
1109991600	64	1.95
1110002400	64	1.98
1110013200	64	2.03
1110024000	64	2.07
1110034800	64	2.13
1110045600	64	2.2
1110056400	64	2.29
1110067200	65	2.47
1110078000	65	3.01
1110088800	65	3.7
1110099600	65	3.92
1110110400	65	3.99
1110121200	65	3.97
1110132000	65	3.83
1110142800	65	3.67
1110153600	66	3.5
1110164400	66	3.35
1110175200	66	3.2
1110186000	66	3.07
1110196800	66	2.95
1110207600	66	2.84
1110218400	66	2.72
1110229200	66	2.57
1110240000	67	2.46
1110250800	67	2.57
1110261600	67	2.8
1110272400	67	2.84
1110283200	67	2.8
1110294000	67	2.72
1110304800	67	2.66
1110315600	67	2.64
1110326400	68	2.66
1110337200	68	2.66
1110348000	68	2.63
1110358800	68	2.55
1110369600	68	2.46
1110380400	68	2.34
1110391200	68	2.21
1110402000	68	2.15
1110412800	69	2.3
1110423600	69	2.56
1110434400	69	2.9
1110445200	69	3.14
1110456000	69	3.22
1110466800	69	3.05
1110477600	69	2.85
1110488400	69	2.65
1110499200	70	2.5
1110510000	70	2.38
1110520800	70	2.3
1110531600	70	2.24
1110542400	70	2.15
1110553200	70	2.04
1110564000	70	1.91
1110574800	70	1.79
1110585600	71	1.68
1110596400	71	1.59
1110607200	71	1.52
1110618000	71	1.46
1110628800	71	1.41
1110639600	71	1.35
1110650400	71	1.29
1110661200	71	1.23
1110672000	72	1.18
1110682800	72	1.14
1110693600	72	1.14
1110704400	72	1.11
1110715200	72	1.07
1110726000	72	1.02
1110736800	72	0.97
1110747600	72	0.92
1110758400	73	0.9
1110769200	73	0.87
1110780000	73	0.86
1110790800	73	0.84
1110801600	73	0.83
1110812400	73	0.81
1110823200	73	0.81
1110834000	73	0.8
1110844800	74	0.79
1110855600	74	0.79
1110866400	74	0.79
1110877200	74	0.79
1110888000	74	0.8
1110898800	74	0.8
1110909600	74	0.79
1110920400	74	0.79
1110931200	75	0.8
1110942000	75	0.84
1110952800	75	0.92
1110963600	75	0.99
1110974400	75	1.03
1110985200	75	1.08
1110996000	75	1.11
1111006800	75	1.14
1111017600	76	1.16
1111028400	76	1.19
1111039200	76	1.25
1111050000	76	1.26
1111060800	76	1.26
1111071600	76	1.25
1111082400	76	1.24
1111093200	76	1.22
1111104000	77	1.19
1111114800	77	1.15
1111125600	77	1.12
1111136400	77	1.09
1111147200	77	1.08
1111158000	77	1.08
1111168800	77	1.09
1111179600	77	1.09
1111190400	78	1.09
1111201200	78	1.08
1111212000	78	1.07
1111222800	78	1.05
1111233600	78	1.02
1111244400	78	0.99
1111255200	78	0.97
1111266000	78	0.96
1111276800	79	0.94
1111287600	79	0.92
1111298400	79	0.91
1111309200	79	0.89
1111320000	79	0.87
1111330800	79	0.86
1111341600	79	0.87
1111352400	79	0.85
1111363200	80	0.83
1111374000	80	0.81
1111384800	80	0.79
1111395600	80	0.77
1111406400	80	0.75
1111417200	80	0.73
1111428000	80	0.71
1111438800	80	0.7
1111449600	81	0.68
1111460400	81	0.68
1111471200	81	0.68
1111482000	81	0.68
1111492800	81	0.69
1111503600	81	0.69
1111514400	81	0.69
1111525200	81	0.69
1111536000	82	0.68
1111546800	82	0.67
1111557600	82	0.65
1111568400	82	0.64
1111579200	82	0.62
1111590000	82	0.61
1111600800	82	0.61
1111611600	82	0.68
1111622400	83	0.73
1111633200	83	0.78
1111644000	83	0.91
1111654800	83	1.14
1111665600	83	1.36
1111676400	83	1.65
1111687200	83	2.01
1111698000	83	2.25
1111708800	84	2.38
1111719600	84	2.48
1111730400	84	2.57
1111741200	84	2.61
1111752000	84	2.64
1111762800	84	2.71
1111773600	84	2.77
1111784400	84	2.81
1111795200	85	2.84
1111806000	85	2.88
1111816800	85	2.87
1111827600	85	2.79
1111838400	85	2.65
1111849200	85	2.49
1111860000	85	2.34
1111870800	85	2.22
1111881600	86	2.04
1111892400	86	1.83
1111903200	86	1.62
1111914000	86	1.44
1111924800	86	1.3
1111935600	86	1.24
1111946400	86	1.2
1111957200	86	1.21
1111968000	87	1.23
1111978800	87	1.27
1111989600	87	1.31
1112000400	87	1.29
1112011200	87	1.25
1112022000	87	1.2
1112032800	87	1.17
1112043600	87	1.14
1112054400	88	1.19
1112065200	88	1.28
1112076000	88	1.41
1112086800	88	1.81
1112097600	88	2.07
1112108400	88	2.28
1112119200	88	2.39
1112130000	88	2.66
1112140800	89	2.5
1112151600	89	2.33
1112162400	89	2.18
1112173200	89	2.03
1112184000	89	1.75
1112194800	89	1.5
1112205600	89	1.31
1112216400	89	1.14
1112227200	90	1.12
1112238000	90	1.02
1112248800	90	0.88
1112259600	90	0.8
1112270400	90	0.75
1112281200	90	0.73
1112292000	90	0.72
1112302800	90	0.72
1112313600	91	0.71
