Unix	jday	tp
1009843200	1	5.57
1009854000	1	5.96
1009864800	1	6.55
1009875600	1	7.27
1009886400	1	7.82
1009897200	1	8.03
1009908000	1	8.25
1009918800	1	8.23
1009929600	2	7.93
1009940400	2	8.08
1009951200	2	8.22
1009962000	2	8.3
1009972800	2	8.38
1009983600	2	8.46
1009994400	2	8.48
1010005200	2	8.59
1010016000	3	8.69
1010026800	3	8.87
1010037600	3	9.07
1010048400	3	8.47
1010059200	3	8.99
1010070000	3	9.29
1010080800	3	9.41
1010091600	3	9.44
1010102400	4	9.41
1010113200	4	9.36
1010124000	4	9.29
1010134800	4	9.22
1010145600	4	9.17
1010156400	4	9.16
1010167200	4	9.18
1010178000	4	9.2
1010188800	5	9.17
1010199600	5	9.05
1010210400	5	9.08
1010221200	5	9.1
1010232000	5	9.07
1010242800	5	9.02
1010253600	5	8.93
1010264400	5	8.8
1010275200	6	8.57
1010286000	6	8.38
1010296800	6	8.21
1010307600	6	8.02
1010318400	6	7.84
1010329200	6	7.74
1010340000	6	7.67
1010350800	6	7.62
1010361600	7	7.56
1010372400	7	7.47
1010383200	7	7.29
1010394000	7	6.8
1010404800	7	6.67
1010415600	7	6.65
1010426400	7	6.75
1010437200	7	6.92
1010448000	8	6.98
1010458800	8	3.5
1010469600	8	4.18
1010480400	8	4.6
1010491200	8	4.89
1010502000	8	5.46
1010512800	8	6.04
1010523600	8	6.87
1010534400	9	8.95
1010545200	9	8.96
1010556000	9	8.97
1010566800	9	8.99
1010577600	9	9.08
1010588400	9	9.29
1010599200	9	10.08
1010610000	9	10.42
1010620800	10	10.45
1010631600	10	10.39
1010642400	10	10.32
1010653200	10	10.23
1010664000	10	10.16
1010674800	10	4.75
1010685600	10	4.77
1010696400	10	4.8
1010707200	11	4.89
1010718000	11	4.65
1010728800	11	4.39
1010739600	11	4.34
1010750400	11	4.65
1010761200	11	5.02
1010772000	11	5.19
1010782800	11	5.17
1010793600	12	5.14
1010804400	12	5.1
1010815200	12	5.05
1010826000	12	3.49
1010836800	12	3.65
1010847600	12	3.89
1010858400	12	4.23
1010869200	12	4.3
1010880000	13	4.29
1010890800	13	14.88
1010901600	13	14.65
1010912400	13	14.32
1010923200	13	13.78
1010934000	13	13.53
1010944800	13	13.37
1010955600	13	13.23
1010966400	14	13.08
1010977200	14	4.38
1010988000	14	4.82
1010998800	14	5.34
1011009600	14	5.6
1011020400	14	6.15
1011031200	14	6.82
1011042000	14	7.39
1011052800	15	7.85
1011063600	15	8.25
1011074400	15	8.48
1011085200	15	8.59
1011096000	15	8.63
1011106800	15	8.6
1011117600	15	8.53
1011128400	15	8.44
1011139200	16	8.34
1011150000	16	8.23
1011160800	16	15.92
1011171600	16	15.23
1011182400	16	14.9
1011193200	16	14.66
1011204000	16	14.29
1011214800	16	13.77
1011225600	17	13.54
1011236400	17	13.39
1011247200	17	13.24
1011258000	17	13.08
1011268800	17	12.85
1011279600	17	12.5
1011290400	17	12.32
1011301200	17	12.19
1011312000	18	12.08
1011322800	18	11.98
1011333600	18	11.85
1011344400	18	11.72
1011355200	18	11.57
1011366000	18	11.57
1011376800	18	15.95
1011387600	18	15.7
1011398400	19	15.2
1011409200	19	14.93
1011420000	19	14.76
1011430800	19	14.63
1011441600	19	14.5
1011452400	19	14.36
1011463200	19	14.19
1011474000	19	13.9
1011484800	20	13.68
1011495600	20	13.53
1011506400	20	13.39
1011517200	20	13.27
1011528000	20	13.12
1011538800	20	12.95
1011549600	20	12.59
1011560400	20	12.33
1011571200	21	12.19
1011582000	21	12.08
1011592800	21	11.97
1011603600	21	11.86
1011614400	21	11.71
1011625200	21	11.41
1011636000	21	11.27
1011646800	21	11.21
1011657600	22	11.21
1011668400	22	13.39
1011679200	22	13.29
1011690000	22	13.18
1011700800	22	13.01
1011711600	22	12.55
1011722400	22	12.29
1011733200	22	12.2
1011744000	23	12.14
1011754800	23	12.1
1011765600	23	12.04
1011776400	23	11.95
1011787200	23	11.83
1011798000	23	11.71
1011808800	23	11.72
1011819600	23	11.87
1011830400	24	11.92
1011841200	24	3.88
1011852000	24	4.26
1011862800	24	10.74
1011873600	24	10.36
1011884400	24	10.14
1011895200	24	10.01
1011906000	24	9.93
1011916800	25	9.93
1011927600	25	10.17
1011938400	25	11.72
1011949200	25	11.76
1011960000	25	11.53
1011970800	25	11.28
1011981600	25	11.16
1011992400	25	11.07
1012003200	26	11
1012014000	26	10.94
1012024800	26	10.92
1012035600	26	10.94
1012046400	26	11.02
1012057200	26	11.12
1012068000	26	11.14
1012078800	26	11.12
1012089600	27	11.07
1012100400	27	11
1012111200	27	10.92
1012122000	27	10.84
1012132800	27	10.74
1012143600	27	10.52
1012154400	27	10.26
1012165200	27	10.12
1012176000	28	10.04
1012186800	28	10
1012197600	28	9.99
1012208400	28	9.99
1012219200	28	10
1012230000	28	10.02
1012240800	28	10.07
1012251600	28	10.14
1012262400	29	10.2
1012273200	29	10.2
1012284000	29	3.14
1012294800	29	10.11
1012305600	29	10.06
1012316400	29	10.02
1012327200	29	9.99
1012338000	29	9.96
1012348800	30	9.95
1012359600	30	9.96
1012370400	30	9.98
1012381200	30	3.6
1012392000	30	10.03
1012402800	30	10.03
1012413600	30	10.02
1012424400	30	9.99
1012435200	31	9.97
1012446000	31	9.93
1012456800	31	3.18
1012467600	31	3.65
1012478400	31	3.95
1012489200	31	4
1012500000	31	4.14
1012510800	31	14.76
1012521600	32	3.13
